Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Daya H., Mader P.",57204673698;55746883500;,Did demonetisation accelerate financial inclusion?,2018,Economic and Political Weekly,53,45,,17,20,,3.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056634559&partnerID=40&md5=b72ddccd2ce540acc06db4b59a9d5e48,Econ. Polit. Wkly.,Review,Final,,Scopus,2-s2.0-85056634559
"Shen Y., Hu W., Hueng C.J.",55492363600;25632346500;6507424862;,"The effects of financial literacy, digital financial product usage and internet usage on financial inclusion in China",2018,MATEC Web of Conferences,228,,05012,,,,1.0,10.1051/matecconf/201822805012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057379147&doi=10.1051%2fmatecconf%2f201822805012&partnerID=40&md5=b2df08728d990947c1dd601dac88e33c,MATEC Web Conf.,Conference Paper,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85057379147
"Fernando E., Surjandy, Ernawaty, Raharto Condrobimo A., Fitria Murad D., Madeleine Tirtamulia L., Savina G., Listyo P.",57189355900;57194546265;57211589173;57194542122;57193666780;57205018814;57205027159;57205461487;,User Behavior Adopt Utilizing Fin Tech Services on Online Transportation in Indonesia (Scale Validation and Developed Instrument),2018,"Proceedings of 2018 International Conference on Information Management and Technology, ICIMTech 2018",,,8528106,114,118,,8.0,10.1109/ICIMTech.2018.8528106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058340833&doi=10.1109%2fICIMTech.2018.8528106&partnerID=40&md5=6898edf09f7483ace07d5bafed9dacc9,"Proc. Int. Conf. Inf. Manag. Technol., ICIMTech",Conference Paper,Final,,Scopus,2-s2.0-85058340833
"Taufiq R., Meyliana, Hidayanto A.N., Prabowo H.",57205029620;57203859161;57205093001;57222487822;,The Affecting Factors of Blockchain Technology Adoption of Payments Systems in Indonesia Banking Industry,2018,"Proceedings of 2018 International Conference on Information Management and Technology, ICIMTech 2018",,,8528104,506,510,,6.0,10.1109/ICIMTech.2018.8528104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058314131&doi=10.1109%2fICIMTech.2018.8528104&partnerID=40&md5=83a8e4c32f5ae6012b52b8451b8f1d5f,"Proc. Int. Conf. Inf. Manag. Technol., ICIMTech",Conference Paper,Final,,Scopus,2-s2.0-85058314131
"Surjandy, Ernawaty, Listyo P., Fernando E., Savina G., Tirtamulia L.M.",57194546265;57211589173;57205461487;57189355900;57205027159;57205018814;,Technology Risk in Financial Technology at Online Transportation Systems,2018,"Proceedings of 2018 International Conference on Information Management and Technology, ICIMTech 2018",,,8528149,149,154,,3.0,10.1109/ICIMTech.2018.8528149,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058305800&doi=10.1109%2fICIMTech.2018.8528149&partnerID=40&md5=6cac9a05a4276043569dd57199236954,"Proc. Int. Conf. Inf. Manag. Technol., ICIMTech",Conference Paper,Final,,Scopus,2-s2.0-85058305800
"Chen K., Sergi B.S.",57209254694;35369323900;,How Can FinTech Impact Russia's development?,2018,Exploring the Future of Russia's Economy and Markets: Towards Sustainable Economic Development,,,,1,11,,4.0,10.1108/978-1-78769-397-520181001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098175770&doi=10.1108%2f978-1-78769-397-520181001&partnerID=40&md5=36b1e6fa5f49da4f34a3792d9bef3733,Explor. the Future of Russ. Econ. and Mark.: Towards Sustain. Econ. Dev.,Book Chapter,Final,,Scopus,2-s2.0-85098175770
"Amalia C., Setyohadi D.B., Santoso A.J.",57201503778;36678103500;57110097600;,Determine the winner of the construction tender in central kalimantan using analysis network process (case study: LPSE central kalimantan),2018,"2018 International Seminar on Research of Information Technology and Intelligent Systems, ISRITI 2018",,,8864456,49,54,,,10.1109/ISRITI.2018.8864456,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074204589&doi=10.1109%2fISRITI.2018.8864456&partnerID=40&md5=a6d82fd8eff843ce33865848c694d18c,"Int. Semin. Res. Inf. Technol. Intell. Syst., ISRITI",Conference Paper,Final,,Scopus,2-s2.0-85074204589
"Peñarreta M., Teijeiro M., Armas R.",57195330008;36640860500;56320272800;,Exploring the keys to the success of crowdfunding campaigns in Ecuador [Explorando las claves del éxito de las campañas de crowdfunding en Ecuador],2018,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2018,E16,,247,256,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060757276&partnerID=40&md5=94c54b894ddc2da6ab8f6afee91f3745,Rev. Iberica Sist. Tecnol. Inf.,Article,Final,,Scopus,2-s2.0-85060757276
"Jagtiani J., John K.",6603449987;7102914448;,Fintech: The Impact on Consumers and Regulatory Responses,2018,Journal of Economics and Business,100,,,1,6,,22.0,10.1016/j.jeconbus.2018.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057852263&doi=10.1016%2fj.jeconbus.2018.11.002&partnerID=40&md5=fc25c40fb9379e9e362500db21328b28,J. Econ. Bus.,Editorial,Final,,Scopus,2-s2.0-85057852263
Alt R.,56267296300;,Electronic Markets on digitalization,2018,Electronic Markets,28,4,,397,402,,7.0,10.1007/s12525-018-0320-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057822119&doi=10.1007%2fs12525-018-0320-7&partnerID=40&md5=553c165209d571cac7a0800f31813aec,Electron. Mark.,Editorial,Final,"All Open Access, Bronze",Scopus,2-s2.0-85057822119
"Ahmad A., Pahl C., Altamimi A.B., Alreshidi A.",36760479100;55049859200;36663416500;55815931100;,Mining Patterns from Change Logs to Support Reuse-Driven Evolution of Software Architectures,2018,Journal of Computer Science and Technology,33,6,,1278,1306,,4.0,10.1007/s11390-018-1887-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056862575&doi=10.1007%2fs11390-018-1887-3&partnerID=40&md5=d8f4b9c05493c015ffcdb472a53dbb65,J Comput Sci Technol,Article,Final,,Scopus,2-s2.0-85056862575
Anagnostopoulos I.,56394106700;,Fintech and regtech: Impact on regulators and banks,2018,Journal of Economics and Business,100,,,7,25,,75.0,10.1016/j.jeconbus.2018.07.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050490838&doi=10.1016%2fj.jeconbus.2018.07.003&partnerID=40&md5=3ccd38eb33807a5e0761cc8859dc9998,J. Econ. Bus.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85050490838
"Dorfleitner G., Fischer L., Lung C., Willmertinger P., Stang N., Dietrich N.",6602624940;57202000612;57202016761;57202022843;57202021498;57202023595;,To follow or not to follow – An empirical analysis of the returns of actors on social trading platforms,2018,Quarterly Review of Economics and Finance,70,,,160,171,,7.0,10.1016/j.qref.2018.04.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046729469&doi=10.1016%2fj.qref.2018.04.009&partnerID=40&md5=553e03100213106493c2e44674a07f26,Q. Rev. Econ. Financ.,Article,Final,,Scopus,2-s2.0-85046729469
"Arshad H., Shah M.A., Khattak H.A., Ameer Z., Abbas A., Khan S.U.",57204000878;36816311600;57208818911;55780222300;56349574400;7404043399;,Evaluating bio-inspired optimization techniques for utility price estimation in fog computing,2018,"Proceedings - 3rd IEEE International Conference on Smart Cloud, SmartCloud 2018",,,8513720,84,89,,3.0,10.1109/SmartCloud.2018.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057326445&doi=10.1109%2fSmartCloud.2018.00022&partnerID=40&md5=613b463d68ce5448839c35f4c3276b59,"Proc. - IEEE Int. Conf. Smart Cloud, SmartCloud",Conference Paper,Final,,Scopus,2-s2.0-85057326445
"Guo C., Wang H., Dai H.-N., Cheng S., Wang T.",57203640935;57202273307;55602606800;57204718539;57203638597;,Fraud risk monitoring system for e-banking transactions,2018,"Proceedings - IEEE 16th International Conference on Dependable, Autonomic and Secure Computing, IEEE 16th International Conference on Pervasive Intelligence and Computing, IEEE 4th International Conference on Big Data Intelligence and Computing and IEEE 3rd Cyber Science and Technology Congress, DASC-PICom-DataCom-CyberSciTec 2018",,,8511873,106,113,,6.0,10.1109/DASC/PiCom/DataCom/CyberSciTec.2018.00030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056876646&doi=10.1109%2fDASC%2fPiCom%2fDataCom%2fCyberSciTec.2018.00030&partnerID=40&md5=d9b8ca1c4cc7b00a127bebf500f2005a,"Proc. - IEEE Int. Conf. Dependable, Auton. Secur. Comput., IEEE Int. Conf. Pervasive Intell. Comput., IEEE Int. Conf. Big Data Intell. Comput. IEEE Cyber Sci. Technol. Congr., DASC-PICom-DataCom-CyberSciTec",Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-85056876646
"Bömer M., Maxin H.",57205496110;57205486311;,Why fintechs cooperate with banks—evidence from germany,2018,Zeitschrift fur die gesamte Versicherungswissenschaft,107,4,,359,386,,6.0,10.1007/s12297-018-0421-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060235286&doi=10.1007%2fs12297-018-0421-6&partnerID=40&md5=32b9edae6bc26480256492ed46511097,Z. Gesamte Versicherungswiss.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85060235286
Omarini A.E.,57164728200;,Fintech and the future of the payment landscape: The mobile wallet ecosystem - A challenge for retail banks?,2018,International Journal of Financial Research,9,4,,97,116,,6.0,10.5430/ijfr.v9n4p97,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058153621&doi=10.5430%2fijfr.v9n4p97&partnerID=40&md5=15a2917bf78f5c9c193e395b991e0348,Int. J. Financial Res.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85058153621
"Liu Q., Zhang F., Mao M., Xue B., Lin Z.",35210931700;56169738600;36167243900;57204921572;57204909233;,An empirical study on factors affecting continuance intention of using Yu’e Bao,2018,Tehnicki Vjesnik,25,5,,1414,1420,,5.0,10.17559/TV-20180413122553,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057808859&doi=10.17559%2fTV-20180413122553&partnerID=40&md5=927bafa7766112842a6a12c4a277b204,Teh. Vjesn.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85057808859
"Xiang D., Zhang Y., Worthington A.C.",48362007400;36246880700;7006747029;,Determinants of the Use of Fintech Finance among Chinese Small and Medium-Sized Enterprises,2018,TEMS-ISIE 2018 - 1st Annual International Symposium on Innovation and Entrepreneurship of the IEEE Technology and Engineering Management Society,,,8478470,,,,5.0,10.1109/TEMS-ISIE.2018.8478470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056559269&doi=10.1109%2fTEMS-ISIE.2018.8478470&partnerID=40&md5=000ddbde3f10a15567d897e935272fd3,TEMS-ISIE - Annu. Int. Symp. Innov. Entrep. IEEE Technol. Eng. Manag. Soc.,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-85056559269
Avigur-Eshel A.,56162412700;,Synthesizing depoliticization and responsibilization: The case of financial education in Israel,2018,Competition and Change,22,5,,509,528,,4.0,10.1177/1024529418798115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054856591&doi=10.1177%2f1024529418798115&partnerID=40&md5=7450031776dab05bcf195569f30d567e,Compet. Change,Article,Final,,Scopus,2-s2.0-85054856591
Dimbean-Creta O.,55874252500;,Fintech in corporations. Transforming the finance function,2018,Quality - Access to Success,19,S3,,21,28,,2.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053672275&partnerID=40&md5=6fe60d40cade58226f06285b696d4245,Qual. Access Success,Article,Final,,Scopus,2-s2.0-85053672275
Arora R.U.,36161943700;,Financial sector development and smart cities: The Indian case,2018,Sustainable Cities and Society,42,,,52,58,,17.0,10.1016/j.scs.2018.06.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049447695&doi=10.1016%2fj.scs.2018.06.013&partnerID=40&md5=a57f3bddc95306d3940e0da702fb61a7,Sustainable Cities Soc.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85049447695
Loomis J.M.,57212743253;,"Rescaling and reframing poverty: Financial coaching and the pedagogical spaces of financial inclusion in Boston, Massachusetts",2018,Geoforum,95,,,143,152,,18.0,10.1016/j.geoforum.2018.06.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049061745&doi=10.1016%2fj.geoforum.2018.06.014&partnerID=40&md5=7b5ce753914baeee6b8996858bc2c85c,Geoforum,Article,Final,,Scopus,2-s2.0-85049061745
"Qiu M., Gai K., Xiong Z.",57216130886;36655735200;22636267500;,Privacy-preserving wireless communications using bipartite matching in social big data,2018,Future Generation Computer Systems,87,,,772,781,,15.0,10.1016/j.future.2017.08.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028530639&doi=10.1016%2fj.future.2017.08.004&partnerID=40&md5=adba01153e3f9ce20a2bb2780016bf28,Future Gener Comput Syst,Article,Final,,Scopus,2-s2.0-85028530639
"Mei S., Peiguang L., Xiushan N.",57204428311;15128839900;35327663300;,Research on fintech industry development and talent training status,2018,"13th International Conference on Computer Science and Education, ICCSE 2018",,,8468796,384,387,,3.0,10.1109/ICCSE.2018.8468796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055545846&doi=10.1109%2fICCSE.2018.8468796&partnerID=40&md5=c22a872531d1db7ed9f305e5dc99d5c2,"Int. Conf. Comput. Sci. Educ., ICCSE",Conference Paper,Final,,Scopus,2-s2.0-85055545846
"Riikkinen M., Saarijärvi H., Sarlin P., Lähteenmäki I.",57202323936;42262529700;36061341300;55781686900;,Using artificial intelligence to create value in insurance,2018,International Journal of Bank Marketing,36,6,,1145,1168,,44.0,10.1108/IJBM-01-2017-0015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047858242&doi=10.1108%2fIJBM-01-2017-0015&partnerID=40&md5=f49a8715c176f253f639d0f89d2f23b3,Int. J. Bank Mark.,Article,Final,,Scopus,2-s2.0-85047858242
"Shang W., Cui J., Song C., Zhao J., Zeng P.",12761890300;57193557134;23111298700;55984679400;8837065200;,Research on Industrial Control Anomaly Detection Based on FCM and SVM,2018,"Proceedings - 17th IEEE International Conference on Trust, Security and Privacy in Computing and Communications and 12th IEEE International Conference on Big Data Science and Engineering, Trustcom/BigDataSE 2018",,,8455910,218,222,,14.0,10.1109/TrustCom/BigDataSE.2018.00042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054075956&doi=10.1109%2fTrustCom%2fBigDataSE.2018.00042&partnerID=40&md5=19ef9f9bbbb35ea43a56335bf02f112e,"Proc. - IEEE Int. Conf. Trust, Secur. Priv. Comput. Commun. IEEE Int. Conf. Big Data Sci. Eng., Trustcom/BigDataSE",Conference Paper,Final,,Scopus,2-s2.0-85054075956
Dai W.,56215529300;,Platform modelling and scheduling game with multiple intelligent cloud-computing pools for big data,2018,Mathematical and Computer Modelling of Dynamical Systems,24,5,,506,552,,4.0,10.1080/13873954.2018.1516677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053687050&doi=10.1080%2f13873954.2018.1516677&partnerID=40&md5=5c97243e72ad58f7228863819cf5627e,Math. Comput. Model. Dyn. Syst.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85053687050
"Themistocleous M., Stefanou K., Iosif E.",35547568200;57205617565;15764976700;,Blockchain in solar energy,2018,Cyprus Review,30,2,,203,212,,5.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064345406&partnerID=40&md5=350f52098c08b6b008c7edbcdb25104a,Cyprus Rev.,Article,Final,,Scopus,2-s2.0-85064345406
"Hausladen I., Zipf T.",9735308300;57205231595;,Competitive differentiation versus commoditisation: The role of big data in the european payments industry,2018,Journal of Payments Strategy and Systems,12,3,,266,282,,1.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059220367&partnerID=40&md5=f77984eac0fe563af18d0ee2a9424492,J. Paym. Strateg. Syst.,Article,Final,,Scopus,2-s2.0-85059220367
"Duma F., Gligor R.",57188723910;57204670636;,Study regarding Romanian students' perception and behaviour concerning the fintech area with a focus on cryptocurrencies and online payments,2018,Online Journal Modelling the New Europe,,27,,86,106,,2.0,10.24193/OJMNE.2018.27.04,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056617402&doi=10.24193%2fOJMNE.2018.27.04&partnerID=40&md5=c70d5e416a38a98d342c8be6bca82b45,Online J. Model. New Eur.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85056617402
"Ahlstrom D., Cumming D.J., Vismara S.",56525447800;54790580000;22986651000;,"New methods of entrepreneurial firm financing: Fintech, crowdfunding and corporate governance implications",2018,Corporate Governance: An International Review,26,5,,310,313,,34.0,10.1111/corg.12258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053824216&doi=10.1111%2fcorg.12258&partnerID=40&md5=872962028bf67a31b751cad17620b2b0,Corp. Gov.: Int. Rev.,Editorial,Final,,Scopus,2-s2.0-85053824216
"Gao H., Mao S., Huang W., Yang X.",36442463200;57092455700;57200299742;57189699603;,Applying probabilistic model checking to financial production risk evaluation and control: A case study of Alibaba's Yu'e Bao,2018,IEEE Transactions on Computational Social Systems,5,3,8454861,785,795,,42.0,10.1109/TCSS.2018.2865217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052892152&doi=10.1109%2fTCSS.2018.2865217&partnerID=40&md5=02837fed22ec3a73354105a399eef47f,IEEE Trans. Computat. Soc. Syst.,Article,Final,,Scopus,2-s2.0-85052892152
"Lagazio C., Querci F.",6602627004;24333367900;,Exploring the multi-sided nature of crowdfunding campaign success,2018,Journal of Business Research,90,,,318,324,,55.0,10.1016/j.jbusres.2018.05.031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047599314&doi=10.1016%2fj.jbusres.2018.05.031&partnerID=40&md5=e49b87d4f9d0f033188f83920f5e8aba,J. Bus. Res.,Article,Final,,Scopus,2-s2.0-85047599314
"Shen J., Han L., Xu M., Huang C., Zhang Z., Wang H.",55649252800;56365695600;22735883200;53877428900;56401335400;24448829900;,Focused-Region Segmentation for Refocusing Images from Light Fields,2018,Journal of Signal Processing Systems,90,8-9,,1281,1293,,2.0,10.1007/s11265-018-1379-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047458192&doi=10.1007%2fs11265-018-1379-2&partnerID=40&md5=0857ff571a69b6c50e823e6f0cb2f07a,J. Signal Process Syst.,Article,Final,,Scopus,2-s2.0-85047458192
"Martínez-Climent C., Zorio-Grima A., Ribeiro-Soriano D.",57201675448;6504687452;56862259400;,Financial return crowdfunding: literature review and bibliometric analysis,2018,International Entrepreneurship and Management Journal,14,3,,527,553,,35.0,10.1007/s11365-018-0511-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045614582&doi=10.1007%2fs11365-018-0511-x&partnerID=40&md5=ea59113e2e72aa0da2addacd902805d1,Int. Entrep. Manage. J.,Article,Final,,Scopus,2-s2.0-85045614582
"Chen Z., Lv G., Lv L., Fan T., Wang H.",57195294525;23091500900;56047829700;35175952000;24448829900;,Spectrum Analysis-Based Traffic Video Synopsis,2018,Journal of Signal Processing Systems,90,8-9,,1257,1267,,1.0,10.1007/s11265-018-1345-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045141552&doi=10.1007%2fs11265-018-1345-z&partnerID=40&md5=47b6db2ceb8fb5e32aace01ed5d4a0e5,J. Signal Process Syst.,Article,Final,,Scopus,2-s2.0-85045141552
"Marafie Z., Lin K.-J., Zhai Y., Li J.",57204010305;7403967547;24470632800;57204021140;,Proactive fintech: Using intelligent IoT to deliver positive insurtech feedback,2018,"Proceeding - 2018 20th IEEE International Conference on Business Informatics, CBI 2018",2,,,72,81,,11.0,10.1109/CBI.2018.10048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054086296&doi=10.1109%2fCBI.2018.10048&partnerID=40&md5=84bec07d2a6c48137d3cc58e1050d880,"Proceeding - IEEE Int. Conf. Bus. Informatics, CBI",Conference Paper,Final,,Scopus,2-s2.0-85054086296
"Chockalingam A., Dabadghao S., Soetekouw R.",24586783900;55242068200;57202942914;,"Strategic risk, banks, and Basel III: estimating economic capital requirements",2018,Journal of Risk Finance,19,3,,225,246,,2.0,10.1108/JRF-11-2016-0142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049875744&doi=10.1108%2fJRF-11-2016-0142&partnerID=40&md5=caf447e349b16cc383b45953544a5af7,J. Risk Financ.,Article,Final,,Scopus,2-s2.0-85049875744
"Alt R., Beck R., Smits M.T.",56267296300;7403182380;7006388289;,FinTech and the transformation of the financial industry,2018,Electronic Markets,28,3,,235,243,,62.0,10.1007/s12525-018-0310-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052152510&doi=10.1007%2fs12525-018-0310-9&partnerID=40&md5=1610d4ad261b01895c3d0f106030e8c4,Electron. Mark.,Editorial,Final,"All Open Access, Bronze",Scopus,2-s2.0-85052152510
"Stoeckli E., Dremel C., Uebernickel F.",57202369909;57194428268;26424874500;,Exploring characteristics and transformational capabilities of InsurTech innovations to understand insurance value creation in a digital world,2018,Electronic Markets,28,3,,287,305,,35.0,10.1007/s12525-018-0304-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048039671&doi=10.1007%2fs12525-018-0304-7&partnerID=40&md5=05dc8dc3d884daf8438ec4a45526c30f,Electron. Mark.,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85048039671
Wang J.,57201995346;,From aperture satellite to “Internet finance”: Institutionalization of ICTs in China's financial sector since 1991,2018,Telecommunications Policy,42,7,,566,574,,15.0,10.1016/j.telpol.2018.04.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046652611&doi=10.1016%2fj.telpol.2018.04.004&partnerID=40&md5=cb7294c84e14da0531923b187952dc29,Telecommun Policy,Article,Final,,Scopus,2-s2.0-85046652611
"Marszk A., Lechman E.",56499260300;56499101500;,Tracing financial innovation diffusion and substitution trajectories. Recent evidence on exchange-traded funds in Japan and South Korea,2018,Technological Forecasting and Social Change,133,,,51,71,,6.0,10.1016/j.techfore.2018.03.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044128517&doi=10.1016%2fj.techfore.2018.03.003&partnerID=40&md5=f41f94a131a07c1ad913171262e6887d,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85044128517
"Gimpel H., Rau D., Röglinger M.",14008766500;57196461339;15923698200;,Understanding FinTech start-ups – a taxonomy of consumer-oriented service offerings,2018,Electronic Markets,28,3,,245,264,,67.0,10.1007/s12525-017-0275-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033406752&doi=10.1007%2fs12525-017-0275-0&partnerID=40&md5=c6124592a9ca1a8d75463f12439094d2,Electron. Mark.,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85033406752
Mendes-Da-Silva W.,54950189500;,Introduction: The context of financial innovations,2018,Individual Behaviors and Technologies for Financial Innovations,,,,3,23,,,10.1007/978-3-319-91911-9_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063312775&doi=10.1007%2f978-3-319-91911-9_1&partnerID=40&md5=4d952d916e345c2e10700e83e71198bb,Individ. Behav. and Technol. for Financ. Innov.,Editorial,Final,,Scopus,2-s2.0-85063312775
"Anugerah D.P., Indriani M.",57203354141;56288327800;,Data Protection in Financial Technology Services: Indonesian Legal Perspective,2018,IOP Conference Series: Earth and Environmental Science,175,1,012188,,,,4.0,10.1088/1755-1315/175/1/012188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051396423&doi=10.1088%2f1755-1315%2f175%2f1%2f012188&partnerID=40&md5=1752b4a21947beb5b83fdcb103ba94ab,IOP Conf. Ser. Earth Environ. Sci.,Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-85051396423
"Onay C., Öztürk E.",54881274800;57203431415;,A review of credit scoring research in the age of Big Data,2018,Journal of Financial Regulation and Compliance,26,3,,382,405,,13.0,10.1108/JFRC-06-2017-0054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051722974&doi=10.1108%2fJFRC-06-2017-0054&partnerID=40&md5=ddaa01b9bd822643642418654830619d,J. Financ. Regul. Compliance,Article,Final,,Scopus,2-s2.0-85051722974
Thomas S.,55456146500;,"Law, smart technology, and circular economy: All watched over by machines of loving grace?",2018,"Law, Innovation and Technology",10,2,,230,265,,4.0,10.1080/17579961.2018.1527478,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054798737&doi=10.1080%2f17579961.2018.1527478&partnerID=40&md5=ba37bd52a72876024df0d4f8d02c6785,Law Innov. Technol.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85054798737
Wiradinata T.,57142502000;,Mobile Payment Services Adoption: The Role of Perceived Technology Risk,2018,"2018 International Conference on Orange Technologies, ICOT 2018",,,8705859,,,,1.0,10.1109/ICOT.2018.8705859,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065968579&doi=10.1109%2fICOT.2018.8705859&partnerID=40&md5=5e58d3aea61ae9e915bdfff5e02fe07c,"Int. Conf. Orange Technol., ICOT",Conference Paper,Final,,Scopus,2-s2.0-85065968579
"Li S., Cha S.-H., Tappert C.C.",57195535218;7201865612;7004164520;,Biometric distinctiveness of brain signals based on EEG,2018,"2018 IEEE 9th International Conference on Biometrics Theory, Applications and Systems, BTAS 2018",,,8698540,,,,4.0,10.1109/BTAS.2018.8698540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065391789&doi=10.1109%2fBTAS.2018.8698540&partnerID=40&md5=9da0e54c42995836aa428209cc38e2aa,"IEEE Int. Conf. Biom. Theory, Appl. Syst., BTAS",Conference Paper,Final,,Scopus,2-s2.0-85065391789
"Fernando E., Surjandy, Meyliana, Touriano D.",57189355900;57194546265;57203859161;57189349587;,Development and Validation of Instruments Adoption FinTech services in Indonesia (Perspective of Trust and Risk),2018,"3rd International Conference on Sustainable Information Engineering and Technology, SIET 2018 - Proceedings",,,8693192,283,287,,7.0,10.1109/SIET.2018.8693192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065249595&doi=10.1109%2fSIET.2018.8693192&partnerID=40&md5=49338d5a4014346535b4367fd0105552,"Int. Conf. Sustain. Inf. Eng. Technol., SIET - Proc.",Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-85065249595
"Nabila M., Purwandari B., Nazief B.A.A., Chalid D.A., Wibowo S.S., Solichah I.",57208579395;56716397400;6508196587;57204637218;57202901613;55014342100;,Financial Technology Acceptance Factors of Electronic Wallet and Digital Cash in Indonesia,2018,"2018 International Conference on Information Technology Systems and Innovation, ICITSI 2018 - Proceedings",,,8696091,284,289,,6.0,10.1109/ICITSI.2018.8696091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065209308&doi=10.1109%2fICITSI.2018.8696091&partnerID=40&md5=2fd1e9c3b5fad9e117e895a9240e1b4e,"Int. Conf. Inf. Technol. Syst. Innov., ICITSI - Proc.",Conference Paper,Final,,Scopus,2-s2.0-85065209308
