Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Crawford J.A., Dawkins S., Martin A., Lewis G.","57196083515;55821852400;55708414600;56144738400;","Putting the leader back into authentic leadership: Reconceptualising and rethinking leaders",2020,"Australian Journal of Management","45","1",,"114","133",,27,"10.1177/0312896219836460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064544800&doi=10.1177%2f0312896219836460&partnerID=40&md5=d6b2cd231ac56bd8dc6906d0351ba274","Tasmanian School of Business and Economics, University of Tasmania, Launceston, TAS, Australia; Tasmanian School of Business and Economics, University of Tasmania, Hobart, TAS, Australia","Crawford, J.A., Tasmanian School of Business and Economics, University of Tasmania, Launceston, TAS, Australia; Dawkins, S., Tasmanian School of Business and Economics, University of Tasmania, Hobart, TAS, Australia; Martin, A., Tasmanian School of Business and Economics, University of Tasmania, Hobart, TAS, Australia; Lewis, G., Tasmanian School of Business and Economics, University of Tasmania, Launceston, TAS, Australia","Authentic leadership; authenticity; construct clarity; definition of leadership; leadership",,"Crawford, J.A.; Tasmanian School of Business and Economics, Australia; email: Joseph.Crawford@utas.edu.au",03128962,,,"Aust. J. Manage.",Article,"Final","All Open Access, Green",Scopus
"Arner D.W., Zetzsche D.A., Buckley R.P., Barberis J.N.","15046436800;35622920200;55185207500;57192695507;","The Identity Challenge in Finance: From Analogue Identity to Digitized Identification to Digital KYC Utilities",2019,"European Business Organization Law Review","20","1",,"55","80",,27,"10.1007/s40804-019-00135-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063024463&doi=10.1007%2fs40804-019-00135-1&partnerID=40&md5=00a73835cc749d5b8f601d0c05cf4df9","Kerry Holdings Professor in Law and Co-Founder, Asian Institute of International Financial Law, University of Hong Kong, Pokfulam, Hong Kong; Professor of Law, ADA Chair in Financial Law (Inclusive Finance), Faculty of Law, Economics and Finance, University of Luxembourg, Luxembourg City, Luxembourg; Director, Centre for Business and Corporate Law, Heinrich-Heine-University, Düsseldorf, Germany; KPMG Law King and Wood Mallesons Chair of Disruptive Innovation, Scientia Professor, and Member, Centre for Law, Markets and Regulation, UNSW Sydney, Sydney, Australia; Co-Founder, Supercharger, and Research Fellow, Asian Institute of International Financial Law, University of Hong Kong, Pokfulam, Hong Kong","Arner, D.W., Kerry Holdings Professor in Law and Co-Founder, Asian Institute of International Financial Law, University of Hong Kong, Pokfulam, Hong Kong; Zetzsche, D.A., Professor of Law, ADA Chair in Financial Law (Inclusive Finance), Faculty of Law, Economics and Finance, University of Luxembourg, Luxembourg City, Luxembourg, Director, Centre for Business and Corporate Law, Heinrich-Heine-University, Düsseldorf, Germany; Buckley, R.P., KPMG Law King and Wood Mallesons Chair of Disruptive Innovation, Scientia Professor, and Member, Centre for Law, Markets and Regulation, UNSW Sydney, Sydney, Australia; Barberis, J.N., Co-Founder, Supercharger, and Research Fellow, Asian Institute of International Financial Law, University of Hong Kong, Pokfulam, Hong Kong","Anti-money laundering; Digital identification; eKYC infrastructure; Finance; Financial inclusion; FinTech; Identity; KYC utilities; Market integrity; RegTech",,"Arner, D.W.; Kerry Holdings Professor in Law and Co-Founder, Hong Kong; email: Douglas.Arner@hku.hk",15667529,,,"Eur. Bus. Org. Law Rev.",Article,"Final","All Open Access, Green",Scopus
"Salampasis D., Mention A.-L.","56354767700;56289905900;","FinTech: Harnessing Innovation for Financial Inclusion",2018,"Handbook of Blockchain, Digital Finance, and Inclusion","2",,,"451","461",,27,"10.1016/B978-0-12-812282-2.00018-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054452288&doi=10.1016%2fB978-0-12-812282-2.00018-8&partnerID=40&md5=1dbf45c30e3f1bc4c013c2e8e7e1fc44","Swinburne University of Technology, Hawthorn, VIC, Australia; RMIT University, Melbourne, VIC, Australia","Salampasis, D., Swinburne University of Technology, Hawthorn, VIC, Australia; Mention, A.-L., RMIT University, Melbourne, VIC, Australia","Financial exclusion; Financial inclusion; Financial services",,"Salampasis, D.; Swinburne University of TechnologyAustralia",,9780128122990; 9780128122822,,"Handb. of Blockchain, Digit. Financ., and Incl.",Book Chapter,"Final","",Scopus
"Mizumoto A., Plonsky L.","54976588400;22935371500;","R as a Lingua Franca: Advantages of using r for quantitative research in applied linguistics",2016,"Applied Linguistics","37","2",,"284","291",,27,"10.1093/applin/amv025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984663133&doi=10.1093%2fapplin%2famv025&partnerID=40&md5=948a9eb9d6b09f13072dc2c421a2164b","Kansai University, Japan; Northern Arizona University, United States","Mizumoto, A., Kansai University, Japan; Plonsky, L., Northern Arizona University, United States",,,,01426001,,,"Appl. Linguist.",Review,"Final","All Open Access, Green",Scopus
"Hao L., Zhang J.H., Fang J.B.","56119567400;56121294000;56119622900;","Does voluntary adoption of XBRL reduce cost of equity capital?",2014,"International Journal of Accounting and Information Management","22","2",,"86","102",,27,"10.1108/IJAIM-11-2012-0071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898859697&doi=10.1108%2fIJAIM-11-2012-0071&partnerID=40&md5=a59d5d603f91f1efda4967b684fe3e16","California State University, Fresno, CA, United States; School of Accountancy, University of Memphis, Memphis, TN, United States; Beacom School of Business, University of South Dakota, Vermillion, SD, United States","Hao, L., California State University, Fresno, CA, United States; Zhang, J.H., School of Accountancy, University of Memphis, Memphis, TN, United States; Fang, J.B., Beacom School of Business, University of South Dakota, Vermillion, SD, United States","Cost of equity capital; Information systems; US evidence; XBRL",,"Zhang, J.H.; School of Accountancy, University of Memphis, Memphis, TN, United States; email: jzhang5@memphis.edu",18347649,,,"Int. J. Account. Inf. Manage.",Article,"Final","",Scopus
"Jain S., Gabor D.","57214317786;24821198400;","The Rise of Digital Financialisation: The Case of India",2020,"New Political Economy","25","5",,"813","828",,26,"10.1080/13563467.2019.1708879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078606212&doi=10.1080%2f13563467.2019.1708879&partnerID=40&md5=78bb846151d7eefa167162089558ad8d","Department of Accounting, Economics and Finance, University of the West of England, Bristol, United Kingdom","Jain, S., Department of Accounting, Economics and Finance, University of the West of England, Bristol, United Kingdom; Gabor, D., Department of Accounting, Economics and Finance, University of the West of England, Bristol, United Kingdom","demonetisation; financial inclusion; Financialisation; surveillance capitalism; technocratic nationalism","conceptual framework; developing world; digitization; finance; state role; technological change; technology adoption; India","Jain, S.; Department of Accounting, United Kingdom; email: sudeep2.jain@live.uwe.ac.uk",13563467,,,"New Polit. Econ.",Article,"Final","",Scopus
"Hasan M.M., Yajuan L., Mahmud A.","57210554019;57210552450;57214804497;","Regional Development of China’s Inclusive Finance Through Financial Technology",2020,"SAGE Open","10","1",,"","",,26,"10.1177/2158244019901252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079194756&doi=10.1177%2f2158244019901252&partnerID=40&md5=dd198a59d090f167ff53ad4eeb8c7258","School of Finance, Nanjing Audit University, China; Xuzhou Medical University, Xuzhou, China; School of Management, University of Science and Technology of China, Hefei, China","Hasan, M.M., School of Finance, Nanjing Audit University, China; Yajuan, L., School of Finance, Nanjing Audit University, China, Xuzhou Medical University, Xuzhou, China; Mahmud, A., School of Management, University of Science and Technology of China, Hefei, China","Chinese economy; financial inclusion; FinTech; inclusive development; inclusive finance; internet finance; mobile payment",,"Yajuan, L.; School of Finance, China; email: luyajuan66@126.com",21582440,,,"SAGE Open",Article,"Final","All Open Access, Gold, Green",Scopus
"Calvano E., Calzolari G., Denicolò V., Pastorello S.","55824176100;6603763770;6603962654;6506746338;","Algorithmic Pricing What Implications for Competition Policy?",2019,"Review of Industrial Organization","55","1",,"155","171",,26,"10.1007/s11151-019-09689-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061271355&doi=10.1007%2fs11151-019-09689-3&partnerID=40&md5=8758f453e1c09d1fe77adde55551189a","Dipartimento di Scienze Economiche, University of Bologna, Piazza Scaravilli 2, Bologna, 40126, Italy; CEPR, London, United Kingdom; Toulouse School of Economics, Toulouse, France; European University Institute and University of Bologna, Via delle fontanelle 18, Florence, 50014, Italy","Calvano, E., Dipartimento di Scienze Economiche, University of Bologna, Piazza Scaravilli 2, Bologna, 40126, Italy, Toulouse School of Economics, Toulouse, France; Calzolari, G., CEPR, London, United Kingdom, Toulouse School of Economics, Toulouse, France, European University Institute and University of Bologna, Via delle fontanelle 18, Florence, 50014, Italy; Denicolò, V., Dipartimento di Scienze Economiche, University of Bologna, Piazza Scaravilli 2, Bologna, 40126, Italy, CEPR, London, United Kingdom; Pastorello, S., Dipartimento di Scienze Economiche, University of Bologna, Piazza Scaravilli 2, Bologna, 40126, Italy","Algorithmic pricing; Artificial intelligence; Collusion; Competition policy; Machine learning","algorithm; artificial intelligence; competition policy; industrial policy; machine learning; numerical model; price dynamics","Calzolari, G.; European University Institute and University of Bologna, Via delle fontanelle 18, Italy; email: giacomo.calzolari@eui.eu",0889938X,,,"Rev. Ind. Organ.",Article,"Final","All Open Access, Green",Scopus
"Mulligan D.K., Bamberger K.A.","22835924000;24074308900;","Saving governance-by-design",2018,"California Law Review","106","3",,"697","784",,26,"10.15779/Z38QN5ZB5H","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051569516&doi=10.15779%2fZ38QN5ZB5H&partnerID=40&md5=110e28c420d1d2ad445c6f142cb48ebd","School of Information, University of California, Berkeley, United States; Berkeley Center for Law and Technology, United States; University of California, Berkeley, United States","Mulligan, D.K., School of Information, University of California, Berkeley, United States, Berkeley Center for Law and Technology, United States; Bamberger, K.A., Berkeley Center for Law and Technology, United States, University of California, Berkeley, United States",,,,00081221,,,"Calif. Law Rev.",Review,"Final","",Scopus
"Han S., Rezaee Z., Xue L., Zhang J.H.","57209215711;6603153872;56844410700;56121294000;","The association between information technology investments and audit risk",2016,"Journal of Information Systems","30","1",,"93","116",,26,"10.2308/isys-51317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962748132&doi=10.2308%2fisys-51317&partnerID=40&md5=bf3fadd3de736127508d42fa5303cf6d","University of Massachusetts Dartmouth, United States; The University of Memphis, United States; Georgia State University, United States","Han, S., University of Massachusetts Dartmouth, United States; Rezaee, Z., The University of Memphis, United States; Xue, L., Georgia State University, United States; Zhang, J.H., The University of Memphis, United States","Audit fees; Audit risk; Auditor tenure; Information technology investments",,,08887985,,,"J. Info. Syst.",Article,"Final","",Scopus
"Gozman D., Currie W.","55490621900;7005797457;","The role of investment management systems in regulatory compliance: A post-financial crisis study of displacement mechanisms",2014,"Journal of Information Technology","29","1",,"44","58",,26,"10.1057/jit.2013.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894215922&doi=10.1057%2fjit.2013.16&partnerID=40&md5=fa6fbab2b7ac370e862e5dcac2124b07","London School of Economics and Political Science, University of Greenwich, London, United Kingdom; Audencia-PRES, LUNAM, Audencia School of Management, 8 route de la Jonelière, 44312 Nantes Cedex 3, France","Gozman, D., London School of Economics and Political Science, University of Greenwich, London, United Kingdom; Currie, W., Audencia-PRES, LUNAM, Audencia School of Management, 8 route de la Jonelière, 44312 Nantes Cedex 3, France","finance industry; financial crisis; governance risk and compliance; institutional change; Investment Management Systems; regulatory change","Finance industries; Financial crisis; Governance risks; Institutional change; Investment management; Regulatory change","Gozman, D.; London School of Economics and Political Science, , London, United Kingdom; email: daniel.gozman@gmail.com",02683962,,,"J. Inf. Technol.",Article,"Final","",Scopus
"Vasarhelyi M.A., Romero S.","6602769766;53364214700;","Technology in audit engagements: A case study",2014,"Managerial Auditing Journal","29","4",,"350","365",,26,"10.1108/MAJ-06-2013-0881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898662825&doi=10.1108%2fMAJ-06-2013-0881&partnerID=40&md5=4c248f61317791c5b470c592c2b9c36d","Rutgers the State University of New Jersey, Newark, NJ, United States; Montclair State University, Montclair, NJ, United States","Vasarhelyi, M.A., Rutgers the State University of New Jersey, Newark, NJ, United States; Romero, S., Montclair State University, Montclair, NJ, United States","Audit technology; Audit tools; Usability audit",,"Romero, S.; Montclair State University, Montclair, NJ, United States; email: romeros@mail.montclair.edu",02686902,,,"Manage. Audit. J.",Article,"Final","",Scopus
"Hansen T., Wilke R., Zaichkowsky J.","56664699200;14219950400;6505808551;","Managing consumer complaints: differences and similarities among heterogeneous retailers",2010,"International Journal of Retail & Distribution Management","38","1",,"6","23",,26,"10.1108/09590551011016304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75649129091&doi=10.1108%2f09590551011016304&partnerID=40&md5=4c02f627a9d3002f2abcc9dcf3bc5825","Department of Marketing, Copenhagen Business School, Frederiksberg, Denmark","Hansen, T., Department of Marketing, Copenhagen Business School, Frederiksberg, Denmark; Wilke, R., Department of Marketing, Copenhagen Business School, Frederiksberg, Denmark; Zaichkowsky, J., Department of Marketing, Copenhagen Business School, Frederiksberg, Denmark","Compensation; Complaints; Customer relations; Customer satisfaction; Denmark; Sweden",,,09590552,,,"Int. J. Retail Disrtib. Manage.",Article,"Final","",Scopus
"Bowrin A.R., King II J.","16641853500;56215904400;","Time pressure, task complexity, and audit effectiveness",2010,"Managerial Auditing Journal","25","2",,"160","181",,26,"10.1108/02686901011008963","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249099256&doi=10.1108%2f02686901011008963&partnerID=40&md5=78cd95eee4e54abe6fe32e1ec424031a","Saginaw Valley State University, Midland, MI, United States; Formerly of School of Accountancy, Southern Illinois University, Carbondale, IL, United States","Bowrin, A.R., Saginaw Valley State University, Midland, MI, United States; King II, J., Formerly of School of Accountancy, Southern Illinois University, Carbondale, IL, United States","Auditing; Task analysis; Time-based management",,"Bowrin, A. R.; Saginaw Valley State University, Midland, MI, United States; email: abowrin@svsu.edu",02686902,,,"Manage. Audit. J.",Article,"Final","",Scopus
"Koker L.","57191045138;","Identifying and managing low money laundering risk: Perspectives on FATF's riskbased guidance",2009,"Journal of Financial Crime","16","4",,"334","352",,26,"10.1108/13590790910993717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992972031&doi=10.1108%2f13590790910993717&partnerID=40&md5=5d86df3af4965acf7be1b82381d4e5e9","School of Law, Deakin University, Geelong, Australia","Koker, L., School of Law, Deakin University, Geelong, Australia","Financing; Money laundering; Risk assessment; Terrorism",,"Koker, L.; School of Law, , Geelong, Australia",13590790,,,"J. Financ. Crime",Article,"Final","",Scopus
"Zhu T.","9737124100;","An outlier detection model based on cross datasets comparison for financial surveillance",2006,"Proceedings of 2006 IEEE Asia-Pacific Conference on Services Computing, APSCC",,,"4041296","601","604",,25,"10.1109/APSCC.2006.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39749136108&doi=10.1109%2fAPSCC.2006.33&partnerID=40&md5=4c5dfb20f01f339aed97cc27fe0c5e49","Department of Computer Information Engineering, Wuhan Polytechnic University, Wuhan 430023, China","Zhu, T., Department of Computer Information Engineering, Wuhan Polytechnic University, Wuhan 430023, China","Behaviour pattern recognition; Finance surveillance; Knowledge discovery; Outlier detection","Approximation algorithms; Behavioral research; Customer satisfaction; Finance; Mathematical models; Pattern recognition; Behaviour pattern recognition; Finance surveillance; Outlier detection; Intelligent systems","Zhu, T.; Department of Computer Information Engineering, , Wuhan 430023, China; email: zhutq@126.com",,0769527515; 9780769527512,,"Proc. IEEE Asia-Pacific Conf. Serv. Comput., APSCC",Conference Paper,"Final","",Scopus
"Leitner-Hanetseder S., Lehner O.M., Eisl C., Forstenlechner C.","57222106157;37088962700;56768239700;57222106970;","A profession in transition: actors, tasks and roles in AI-based accounting",2021,"Journal of Applied Accounting Research","22","3",,"539","556",,24,"10.1108/JAAR-10-2020-0201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099422856&doi=10.1108%2fJAAR-10-2020-0201&partnerID=40&md5=1d5a728959161f72fb035e1a9759ca61","Controlling, Accounting and Financial Management, School of Business and Management, University of Applied Sciences Upper Austria, Steyr, Austria; Hanken School of Economics, Helsinki, Finland","Leitner-Hanetseder, S., Controlling, Accounting and Financial Management, School of Business and Management, University of Applied Sciences Upper Austria, Steyr, Austria; Lehner, O.M., Controlling, Accounting and Financial Management, School of Business and Management, University of Applied Sciences Upper Austria, Steyr, Austria, Hanken School of Economics, Helsinki, Finland; Eisl, C., Controlling, Accounting and Financial Management, School of Business and Management, University of Applied Sciences Upper Austria, Steyr, Austria; Forstenlechner, C., Controlling, Accounting and Financial Management, School of Business and Management, University of Applied Sciences Upper Austria, Steyr, Austria","Accounting profession; Artificial intelligence; Delphi study; Digital accounting; Roles",,"Forstenlechner, C.; Controlling, Austria; email: carina.forstenlechner@fh-steyr.at",09675426,,,"J. Appl. Account. Res.",Article,"Final","All Open Access, Hybrid Gold",Scopus
"Buckley R.P., Arner D.W., Zetzsche D.A., Weber R.H.","55185207500;15046436800;35622920200;23981413900;","The road to RegTech: the (astonishing) example of the European Union",2020,"Journal of Banking Regulation","21","1",,"26","36",,24,"10.1057/s41261-019-00104-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073951758&doi=10.1057%2fs41261-019-00104-1&partnerID=40&md5=92ff0130bf99961a82f605e1bb3e2399","UNSW Sydney, Kensington, Australia; University of Hong Kong, Pok Fu Lam, Hong Kong; University of Luxembourg, Luxembourg; Heinrich-Heine-University, Düsseldorf, Germany; University of Zurich, Zurich, Switzerland","Buckley, R.P., UNSW Sydney, Kensington, Australia; Arner, D.W., University of Hong Kong, Pok Fu Lam, Hong Kong; Zetzsche, D.A., University of Luxembourg, Luxembourg, Heinrich-Heine-University, Düsseldorf, Germany; Weber, R.H., University of Zurich, Zurich, Switzerland","Data protection; Digital identity; European Union; Financial regulation; FinTech; General Data Protection Regulation (GDPR); Open banking; Payment Services Directive 2 (PSD 2); RegTech",,"Buckley, R.P.; UNSW SydneyAustralia; email: ross.buckley@unsw.edu.au",17456452,,,"J. Bank. Regul.",Article,"Final","All Open Access, Green",Scopus
"Watanabe C., Tou Y., Neittaanmäki P.","55619319799;6603292302;7004251871;","A new paradox of the digital economy - Structural sources of the limitation of GDP statistics",2018,"Technology in Society","55",,,"9","23",,24,"10.1016/j.techsoc.2018.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048109049&doi=10.1016%2fj.techsoc.2018.05.004&partnerID=40&md5=ca8d55ee306ba9308a83a7da4173a742","Faculty of Information Technology, University of Jyväskylä, Finland; International Institute for Applied Systems Analysis (IIASA), Austria; Tokyo Institute of Technology, Japan","Watanabe, C., Faculty of Information Technology, University of Jyväskylä, Finland, International Institute for Applied Systems Analysis (IIASA), Austria; Tou, Y., Tokyo Institute of Technology, Japan; Neittaanmäki, P., Faculty of Information Technology, University of Jyväskylä, Finland","Digital economy; Limitation of GDP; Productivity decline; Soft innovation resources; Uncaptured GDP","Productivity; Digital economy; Individual behavior; Industrialized countries; Information and Communication Technologies; Limitation of GDP; Productivity paradox; Soft innovation resources; Uncaptured GDP; Industrial economics; empirical analysis; Gross Domestic Product; information and communication technology; innovation; Internet; preference behavior; productivity","Watanabe, C.; Faculty of Information Technology, Finland; email: watanabe.c.pqr@gmail.com",0160791X,,,"Technol. Soc.",Article,"Final","All Open Access, Green",Scopus
"Shahnawaz, Mishra R.B.","57203386251;24581342800;","An English to Urdu translation model based on CBR, ANN and translation rules",2015,"International Journal of Advanced Intelligence Paradigms","7","1",,"1","23",,24,"10.1504/IJAIP.2015.070335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936761273&doi=10.1504%2fIJAIP.2015.070335&partnerID=40&md5=ce385412b33fb91f66cbfeba61054c7d","College of Computation and Informatics, Saudi Electronic University, Dammam, 31454, Saudi Arabia; Department of Computer Engineering, Indian Institute of Technology, Banaras Hindu University (IT-BHU), Varanasi, UP  221005, India","Shahnawaz, College of Computation and Informatics, Saudi Electronic University, Dammam, 31454, Saudi Arabia; Mishra, R.B., Department of Computer Engineering, Indian Institute of Technology, Banaras Hindu University (IT-BHU), Varanasi, UP  221005, India","Case-based reasoning; CBR; English; Machine translation; Neural network; Translation rules; Urdu",,"Shahnawaz; College of Computation and Informatics, Saudi Arabia; email: shahnawaz.rs.cse@itbhu.ac.in",17550386,,,"Int. J. Adv. Intell. Paradigms",Article,"Final","",Scopus
"Johnson S., Kwak J.","7406326915;55169434400;","Is financial innovation good for the economy?",2012,"Innovation Policy and the Economy","12","1",,"1","16",,24,"10.1086/663153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859347801&doi=10.1086%2f663153&partnerID=40&md5=40e05836ffe2eb527aedbef7ddc1f2d4","MIT and NBER, United States; University of Connecticut School of Law, United States","Johnson, S., MIT and NBER, United States; Kwak, J., University of Connecticut School of Law, United States",,,"Johnson, S.; MIT and NBERUnited States",15313468,,,"Innov. Policy Econ.",Article,"Final","All Open Access, Green",Scopus
"Hannoon A., Al-Sartawi A.M.A.M., Khalid A.A.","57204502013;57191107039;57194470447;","Relationship Between Financial Technology and Financial Performance",2021,"Studies in Computational Intelligence","974",,,"337","344",,23,"10.1007/978-3-030-73057-4_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107062755&doi=10.1007%2f978-3-030-73057-4_26&partnerID=40&md5=2b983ad8901d0e453a3a060b75554a89","American University in the Emirates, Dubai, United Arab Emirates; Ahlia University, Manama, Bahrain; Universiti Pendidikan Sultan Idris, Perak, Malaysia","Hannoon, A., American University in the Emirates, Dubai, United Arab Emirates; Al-Sartawi, A.M.A.M., Ahlia University, Manama, Bahrain; Khalid, A.A., Universiti Pendidikan Sultan Idris, Perak, Malaysia","Bahrain; Banks; Financial technology; Performance; ROE",,"Hannoon, A.; American University in the EmiratesUnited Arab Emirates; email: azzamhannon@hotmail.com",1860949X,,,"Stud. Comput. Intell.",Book Chapter,"Final","",Scopus
"Tiwari M., Gepp A., Kumar K.","57211918380;26030370400;57202765898;","A review of money laundering literature: the state of research in key areas",2020,"Pacific Accounting Review","32","2",,"271","303",,23,"10.1108/PAR-06-2019-0065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082177128&doi=10.1108%2fPAR-06-2019-0065&partnerID=40&md5=319ca0aee9eaf1b1f365c2ed7f3c2e93","Bond Business School, Bond University, Gold Coast, Australia","Tiwari, M., Bond Business School, Bond University, Gold Coast, Australia; Gepp, A., Bond Business School, Bond University, Gold Coast, Australia; Kumar, K., Bond Business School, Bond University, Gold Coast, Australia","Detection; Illicit activities; Money laundering; Shell companies",,"Gepp, A.; Bond Business School, Australia; email: adgepp@bond.edu.au",01140582,,,"Pacafic Acc. Rev.",Review,"Final","All Open Access, Green",Scopus
"Razzaque A., Cummings R.T., Karolak M., Hamdan A.","55038266000;57212809590;55323902000;56825295800;","The Propensity to Use FinTech: Input from Bankers in the Kingdom of Bahrain",2020,"Journal of Information and Knowledge Management","19","1","2040025","","",,23,"10.1142/S0219649220400250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082413089&doi=10.1142%2fS0219649220400250&partnerID=40&md5=716274a9c9e011d9f720e931100af0cd","Management Information Department, College of Business and Finance, Ahlia University, Bahrain; College of Business and Finance, Ahlia University, Bahrain; College of Humanities and Social Sciences, Zayed University, United Arab Emirates","Razzaque, A., Management Information Department, College of Business and Finance, Ahlia University, Bahrain; Cummings, R.T., College of Business and Finance, Ahlia University, Bahrain; Karolak, M., College of Humanities and Social Sciences, Zayed University, United Arab Emirates; Hamdan, A., College of Business and Finance, Ahlia University, Bahrain","Bahrain; continuance intention; FinTech; perceived benefit; perceived risk","Reliability analysis; Risk assessment; Bahrain; Continuance intentions; Kingdom of Bahrain; Multiple regressions; Perceived benefits; Perceived risk; Reliability and validity; Survey instruments; Fintech",,02196492,,,"J. Inf. Knowl. Manage.",Article,"Final","",Scopus
"Beheshti A., Benatallah B., Tabebordbar A., Motahari-Nezhad H.R., Barukh M.C., Nouri R.","50361038600;6701493053;37054626500;16053075900;55608083400;56806785300;","DataSynapse: A Social Data Curation Foundry",2019,"Distributed and Parallel Databases","37","3",,"351","384",,23,"10.1007/s10619-018-7245-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052619647&doi=10.1007%2fs10619-018-7245-1&partnerID=40&md5=a7e54938232a75aa8446d3f4de6b833c","Macquarie University, Sydney, Australia; University of New South Wales, Sydney, Australia; EY AI Lab, Palo Alto, United States","Beheshti, A., Macquarie University, Sydney, Australia; Benatallah, B., University of New South Wales, Sydney, Australia; Tabebordbar, A., University of New South Wales, Sydney, Australia; Motahari-Nezhad, H.R., University of New South Wales, Sydney, Australia, EY AI Lab, Palo Alto, United States; Barukh, M.C., University of New South Wales, Sydney, Australia; Nouri, R., University of New South Wales, Sydney, Australia","Big data analytics; Data curation; Feature engineering; Knowledge lake; Social networks analytics","Budget control; Extraction; Feature extraction; Foundries; Lakes; National security; Semantics; Social networking (online); Big Data Analytics; Contextualization; Cross document coreference; Data curation; Feature engineerings; Government services; Intelligence activities; Scalable algorithms; Big data","Beheshti, A.; Macquarie UniversityAustralia; email: amin.beheshti@mq.edu.au",09268782,,DAATE,"Distrib Parallel Databases",Article,"Final","",Scopus
"Miraz M.H., Donald D.C.","43261770700;56469008300;","Application of Blockchain in Booking and Registration Systems of Securities Exchanges",2019,"Proceedings - 2018 International Conference on Computing, Electronics and Communications Engineering, iCCECE 2018",,,"8658726","35","40",,23,"10.1109/iCCECOME.2018.8658726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063463690&doi=10.1109%2fiCCECOME.2018.8658726&partnerID=40&md5=7cf8755c552d88eac86b0d83d901bc09","Centre for Financial Regulation and Economic Development (CFRED), Chinese University of Hong Kong (CUHK), Sha Tin, Hong Kong","Miraz, M.H., Centre for Financial Regulation and Economic Development (CFRED), Chinese University of Hong Kong (CUHK), Sha Tin, Hong Kong; Donald, D.C., Centre for Financial Regulation and Economic Development (CFRED), Chinese University of Hong Kong (CUHK), Sha Tin, Hong Kong","Blockchain; Distributed Ledger; FinTech; LawTech; RegTech; Securities Exchange; Stock Exchange","Financial markets; Laws and legislation; Security of data; Distributed Ledger; FinTech; LawTech; RegTech; Stock exchange; Blockchain",,,9781538649046,,"Proc. - Int. Conf. Comput., Electron. Commun. Eng., iCCECE",Conference Paper,"Final","All Open Access, Green",Scopus
"Rodrigues U.R.","16403281000;","Law and the blockchain",2019,"Iowa Law Review","104","2",,"679","729",,23,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062012760&partnerID=40&md5=580bae7726efb76c238b5bb08346c6dd","University of Georgia, School of Law, United States","Rodrigues, U.R., University of Georgia, School of Law, United States",,,"Rodrigues, U.R.; University of Georgia, United States",00210552,,,"Iowa Law Rev.",Article,"Final","",Scopus
