raw_source_title,issn,eissn,subject_areas
Industrielle Beziehungen,09432779,18620035,"Business, Management and Accounting"
Industry and Environment,03789993,,Environmental Science
Industry and Higher Education,09504222,20436858,"Business, Management and Accounting; Social Sciences"
Industry and Innovation,13662716,14698390,"Business, Management and Accounting"
Industry Week,00390895,,"Business, Management and Accounting; Engineering"
Infancia y Aprendizaje,02103702,15784126,Psychology; Social Sciences
Infancy,15250008,15327078,Medicine; Psychology
Infant and Child Development,15227227,15227219,Psychology
Infant Behavior and Development,01636383,19348800,Psychology
Infant Mental Health Journal,01639641,10970355,Medicine; Psychology
Infant Observation,13698036,17458943,Psychology
"Infant, Child, and Adolescent Nutrition",19414064,19414072,Agricultural and Biological Sciences; Medicine; Nursing
Infanto,14130270,,Medicine; Psychology
Infants and Young Children,08963746,15505081,Medicine; Psychology
Infant-Toddler Intervention,10535586,,Medicine
Infanzia anormale,03933679,,Medicine
Infarma - Pharmaceutical Sciences,01040219,23189312,"Pharmacology, Toxicology and Pharmaceutics"
Infectio,01239392,,Medicine
Infection,03008126,14390973,Medicine
Infection and Chemotherapy,20932340,20926448,Medicine
Infection and Drug Resistance,11786973,,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Infection and Immunity,00199567,10985522,Immunology and Microbiology; Medicine
Infection Control,01959417,,Medicine
Infection Control and Hospital Epidemiology,0899823X,15596834,Medicine
Infection control Canada,0833076X,,Medicine
Infection Ecology and Epidemiology,,20008686,Environmental Science; Medicine
Infection Prevention in Practice,,25900889,Medicine
"Infection, Disease and Health",24680451,24680869,Medicine; Nursing
"Infection, Epidemiology and Microbiology",25884107,25884115,Immunology and Microbiology; Medicine
"Infection, Genetics and Evolution",15671348,15677257,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
"Infection, Supplement",01732129,,Medicine
Infections in Medicine,07496524,,Medicine
Infections in Surgery,02777746,,Medicine
Infectious Agents and Cancer,17509378,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Infectious Agents and Disease,10562044,,Medicine
Infectious Disease Clinics of North America,08915520,15579824,Medicine
Infectious Disease Modelling,24680427,24680427,Mathematics; Medicine
Infectious Disease Reports,20367430,20367449,Medicine
Infectious Diseases,23744235,23744243,Immunology and Microbiology; Medicine
Infectious Diseases and Immunity,20969511,26938839,Immunology and Microbiology; Medicine
Infectious Diseases and Therapy,21938229,21936382,Medicine
Infectious Diseases in Clinical Practice,10569103,15369943,Medicine
Infectious Diseases in Obstetrics and Gynecology,10647449,10980997,Medicine
Infectious Diseases Newsletter,02782316,,
Infectious Diseases Now,26669927,26669919,Medicine
Infectious Diseases of Poverty,20955162,20499957,Medicine
"Infectious Diseases: News, Opinions, Training",23053496,26587394,Medicine; Social Sciences
Infectious Disorders - Drug Targets,18715265,22123989,"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Infectious Medicine,20970684,2772431X,Immunology and Microbiology; Medicine
Infectious Microbes and Diseases,20967241,26415917,Medicine
Infektoloski Glasnik,13312820,,Medicine
Infektsionnye Bolezni,17299225,24149691,Immunology and Microbiology; Medicine
Infertility and Reproductive Medicine Clinics of North America,10479422,,Medicine
Infezioni in Medicina,11249390,,Medicine
Infini,0754023X,,Arts and Humanities
"Infinite Dimensional Analysis, Quantum Probability and Related Topics",02190257,17936306,Mathematics; Physics and Astronomy
Infinity Journal,20896867,24609285,Mathematics; Social Sciences
Inflamacion y Regulacion del Crecimiento Celular,11350946,,Immunology and Microbiology
Inflammation,03603997,15732576,Immunology and Microbiology; Medicine
Inflammation and Allergy - Drug Targets,18715281,,"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Inflammation and Regeneration,18809693,18808190,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Inflammation Research,10233830,1420908X,"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
Inflammatory Bowel Disease Monitor,14667401,,Medicine
Inflammatory Bowel Diseases,10780998,15364844,Medicine
Inflammatory Intestinal Diseases,22969403,22969365,Medicine
Inflammopharmacology,09254692,15685608,"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Influenza and other Respiratory Viruses,17502640,17502659,Medicine
Info,14636697,14659840,Social Sciences
Info Chimie Magazine,12860921,,Chemical Engineering; Chemistry
InfoCare : information strategies for healthcare networks,10904522,,Medicine
Infocommunications Journal,20612079,20612125,Computer Science; Engineering
InfoKara,10219056,,Nursing
InfoMat,,25673165,Materials Science
INFOR,03155986,19160615,Decision Sciences
INFORM,15289303,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
Inform,08923876,,Engineering
"INFORM - International News on Fats, Oils and Related Materials",08978026,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
Informacao e Sociedade,01040146,18094783,Social Sciences
Informacao Psiquiatrica,01014331,,Medicine
Informacije MIDEM,03529045,,Engineering; Materials Science
Informacijos Mokslai,13920561,13921487,"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
Informacion Tecnologica,07168756,07180764,"Agricultural and Biological Sciences; Business, Management and Accounting; Chemical Engineering; Chemistry; Computer Science; Earth and Planetary Sciences; Energy; Engineering; Materials Science"
"Informacion, Cultura y Sociedad",15148327,18511740,Social Sciences
Informacios Tarsadalom,15878694,,Social Sciences
Informal Logic,08242577,,Arts and Humanities
Informatica,08684952,,Computer Science; Mathematics
Informatica (Slovenia),03505596,18543871,Computer Science; Mathematics
Informatics,,22279709,Computer Science; Social Sciences
Informatics and Automation,27133192,27133206,Computer Science; Mathematics
Informatics for Health and Social Care,17538157,,Medicine; Nursing; Health Professions
Informatics in Education,16485831,,Computer Science; Social Sciences
Informatics in Medicine Unlocked,23529148,23529148,Computer Science; Medicine
Informatics in Primary Care,14760320,14759985,Medicine; Nursing
Informatik - Forschung und Entwicklung,01783564,09492925,Computer Science
Informatika i ee Primeneniya,19922264,23109912,Computer Science; Mathematics
Informatik-Spektrum,01706012,,Computer Science
Information,13434500,13448994,Computer Science
Information (Switzerland),20782489,,Computer Science
Information and Communications Technology Law,13600834,,Computer Science; Social Sciences
Information and Computation,08905401,10902651,Computer Science; Mathematics
Information and Computer Security,20564961,,"Business, Management and Accounting; Computer Science; Decision Sciences"
Information and Control,10020411,,Computer Science; Engineering; Mathematics
Information and control,00199958,,Engineering
Information and Culture,21648034,21663033,Arts and Humanities; Social Sciences
Information and decision technologies Amsterdam,09230408,,Engineering
Information and Inference,,20498772,Computer Science; Mathematics
Information and Learning Science,23985348,23985356,Computer Science; Social Sciences
Information and Management,03787206,,"Business, Management and Accounting; Computer Science; Decision Sciences"
Information and Media,27836207,,"Business, Management and Accounting; Decision Sciences; Engineering; Physics and Astronomy; Social Sciences"
Information and Organization,14717727,,"Business, Management and Accounting; Computer Science; Social Sciences"
Information and Software Technology,09505849,,Computer Science
Information Bulletin on Variable Stars,03740676,15872440,Physics and Astronomy
Information Communication and Society,1369118X,,Social Sciences
Information Design Journal,01425471,,Social Sciences
Information Development,17416469,02666669,Social Sciences
Information Discovery and Delivery,23986247,,Computer Science; Social Sciences
Information Display,03620972,2637496X,Computer Science; Engineering
Information Economics and Policy,01676245,,"Economics, Econometrics and Finance; Environmental Science"
Information Fusion,15662535,18726305,Computer Science
Information Geometry,25112481,2511249X,Computer Science; Mathematics
Information Grammaticale,02229838,17831601,Arts and Humanities; Social Sciences
Information Management,1080286X,,"Business, Management and Accounting; Computer Science; Decision Sciences"
Information Management and Computer Security,09685227,,"Business, Management and Accounting; Decision Sciences; Social Sciences"
Information Polity,15701255,18758754,Computer Science; Social Sciences
Information Processing and Management,03064573,18735371,Computer Science; Decision Sciences; Engineering; Social Sciences
Information Processing in Agriculture,22143173,22143173,Agricultural and Biological Sciences; Computer Science
Information processing in medical imaging : proceedings of the ... conference,10112499,,Medicine
Information Processing Letters,00200190,,Computer Science; Mathematics
Information Professional,1743694X,,Computer Science; Decision Sciences; Social Sciences
Information Psychiatrique,00200204,19524056,Medicine
Information Research,13681613,,Social Sciences
Information Resources Management Journal,10401628,15337979,"Business, Management and Accounting; Social Sciences"
Information Retrieval Journal,13864564,15737659,Computer Science; Social Sciences
Information Retrieval Series,18717500,27306836,Computer Science; Social Sciences
Information Sciences,00200255,,Computer Science; Decision Sciences; Engineering; Mathematics
Information Sciences - Applications,10690115,,Computer Science; Decision Sciences; Earth and Planetary Sciences; Engineering; Environmental Science; Mathematics
Information Sciences and Technology,17355206,20085583,Computer Science
Information Sciences Letters,20909551,2090956X,Computer Science; Mathematics; Social Sciences
Information Security and Cryptography,16197100,2197845X,Computer Science; Decision Sciences; Engineering
Information Security Journal,19393555,19393547,Computer Science; Decision Sciences
Information Security Technical Report,13634127,,Computer Science; Engineering
Information Services and Use,01675265,18758789,Computer Science; Social Sciences
Information Society,01972243,10876537,"Business, Management and Accounting; Computer Science; Social Sciences"
Information Storage and Retrieval,00200271,,Engineering
Information Systems,03064379,,Computer Science
Information Systems and e-Business Management,16179846,,Computer Science
Information Systems Frontiers,13873326,15729419,Computer Science; Mathematics
Information Systems Journal,13501917,13652575,Computer Science
Information Systems Management,10580530,,Computer Science; Social Sciences
Information Systems Research,10477047,15265536,"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
Information Systems Security,1065898X,,Computer Science; Decision Sciences
Information Technologies and International Development,15447529,15447537,"Business, Management and Accounting; Computer Science; Social Sciences"
Information Technology and Control,1392124X,,Computer Science; Engineering
Information Technology and Disabilities,10735127,,Computer Science; Decision Sciences
Information Technology and Libraries,07309295,21635226,Computer Science; Social Sciences
Information Technology and Management,1385951X,15737667,"Business, Management and Accounting; Computer Science; Social Sciences"
Information Technology and People,09593845,,Computer Science; Social Sciences
Information Technology and Tourism,10983058,19434294,"Business, Management and Accounting; Computer Science"
Information Technology for Development,02681102,15540170,Computer Science; Social Sciences
Information Technology Journal,18125638,18125646,Computer Science
Information Technology Newsletter,10577939,,Computer Science
Information Visualization,14738716,14738724,Computer Science
"Information, Medium, and Society",26911507,26911515,Arts and Humanities; Social Sciences
Informationstechnik,01799738,,Engineering
Information-Wissenschaft und Praxis,14344653,16194292,Computer Science; Social Sciences
Informatologia,13300067,,Social Sciences
Informatsionno-Upravliaiushchie Sistemy,16848853,25418610,Computer Science; Engineering; Mathematics
"Informatyka, Automatyka, Pomiary w Gospodarce i Ochronie Srodowiska",20830157,23916761,Engineering
Informe Medico,,13169688,Medicine
Informes de la Construccion,00200883,19883234,Engineering; Environmental Science
Informes Tecnicos - Instituto Espanol de Oceanografia,02121565,,Earth and Planetary Sciences
Informing Science,15479684,15214672,Social Sciences
INFORMS Journal on Computing,10919856,15265528,Computer Science; Decision Sciences
INFORMS Transactions on Education,,15320545,"Business, Management and Accounting; Decision Sciences; Social Sciences"
Infortunistica e traumatologia del lavoro,03909417,,Medicine
Infosecurity,17544548,,"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
Infosecurity Today,17426847,,Computer Science
Infosys Science Foundation Series in Mathematical Sciences,23644036,23644044,Mathematics
Infrared Physics,00200891,,Engineering
Infrared Physics and Technology,13504495,,Materials Science; Physics and Astronomy
Infrastructure Asset Management,20530242,20530250,Engineering; Social Sciences
Infrastructures,,24123811,Computer Science; Earth and Planetary Sciences; Engineering; Materials Science
Infusionstherapie,10116966,,Agricultural and Biological Sciences; Medicine
Infusionstherapie und Klinische Ernahrung - Forschung und Praxis,03780791,,Agricultural and Biological Sciences; Medicine
Infusionstherapie und Transfusionsmedizin,10198466,,Agricultural and Biological Sciences; Immunology and Microbiology; Medicine
Ingegneria Ferroviaria,00200956,,Engineering; Social Sciences
Ingegneria Sismica,03931420,,Earth and Planetary Sciences; Engineering
Ingeniare,07183291,07183305,Engineering
Ingenieria (Colombia),0121750X,23448393,Engineering
Ingenieria e Investigacion,01205609,22488723,Engineering
Ingenieria Hidraulica en Mexico,01864076,,Engineering; Environmental Science
Ingenieria Quimica,02102064,,Chemical Engineering; Energy; Engineering; Materials Science
Ingenieria y Universidad,01232126,,Engineering
Ingenierie des Systemes d'Information,16331311,21167125,Computer Science
Ingenieur-Archiv,00201154,,Engineering
Ingenieurs de l'automobile,00201200,,Engineering
Ingenius,1390650X,1390860X,Computer Science; Engineering
In'gu pogon nonjip = Journal of population and health studies,05376998,,Medicine
Inhalation Toxicology,08958378,10917691,"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
Injury,00201383,18790267,Medicine
Injury Control and Safety Promotion,15660974,17444985,Medicine
Injury Epidemiology,,21971714,Medicine
Injury Prevention,13538047,14755785,Medicine
Ink Maker,1545813X,,Chemical Engineering
Ink World,1093328X,,Chemical Engineering; Engineering; Materials Science
Inland Water Biology,19950829,19950837,Agricultural and Biological Sciences
Inland Waters,20442041,2044205X,Agricultural and Biological Sciences; Environmental Science
INMATEH - Agricultural Engineering,20684215,20682239,Agricultural and Biological Sciences; Engineering
Inmaterial,,24625892,Arts and Humanities
Inmunologia,02139626,,Immunology and Microbiology
Innate Immunity,17534259,17534267,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Inner Asia,14648172,22105018,Arts and Humanities; Social Sciences
Innere Medizin,03034305,,Medicine
Innere Medizin (Germany),27317080,27317099,Medicine
Innes Review,0020157X,17455219,Arts and Humanities; Social Sciences
Innovaciencia,,2346075X,Agricultural and Biological Sciences; Chemistry
Innovar,01215051,22486968,"Business, Management and Accounting; Social Sciences"
Innovation,,26666758,
Innovation and Development,2157930X,21579318,Social Sciences
Innovation and Green Development,,29497531,"Business, Management and Accounting; Decision Sciences; Energy"
Innovation and Leadership in English Language Teaching,2041272X,20412738,Arts and Humanities; Social Sciences
Innovation and Management Review,,25158961,"Business, Management and Accounting"
Innovation and the Public Sector,18711073,09289038,"Business, Management and Accounting; Social Sciences"
Innovation in Aging,,23995300,Medicine; Social Sciences; Health Professions
Innovation in Language Learning and Teaching,17501229,17501237,Arts and Humanities; Social Sciences
Innovation in Social Sciences Research,13606263,,Earth and Planetary Sciences; Environmental Science
Innovation Journal,17153816,17153816,Social Sciences
Innovation Policy and the Economy,15313468,15372618,"Business, Management and Accounting; Economics, Econometrics and Finance"
"Innovation, Technology and Knowledge Management",21975698,21975701,"Business, Management and Accounting"
Innovation: Organization and Management,14479338,,"Business, Management and Accounting"
Innovation: The European Journal of Social Science Research,13511610,14698412,"Business, Management and Accounting; Social Sciences"
Innovations,12674982,,"Business, Management and Accounting; Economics, Econometrics and Finance"
Innovations in Clinical Neuroscience,21588333,21588341,Medicine
Innovations in Education and Teaching International,14703297,14703300,Social Sciences
Innovations in Incidence Geometry,26407337,26407345,Mathematics
Innovations in Pharmaceutical Technology,14717204,,"Pharmacology, Toxicology and Pharmaceutics; Health Professions"
Innovations in Systems and Software Engineering,16145046,16145054,Computer Science
Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,15569845,15590879,Medicine
Innovative Biosystems and Bioengineering,,2616177X,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science"
Innovative Food Science and Emerging Technologies,14668564,,Agricultural and Biological Sciences; Chemistry; Engineering
Innovative Higher Education,07425627,15731758,Social Sciences
Innovative Infrastructure Solutions,23644176,23644184,Earth and Planetary Sciences; Engineering; Environmental Science
Innovative Marketing,18142427,18166326,"Business, Management and Accounting; Social Sciences"
Innovative Medicine of Kuban,25000268,25419897,Medicine
Innovative Surgical Sciences,,23647485,Medicine
Innsbrucker Beitrage zur Sprachwissenschaft,18163920,,Arts and Humanities; Social Sciences
Inorganic and Nano-Metal Chemistry,24701556,24701564,Chemistry
Inorganic and Nuclear Chemistry Letters,00201650,,
Inorganic Chemicals Industry,10064990,,Chemical Engineering
Inorganic Chemistry,00201669,1520510X,Chemistry
Inorganic Chemistry Communications,13877003,,Chemistry; Materials Science
Inorganic Chemistry Frontiers,20521545,20521553,Chemistry
Inorganic Materials,00201685,16083172,Chemical Engineering; Chemistry; Materials Science
Inorganic Materials: Applied Research,20751133,2075115X,Engineering; Materials Science
Inorganic Reaction Mechanisms,10286624,,Chemistry
Inorganic Syntheses,00738077,,Chemistry
Inorganica Chimica Acta,00201693,18733255,Chemistry; Materials Science
Inorganica Chimica Acta Reviews,00738085,,
Inorganics,,23046740,Chemistry
In-Plant Graphics,10872817,,"Business, Management and Accounting; Chemical Engineering; Engineering"
In-Plant Printer,1071832X,,Chemical Engineering; Materials Science
In-plant reproductions 1988,10431942,,Engineering
Inquiry (United Kingdom),0020174X,15023923,Arts and Humanities; Medicine
Inquiry (United States),00469580,19457243,Medicine
Inra Productions Animales,2273774X,22737766,Agricultural and Biological Sciences
INRS-Urbanisation Etudes et Documents,,,Earth and Planetary Sciences; Environmental Science
Insect Biochemistry,00201790,,
Insect Biochemistry and Molecular Biology,09651748,18790240,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Insect Conservation and Diversity,1752458X,17524598,Agricultural and Biological Sciences
Insect Molecular Biology,09621075,13652583,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Insect Science,16729609,17447917,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Insect Science and its Application,01919040,,Agricultural and Biological Sciences
Insect Systematics and Diversity,,23993421,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Insect Systematics and Evolution,1399560X,1876312X,Agricultural and Biological Sciences; Environmental Science
Insecta Matsumurana,00201804,,Agricultural and Biological Sciences
Insectes Sociaux,00201812,14209098,Agricultural and Biological Sciences
Insects,20754450,20754450,Agricultural and Biological Sciences
Inside Case Management,10736514,,Medicine; Nursing
Insight,2663970X,26646005,Psychology
Insight - Journal of the American Society of Ophthalmic Registered Nurses,1060135X,,Medicine; Nursing
Insight on Africa,09750878,09763465,Arts and Humanities; Social Sciences
Insight Turkey,1302177X,,Social Sciences
Insight: Non-Destructive Testing and Condition Monitoring,13542575,17544904,Engineering; Materials Science
Insight: Research and Practice in Visual Impairment and Blindness,2157037X,,Medicine
Insights into Imaging,18694101,,Medicine
Insights: the UKSG Journal,,20487754,Social Sciences
Instabilities in Silicon Devices,18745903,,Engineering; Materials Science
Instant and Small Commercial Printer,10443746,,"Business, Management and Accounting; Engineering"
"Institute of Development Studies, Bulletin",00202835,20565224,Earth and Planetary Sciences; Environmental Science
"Institute of Geological and Nuclear Sciences 1:250,000 Geological Map",22303766,,Earth and Planetary Sciences
Institute of Geological and Nuclear Sciences. Monograph,1172028X,,Earth and Planetary Sciences
Institutions and Economies,22321640,22321349,"Business, Management and Accounting; Economics, Econometrics and Finance"
INSTRAW news : women and development,10144579,,Medicine
Instructed Second Language Acquisition,23984155,23984163,Social Sciences
Instructional course lectures,00656895,,Medicine
Instructional Science,00204277,15731952,Psychology; Social Sciences
Instrumentation Mesure Metrologie,16314670,,Engineering; Physics and Astronomy
Instrumentation Science and Technology,10739149,15256030,Chemical Engineering; Environmental Science; Physics and Astronomy
INSTRUMENTATION TECHNOLOGY,00204382,,Engineering; Physics and Astronomy
"Instrumentation, Control, and Automation in the Power Industry, Proceedings",0074056X,,Engineering
Instruments,,2410390X,Physics and Astronomy
Instruments and Experimental Techniques,00204412,16083180,Physics and Astronomy
Insuficiencia Cardiaca,18501044,18523862,Medicine
Insula,00204536,,Arts and Humanities
Insulation - The Energy Efficiency Newsletter,14766701,,Engineering; Materials Science
Insulation Journal,09501940,,Engineering
"Insulation Journal (Watford, England)",00204552,,Engineering
Insulation/ Circuits,00204544,,Engineering
Insulin,15570843,,Medicine
Insurance Markets and Companies,26163551,25229591,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Insurance: Mathematics and Economics,01676687,,"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
Int J Nondestruct Test,00207470,,Engineering
"INT. DREDGIWG AND PORT CONSTRUCT., SERIES II",0579546X,,Engineering
Intangible Capital,16979818,20143214,"Business, Management and Accounting; Social Sciences"
InTech,0192303X,,Engineering; Physics and Astronomy
Integers,,15531732,Mathematics
Integral Equations and Operator Theory,0378620X,14208989,Mathematics
Integral Transforms and Special Functions,10652469,14768291,Mathematics
Integrated Blood Pressure Control,11787104,,Medicine
Integrated Computer-Aided Engineering,10692509,18758835,Computer Science; Mathematics
Integrated Environmental Assessment and Management,15513777,15513793,Environmental Science; Social Sciences
Integrated Ferroelectrics,10584587,16078489,Engineering; Materials Science; Physics and Astronomy
Integrated healthcare report,,,Medicine
Integrated Manufacturing Systems,09576061,,Computer Science; Engineering
Integrated Ocean Drilling Program: Preliminary Reports,19329423,,Earth and Planetary Sciences
Integrated Pest Management Reviews,13535226,,Agricultural and Biological Sciences; Environmental Science
Integrating Materials and Manufacturing Innovation,21939764,21939772,Engineering; Materials Science
Integration,01679260,,Computer Science; Engineering
"Integration (Tokyo, Japan)",09160582,,Medicine
Integration of Education,19919468,23081058,Psychology; Social Sciences
Integrative and Comparative Biology,15407063,15577023,Agricultural and Biological Sciences
Integrative and Complementary Therapies,27683192,27683206,Medicine
Integrative Biology,17579694,17579708,"Biochemistry, Genetics and Molecular Biology"
Integrative Cancer Therapies,15347354,1552695X,Medicine
Integrative Medicine,10962190,18790232,Medicine
Integrative Medicine,1546993X,19457081,Medicine
Integrative Medicine Alert,23252812,23252820,Medicine
Integrative Medicine Insights,11773936,,Medicine
Integrative Medicine Research,22134220,22134239,Medicine
Integrative Organismal Biology,,25174843,Agricultural and Biological Sciences
Integrative Physiological and Behavioral Science,1053881X,21687846,Neuroscience; Psychology
Integrative Psychological and Behavioral Science,19324502,19363567,Arts and Humanities; Psychology; Social Sciences
Integrative Systematics,26282380,26282429,Agricultural and Biological Sciences
Integrative Zoology,17494877,,Agricultural and Biological Sciences
Inteligencia Artificial,11373601,,Computer Science
Intellectual and Developmental Disabilities,19349491,19349556,Medicine; Nursing; Psychology; Social Sciences
Intellectual Discourse,01284878,22895639,Arts and Humanities; Social Sciences
Intellectual Economics,18228011,18228038,"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Intellectual History Review,17496977,17496985,Arts and Humanities
Intellectual Property Law Library,18716725,,Social Sciences
Intellektual'Naya Sobstvennost',08696993,,Engineering
Intelligence,01602896,,Arts and Humanities; Psychology
Intelligence and National Security,02684527,,Arts and Humanities; Social Sciences
Intelligence and Robotics,,27703541,Computer Science
Intelligence-Based Medicine,,26665212,Computer Science; Medicine
Intelligent and Converged Networks,,27086240,Computer Science
Intelligent Automation and Soft Computing,10798587,2326005X,Computer Science; Mathematics
Intelligent Buildings International,17508975,17566932,Computer Science; Engineering; Social Sciences
Intelligent Data Analysis,1088467X,15714128,Computer Science; Mathematics
Intelligent Decision Technologies,18724981,18758843,Computer Science; Decision Sciences; Mathematics
"Intelligent Instruments and Computers, Applications in the Laboratory",08898308,,Computer Science; Engineering
Intelligent Medicine,20969376,26671026,Computer Science; Engineering; Medicine
Intelligent Service Robotics,18612776,18612784,Computer Science; Engineering
"Intelligent Systems in Accounting, Finance and Management",15501949,21600074,"Business, Management and Accounting; Economics, Econometrics and Finance"
Intelligent Systems Reference Library,18684394,18684408,Computer Science; Decision Sciences; Social Sciences
Intelligent Systems with Applications,26673053,,Computer Science
"Intelligent Systems, Control and Automation: Science and Engineering",22138986,22138994,Computer Science; Engineering; Mathematics
Intelligenza Artificiale,17248035,22110097,Computer Science
Intensiv- und Notfallbehandlung,09475362,,Medicine
Intensivbehandlung,03413063,,Medicine
Intensive and Critical Care Nursing,09643397,15324036,Nursing
Intensive Care Medicine,03424642,14321238,Medicine
Intensive Care Medicine Experimental,,2197425X,Medicine
"Intensive Care Medicine, Supplement",09351701,,Medicine
Intensive Care Nursing,0266612X,,Medicine
Intensive Therapy and Clinical Monitoring,09543546,,Medicine
Intensivmedizin,03036251,,Medicine
Intensivmedizin und Notfallmedizin,01753851,,Medicine; Nursing
Intensivmedizinische Praxis,01732315,,Medicine
InTents,10908366,,Materials Science
Inter Bloc,02423960,,Nursing
Interacao em Psicologia,19818068,19818076,Psychology
Interacting with Computers,09535438,18737951,Computer Science; Social Sciences
Interaction Design and Architecture(s),18269745,22832998,Computer Science; Engineering; Social Sciences
Interaction of Mechanics and Mathematics,18606245,18606253,Engineering; Mathematics
Interaction Studies,15720373,15720381,Agricultural and Biological Sciences; Arts and Humanities; Computer Science; Social Sciences
Interactions (N.Y.),10725520,,Chemistry; Physics and Astronomy
Interactions (N.Y.),10725520,,Chemistry; Physics and Astronomy
Interactive Cardiovascular and Thoracic Surgery,15699293,15699285,Medicine
Interactive Entertainment Law Review,25153870,25153889,Social Sciences
Interactive Learning Environments,10494820,,Computer Science; Social Sciences
Interactive Multimedia Electronic Journal of Computer - Enhanced Learning,15259102,,Computer Science; Social Sciences
Interactive Surgery,17783739,17783968,Medicine
Interactive Technology and Smart Education,17415659,17588510,Computer Science; Social Sciences
Interamerican Journal of Psychology,00349690,,Psychology
Inter-American Yearbook on Human Rights/Anuario Interamericano de Derechos Humanos,09207775,,Social Sciences
Inter-Asia Cultural Studies,14649373,14698447,Social Sciences
InterCeram: International Ceramic Review,00205214,,Chemistry; Materials Science
Interchange,08264805,15731790,Arts and Humanities; Social Sciences
Interciencia,03781844,,
Intercultural Education,14675986,14698439,Social Sciences
Intercultural Pragmatics,1612295X,1613365X,Arts and Humanities; Social Sciences
Interdisciplinaria,03258203,16687027,Psychology
Interdisciplinaria Archaeologica,1804848X,23361220,Arts and Humanities; Social Sciences
Interdisciplinary Applied Mathematics,09396047,21969973,Computer Science; Decision Sciences; Mathematics
Interdisciplinary Contributions to Archaeology,15682722,27306984,Arts and Humanities; Social Sciences
Interdisciplinary Journal for Religion and Transformation in Contemporary Society,23653140,23642807,Arts and Humanities; Social Sciences
"Interdisciplinary Journal of Information, Knowledge, and Management",15551229,15551237,Computer Science; Decision Sciences
Interdisciplinary Journal of Management Studies,,29810795,"Business, Management and Accounting"
Interdisciplinary Journal of Problem-based Learning,,15415015,Social Sciences
Interdisciplinary Literary Studies,15248429,2161427X,Arts and Humanities
Interdisciplinary Mathematical Sciences,17931355,,Mathematics
Interdisciplinary Neurosurgery: Advanced Techniques and Case Management,22147519,22147519,Medicine
Interdisciplinary Perspectives on Infectious Diseases,1687708X,16877098,Immunology and Microbiology; Medicine
Interdisciplinary Political Studies,,20398573,Social Sciences
Interdisciplinary Science Reviews,03080188,17432790,Arts and Humanities; Social Sciences
Interdisciplinary Sciences - Computational Life Sciences,19132751,18671462,"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
Interdisciplinary Studies of Literature,25204920,,Arts and Humanities
Interdisciplinary Topics in Gerontology,00741132,16623800,Medicine
Interdisciplinary Topics in Gerontology and Geriatrics,22973508,22973486,"Biochemistry, Genetics and Molecular Biology; Medicine"
Interdisciplinary Toxicology,13376853,13379569,"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
Intereconomics,00205346,1613964X,"Business, Management and Accounting; Economics, Econometrics and Finance"
Interest Groups and Advocacy,20477414,20477422,Social Sciences
InterEULawEast,18493734,18494439,Social Sciences
"Interface (Raleigh, North Carolina)",23800240,,Engineering
Interface Focus,20428898,20428901,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
Interface Science,09277056,,Materials Science; Physics and Astronomy
Interface Science and Technology,15734285,,Chemistry; Materials Science
"Interface: Communication, Health, Education",14143283,18075762,Social Sciences
Interfaces,00922102,1526551X,"Business, Management and Accounting; Decision Sciences"
Interfaces and Free Boundaries,14639963,14639971,Mathematics
Interfaces in Computing,02527308,,Engineering
Interfacial Phenomena and Heat Transfer,21692785,2167857X,Chemical Engineering; Engineering; Physics and Astronomy
