Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Abbreviated Source Title,Document Type,Publication Stage,Source,EID
"Tiwari A.K., Jena S.K., Mitra A., Yoon S.-M.","57204698496;56215592100;56921251900;7404035607;","Impact of oil price risk on sectoral equity markets: Implications on portfolio management",2018,"Energy Economics","72",,,"120","134",,56,"10.1016/j.eneco.2018.03.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045412776&doi=10.1016%2fj.eneco.2018.03.031&partnerID=40&md5=fe77a2d15550e3da0fa895f481e3bdf0","Rajagiri Centre for Business Studies, Rajagiri Valley Campus, Kochi, India; Montpellier Business School, Montpellier, France; Department of Finance and Accounting, IBS, IFHE University, Hyderabad, India; Department of Economics, Pusan National University, 2, Busandaehak-ro 63beon-gil, Geumjeong-gu, Busan, 46241, South Korea","Tiwari, A.K., Rajagiri Centre for Business Studies, Rajagiri Valley Campus, Kochi, India, Montpellier Business School, Montpellier, France; Jena, S.K., Department of Finance and Accounting, IBS, IFHE University, Hyderabad, India; Mitra, A., Department of Finance and Accounting, IBS, IFHE University, Hyderabad, India; Yoon, S.-M., Department of Economics, Pusan National University, 2, Busandaehak-ro 63beon-gil, Geumjeong-gu, Busan, 46241, South Korea","Asymmetric quantile regression; Contagion; Frequency domain causality; Interdependency; Oil price shocks; Tail risk","Commerce; Costs; Financial data processing; Frequency domain analysis; Investments; Regression analysis; Contagion; Frequency domains; Interdependency; Oil price shocks; Quantile regression; Financial markets; energy market; investment; oil supply; price dynamics; regression analysis; risk factor","Energy Econ.",Article,"Final",Scopus,2-s2.0-85045412776
"Das P., Verburg R., Verbraeck A., Bonebakker L.","57196480624;7004717753;6603698259;14048130700;","Barriers to innovation within large financial services firms: An in-depth study into disruptive and radical innovation projects at a bank",2018,"European Journal of Innovation Management","21","1",,"96","112",,56,"10.1108/EJIM-03-2017-0028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033582960&doi=10.1108%2fEJIM-03-2017-0028&partnerID=40&md5=d37c427f0fbcda4c4b21ac00fa13ca24","Department of Multi Actor Systems, Delft University of Technology, Delft, Netherlands; Department of Values, Technology and Innovation, Delft University of Technology, Delft, Netherlands; ACM, Amersfoort, Netherlands","Das, P., Department of Multi Actor Systems, Delft University of Technology, Delft, Netherlands; Verburg, R., Department of Values, Technology and Innovation, Delft University of Technology, Delft, Netherlands; Verbraeck, A., Department of Multi Actor Systems, Delft University of Technology, Delft, Netherlands; Bonebakker, L., ACM, Amersfoort, Netherlands","Disruptive innovation; Financial services; Innovation barriers; Innovation projects; Radical innovation",,"Eur. J. Innov. Manage.",Article,"Final",Scopus,2-s2.0-85033582960
"Lozano S., Calzada-Infante L., Adenso-Díaz B., García S.","7004141022;57191429194;7004391860;8950739000;","Complex network analysis of keywords co-occurrence in the recent efficiency analysis literature",2019,"Scientometrics","120","2",,"609","629",,56,"10.1007/s11192-019-03132-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067278478&doi=10.1007%2fs11192-019-03132-w&partnerID=40&md5=e3ee4651aa2a073298a71cad0e5a1f14","Department of Industrial Management, University of Seville, Escuela Superior de Ingenieros, Isla de la Cartuja, Seville, 41092, Spain; Escuela Politécnica de Ingeniería, Universidad de Oviedo, Gijón, Spain","Lozano, S., Department of Industrial Management, University of Seville, Escuela Superior de Ingenieros, Isla de la Cartuja, Seville, 41092, Spain; Calzada-Infante, L., Escuela Politécnica de Ingeniería, Universidad de Oviedo, Gijón, Spain; Adenso-Díaz, B., Escuela Politécnica de Ingeniería, Universidad de Oviedo, Gijón, Spain; García, S., Escuela Politécnica de Ingeniería, Universidad de Oviedo, Gijón, Spain","Co-occurrence network; Complex network analysis; DEA; Emerging topics; Keywords; Research gaps",,"Scientometrics",Article,"Final",Scopus,2-s2.0-85067278478
"Zhang D., Guo Y.","57194417399;57208328380;","Financing R&D in Chinese private firms: Business associations or political connection?",2019,"Economic Modelling","79",,,"247","261",,55,"10.1016/j.econmod.2018.12.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064478608&doi=10.1016%2fj.econmod.2018.12.010&partnerID=40&md5=965cb8d4d50e8607023379a0d86c228d","School of Economics, Capital University of Economics and Business, China; School of Finance, Central University of Finance and Economics, China","Zhang, D., School of Economics, Capital University of Economics and Business, China; Guo, Y., School of Finance, Central University of Finance and Economics, China","Bank loans; Business association; Financial constraints; Political connection; R&D investment",,"Econ. Model.",Article,"Final",Scopus,2-s2.0-85064478608
"Phoon K., Koh F.","7003306515;24383916100;","Robo-advisors and wealth management",2018,"Journal of Alternative Investments","20","3",,"79","94",,55,"10.3905/jai.2018.20.3.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041288666&doi=10.3905%2fjai.2018.20.3.079&partnerID=40&md5=d7627ddd785bace94c5feda4dc527073","Singapore University of Social Sciences (SUSS), Singapore, Singapore; Singapore Management University (SMU), Singapore, Singapore","Phoon, K., Singapore University of Social Sciences (SUSS), Singapore, Singapore; Koh, F., Singapore Management University (SMU), Singapore, Singapore",,,"J. Altern. Investm.",Article,"Final",Scopus,2-s2.0-85041288666
"Allhoff F., Henschke A.","23090491300;55176787800;","The Internet of Things: Foundational ethical issues",2018,"Internet of Things (Netherlands)","1-2",,,"55","66",,55,"10.1016/j.iot.2018.08.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065100954&doi=10.1016%2fj.iot.2018.08.005&partnerID=40&md5=ad1e61ab309328c0796ca7ad5f562650","Department of Philosophy, Western Michigan University, United States; National Security College, Australian National University, Australia; Faculty of Technology, Policy and Management, Delft University of Technology, Netherlands","Allhoff, F., Department of Philosophy, Western Michigan University, United States; Henschke, A., National Security College, Australian National University, Australia, Faculty of Technology, Policy and Management, Delft University of Technology, Netherlands","Ethics; Information security; Informed consent; Internet of Things; Physical safety; Privacy; Trust",,"Internet. Thing.",Article,"Final",Scopus,2-s2.0-85065100954
"Nooren P., van Gorp N., van Eijk N., Fathaigh R.Ó.","57194890521;30567835600;6506579998;57200620068;","Should We Regulate Digital Platforms? A New Framework for Evaluating Policy Options",2018,"Policy and Internet","10","3",,"264","301",,55,"10.1002/poi3.177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053223530&doi=10.1002%2fpoi3.177&partnerID=40&md5=426f0609eefa2083bffb65cfa514811a","TNO, The Hague, Netherlands; e-Conomics, Rotterdam, Zuid-Holland, Netherlands; Faculty of Law, University of Amsterdam, Amsterdam, Netherlands; Institute for Information Law, Faculty of Law, University of Amsterdam, Amsterdam, Netherlands","Nooren, P., TNO, The Hague, Netherlands; van Gorp, N., e-Conomics, Rotterdam, Zuid-Holland, Netherlands; van Eijk, N., Faculty of Law, University of Amsterdam, Amsterdam, Netherlands; Fathaigh, R.Ó., Institute for Information Law, Faculty of Law, University of Amsterdam, Amsterdam, Netherlands","business model analysis; competition policy; consumer protection; digital platforms; platform regulation; public interests",,"Policy Internet",Article,"Final",Scopus,2-s2.0-85053223530
"Mamonov S., Malaga R.","56023143600;6508054507;","Success factors in Title III equity crowdfunding in the United States",2018,"Electronic Commerce Research and Applications","27",,,"65","73",,55,"10.1016/j.elerap.2017.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038018743&doi=10.1016%2fj.elerap.2017.12.001&partnerID=40&md5=9ece026595f751f41f25fc26c09d8140","Montclair State University, Montclair, NJ, United States","Mamonov, S., Montclair State University, Montclair, NJ, United States; Malaga, R., Montclair State University, Montclair, NJ, United States","Crowdfunding; Equity crowdfunding; Fintech innovation; JOBS Act; Risk capital; Title III","Finance; Crowdfunding; Equity crowdfunding; JOBS Act; Risk capital; Title III; Investments","Elect. Commer. Res. Appl.",Article,"Final",Scopus,2-s2.0-85038018743
"Chen D., Li X., Lai F.","15834001000;37048764300;9279789500;","Gender discrimination in online peer-to-peer credit lending: evidence from a lending platform in China",2017,"Electronic Commerce Research","17","4",,"553","583",,55,"10.1007/s10660-016-9247-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994476902&doi=10.1007%2fs10660-016-9247-2&partnerID=40&md5=e4ba68f48212e9ce09c76b52f248d622","Research Center for Smarter Supply Chain, Soochow Think Tank & Dongwu Business School, Soochow University, Suzhou, China; College of Business and Economics, Towson University, Towson, United States; College of Business, University of Southern Mississippi, Long Beach, MS  39560, United States","Chen, D., Research Center for Smarter Supply Chain, Soochow Think Tank & Dongwu Business School, Soochow University, Suzhou, China; Li, X., College of Business and Economics, Towson University, Towson, United States; Lai, F., Research Center for Smarter Supply Chain, Soochow Think Tank & Dongwu Business School, Soochow University, Suzhou, China, College of Business, University of Southern Mississippi, Long Beach, MS  39560, United States","Gender discrimination; Micro-finance; Online peer-to-peer lending","Commerce; Developing countries; Default rates; Financial resources; Gender discrimination; Interest rates; Micro-finance; Online peer-to-peer lending; Peer to peer; Peer to peer (P2P); Peer-to-peer lending; Finance","Electron. Commer. Res.",Article,"Final",Scopus,2-s2.0-84994476902
"Narteh B., Mahmoud M.A., Amoh S.","23668358400;36129594300;57194456848;","Customer behavioural intentions towards mobile money services adoption in Ghana",2017,"Service Industries Journal","37","7-8",,"426","447",,56,"10.1080/02642069.2017.1331435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020176095&doi=10.1080%2f02642069.2017.1331435&partnerID=40&md5=d75ad8bd44ecb7585ea277140d3fb126","Marketing & Entrepreneurship, University of Ghana, Accra, Legon, Ghana","Narteh, B., Marketing & Entrepreneurship, University of Ghana, Accra, Legon, Ghana; Mahmoud, M.A., Marketing & Entrepreneurship, University of Ghana, Accra, Legon, Ghana; Amoh, S., Marketing & Entrepreneurship, University of Ghana, Accra, Legon, Ghana","customer behavioural intentions; Ghana; Mobile banking; mobile money services","banking; conceptual framework; consumption behavior; financial services; mobile phone; modeling; service provision; technology adoption; Ghana","Serv. Ind. J.",Article,"Final",Scopus,2-s2.0-85020176095
"Aldulaimi S.H.","57160200600;","Fundamental Islamic perspective of work ethics",2016,"Journal of Islamic Accounting and Business Research","7","1",,"59","76",,55,"10.1108/JIABR-02-2014-0006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960081782&doi=10.1108%2fJIABR-02-2014-0006&partnerID=40&md5=25b26e630e5857a5cbc6abe2d0b0eff0","College of Administrative Sciences, Applied Science University, Manama, Bahrain","Aldulaimi, S.H., College of Administrative Sciences, Applied Science University, Manama, Bahrain","Culture; Islam; Management theory; Work ethics",,"J. Islamic Account. Bus. Res.",Article,"Final",Scopus,2-s2.0-84960081782
"Khoshnava S.M., Rostami R., Zin R.M., Štreimikiene D., Yousefpour A., Strielkowski W., Mardani A.","55826266700;55826370000;54962967500;57195415199;56151913700;36620065300;56285319300;","Aligning the criteria of green economy (GE) and sustainable development goals (SDGs) to implement sustainable development",2019,"Sustainability (Switzerland)","11","17","4615","","",,55,"10.3390/su11174615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071994403&doi=10.3390%2fsu11174615&partnerID=40&md5=699b8bd21dcab69e71058606dd020d3f","School of Civil Engineering, Faculty of Engineering, Universiti Teknologi Malaysia (UTM), Johor, 81310, Malaysia; Department of Architecture, Sari Branch, Islamic Azad University, Sari, 1584743311, Iran; Kaunas Faculty, Vilnius University, Muitines 8, Kaunas, LT-06157, Lithuania; Department of Computer engineering, Qaemshahr Branch, Islamic Azad University, Qaemshahr, 1584743311, Iran; Department of Trade and Finance, Faculty of Economics and Management, Czech University of Life Sciences Prague, Kamýcká 129, Prague, 16500, Czech Republic; Department of Marketing, College of Business Administration, University of South Florida, Tampa, FL  33813, United States","Khoshnava, S.M., School of Civil Engineering, Faculty of Engineering, Universiti Teknologi Malaysia (UTM), Johor, 81310, Malaysia; Rostami, R., Department of Architecture, Sari Branch, Islamic Azad University, Sari, 1584743311, Iran; Zin, R.M., School of Civil Engineering, Faculty of Engineering, Universiti Teknologi Malaysia (UTM), Johor, 81310, Malaysia; Štreimikiene, D., Kaunas Faculty, Vilnius University, Muitines 8, Kaunas, LT-06157, Lithuania; Yousefpour, A., Department of Computer engineering, Qaemshahr Branch, Islamic Azad University, Qaemshahr, 1584743311, Iran; Strielkowski, W., Department of Trade and Finance, Faculty of Economics and Management, Czech University of Life Sciences Prague, Kamýcká 129, Prague, 16500, Czech Republic; Mardani, A., Department of Marketing, College of Business Administration, University of South Florida, Tampa, FL  33813, United States","Environmental issues; Environmental quality; Green economy (GE); Overall social wellbeing; Sustainable development goals (SDGs); Sustainable economic growth","analytical framework; environmental issue; environmental quality; green economy; growth rate; numerical method; social work; sustainable development; welfare economics","Sustainability",Article,"Final",Scopus,2-s2.0-85071994403
"Bilan Y., Rubanov P., Vasylieva T., Lyeonov S.","35239448800;57210144572;57202816090;57889766600;","The influence of industry 4.0 on financial services: Determinants of alternative finance development [Wpływ przemysłu 4.0 na usługi finansowe: determinanty rozwoju alternatywnych finansów]",2019,"Polish Journal of Management Studies","19","1",,"70","93",,54,"10.17512/pjms.2019.19.1.06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069712593&doi=10.17512%2fpjms.2019.19.1.06&partnerID=40&md5=97b86ce568592c5a588c6f738f63eb5c","Bata University in Zlin, Faculty of Management and Economics, Centre of Applied Economic Research, Zlin, Czech Republic; Sumy State University, O. Balatskyi Academic and Research Institute of Finance, Economics and Management, Department of Finance and Entrepreneurship, Sumy, Ukraine; Sumy State University, Education and Research, Institute for Business Technologies, Department of Economic Cybernetics, Sumy, Ukraine","Bilan, Y., Bata University in Zlin, Faculty of Management and Economics, Centre of Applied Economic Research, Zlin, Czech Republic; Rubanov, P., Sumy State University, O. Balatskyi Academic and Research Institute of Finance, Economics and Management, Department of Finance and Entrepreneurship, Sumy, Ukraine; Vasylieva, T., Sumy State University, O. Balatskyi Academic and Research Institute of Finance, Economics and Management, Department of Finance and Entrepreneurship, Sumy, Ukraine; Lyeonov, S., Sumy State University, Education and Research, Institute for Business Technologies, Department of Economic Cybernetics, Sumy, Ukraine","Alternative finance; Financial innovations; Financial services; Industry 4.0; Online financing",,"Pol. J. Manag. Stud.",Article,"Final",Scopus,2-s2.0-85069712593
"Capelleras J.-L., Contin-Pilart I., Larraza-Kintana M., Martin-Sanchez V.","8507349700;6603127477;11539570000;56528308700;","Entrepreneurs’ human capital and growth aspirations: the moderating role of regional entrepreneurial culture",2019,"Small Business Economics","52","1",,"3","25",,54,"10.1007/s11187-017-9985-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060589977&doi=10.1007%2fs11187-017-9985-0&partnerID=40&md5=08018b9822cfab382ba092839edc2880","Department of Business, Universitat Autònoma de Barcelona, Bellaterra (Cerdanyola del Vallès), 08193, Spain; Departamento de Gestión de Empresas, INARBE, Universidad Pública de Navarra, Pamplona, Spain; King’s Business School, King’s College London, London, United Kingdom","Capelleras, J.-L., Department of Business, Universitat Autònoma de Barcelona, Bellaterra (Cerdanyola del Vallès), 08193, Spain; Contin-Pilart, I., Departamento de Gestión de Empresas, INARBE, Universidad Pública de Navarra, Pamplona, Spain; Larraza-Kintana, M., Departamento de Gestión de Empresas, INARBE, Universidad Pública de Navarra, Pamplona, Spain; Martin-Sanchez, V., King’s Business School, King’s College London, London, United Kingdom","Early-stage entrepreneurship; Global Entrepreneurship Monitor; Growth aspirations; Human capital; Regional entrepreneurial culture",,"Small Bus. Econ.",Article,"Final",Scopus,2-s2.0-85060589977
"Lenka S.K., Barik R.","57195397787;57202733800;","Has expansion of mobile phone and internet use spurred financial inclusion in the SAARC countries?",2018,"Financial Innovation","4","1","5","","",,54,"10.1186/s40854-018-0089-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053658156&doi=10.1186%2fs40854-018-0089-x&partnerID=40&md5=f221adab5829a5fa36a74eda85019af9","Consumer Unity & Trust Society (CUTS) International (a global independent non-profit economic policy research and advocacy organization), D-217, Bhaskar Marg, Bani Park, Jaipur, Rajasthan  -302016, India; School of Humanities and Social Sciences, Indian Institute of Technology, Simrol Campus, Khandwa Road, Indore, 453552, India","Lenka, S.K., Consumer Unity & Trust Society (CUTS) International (a global independent non-profit economic policy research and advocacy organization), D-217, Bhaskar Marg, Bani Park, Jaipur, Rajasthan  -302016, India; Barik, R., School of Humanities and Social Sciences, Indian Institute of Technology, Simrol Campus, Khandwa Road, Indore, 453552, India","Financial inclusion; Fixed effect; Panel corrected standard errors; Random effect; SAARC",,"Financial Innov.",Article,"Final",Scopus,2-s2.0-85053658156
"García Ochoa R., Graizbord Ed B.","57189325359;57191402730;","Privation of energy services in Mexican households: An alternative measure of energy poverty",2016,"Energy Research and Social Science","18",,,"36","49",,54,"10.1016/j.erss.2016.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969165072&doi=10.1016%2fj.erss.2016.04.014&partnerID=40&md5=40cf1531cca819a8a4d7b71ad10426ab","El Colegio de la Frontera Norte, Mexico; El Colegio de México, Mexico","García Ochoa, R., El Colegio de la Frontera Norte, Mexico; Graizbord Ed, B., El Colegio de México, Mexico","Clusters; Energy services; Public policy; Social dimension",,"Energy Res. Soc. Sci.",Article,"Final",Scopus,2-s2.0-84969165072
"Reeves M., Levin S., Ueda D.","35222258600;26643470900;57192304843;","The biology of corporate survival",2016,"Harvard Business Review","2016","January-February",,"","",11,54,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003936077&partnerID=40&md5=a3d895c40f76c9a35caad335b29c0b64","Boston Consulting Group, BCG Henderson Institute, United States; Princeton University, United States","Reeves, M., Boston Consulting Group, BCG Henderson Institute, United States; Levin, S., Princeton University, United States; Ueda, D., Boston Consulting Group, BCG Henderson Institute, United States",,,"Harv. Bus. Rev.",Note,"Final",Scopus,2-s2.0-85003936077
"Rosavina M., Rahadi R.A., Kitri M.L., Nuraeni S., Mayangsari L.","57209262162;56656538200;57188971070;57200581245;56242473600;","P2P lending adoption by SMEs in Indonesia",2019,"Qualitative Research in Financial Markets","11","2",,"260","279",,53,"10.1108/QRFM-09-2018-0103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067036402&doi=10.1108%2fQRFM-09-2018-0103&partnerID=40&md5=6b1746f1898287887f586ada4f21dcac","School of Business and Management, Bandung Institute of Technology, Bandung, Indonesia","Rosavina, M., School of Business and Management, Bandung Institute of Technology, Bandung, Indonesia; Rahadi, R.A., School of Business and Management, Bandung Institute of Technology, Bandung, Indonesia; Kitri, M.L., School of Business and Management, Bandung Institute of Technology, Bandung, Indonesia; Nuraeni, S., School of Business and Management, Bandung Institute of Technology, Bandung, Indonesia; Mayangsari, L., School of Business and Management, Bandung Institute of Technology, Bandung, Indonesia","Fintech; Loan preferences; P2P lending; SMEs",,"Qual. Res. Financ. Markets",Article,"Final",Scopus,2-s2.0-85067036402
"Aitken M., Tully M.P., Porteous C., Denegri S., Cunningham-Burley S., Banner N., Black C., Burgess M., Cross L., van Delden J.J.M., Ford E., Fox S., Fitzpatrick N.K., Gallacher K., Goddard C., Hassan L., Jamieson R., Jones K.H., Kaarakainen M., Lugg-Widger F., McGrail K., McKenzie A., Moran R., Murtagh M.J., Oswald M., Paprica P.A., Perrin N., Richards E.V., Rouse J., Webb J., Willison D.J., input from the four public panels of the Farr Institute of Health Informatics Research (2013-2018)","35217630600;7004819111;36144499300;6603191051;6603769446;26654633900;7202128359;7201646603;57219605016;7004861981;55357299700;57220794556;7004055191;57210597486;57217120002;36801587800;57217116236;26221796600;55783173600;57194939507;57201386616;35983718700;57544166000;16064422400;55556032900;6506311014;24512611300;57217120592;57217117999;57217119848;7003725965;","Consensus statement on public involvement and engagement with data intensive health research",2019,"International Journal of Population Data Science","4","1","06","","",,53,"10.23889/ijpds.v4i1.586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071940260&doi=10.23889%2fijpds.v4i1.586&partnerID=40&md5=8315185194f5a4f8c789bed02f79d636","University of Edinburgh, United Kingdom; University of Manchester, United Kingdom; INVOLVE; Wellcome Trust, United Kingdom; University of Aberdeen, United Kingdom; University of British Columbia, Canada; Swansea University, United Kingdom; UMC Utrecht, Netherlands; Brighton and Sussex Medical School, United Kingdom; U.C.L., United Kingdom; HeRC Patient & Public Involvement (H@PPI) Forum, United Kingdom; University of Dundee, United Kingdom; Farr Institute, Scotland Public Panel, United Kingdom; University of Helsinki, Finland; Cardiff University, United Kingdom; University of Western Australia, Australia; EKOS- Social and Environmental Research Associates; Newcastle University, United Kingdom; University of Toronto, Canada; Understanding Patient Data, Wellcome Trust, United Kingdom; CIPHER Consumer Panel; Farr Institute, London Public Panel, United Kingdom; Administrative Data Service (Administrative Data Research Network), United Kingdom","Aitken, M., University of Edinburgh, United Kingdom; Tully, M.P., University of Manchester, United Kingdom; Porteous, C., University of Edinburgh, United Kingdom; Denegri, S., INVOLVE; Cunningham-Burley, S., University of Edinburgh, United Kingdom; Banner, N., Wellcome Trust, United Kingdom; Black, C., University of Aberdeen, United Kingdom; Burgess, M., University of British Columbia, Canada; Cross, L., Swansea University, United Kingdom; van Delden, J.J.M., UMC Utrecht, Netherlands; Ford, E., Brighton and Sussex Medical School, United Kingdom; Fox, S., University of Manchester, United Kingdom; Fitzpatrick, N.K., U.C.L., United Kingdom; Gallacher, K., HeRC Patient & Public Involvement (H@PPI) Forum, United Kingdom; Goddard, C., University of Dundee, United Kingdom; Hassan, L., University of Manchester, United Kingdom; Jamieson, R., Farr Institute, Scotland Public Panel, United Kingdom; Jones, K.H., Swansea University, United Kingdom; Kaarakainen, M., University of Helsinki, Finland; Lugg-Widger, F., Cardiff University, United Kingdom; McGrail, K., University of British Columbia, Canada; McKenzie, A., University of Western Australia, Australia; Moran, R., EKOS- Social and Environmental Research Associates; Murtagh, M.J., Newcastle University, United Kingdom; Oswald, M., University of Manchester, United Kingdom; Paprica, P.A., University of Toronto, Canada; Perrin, N., Understanding Patient Data, Wellcome Trust, United Kingdom; Richards, E.V., Swansea University, United Kingdom, CIPHER Consumer Panel; Rouse, J., Farr Institute, London Public Panel, United Kingdom; Webb, J., Administrative Data Service (Administrative Data Research Network), United Kingdom; Willison, D.J., University of Toronto, Canada; input from the four public panels of the Farr Institute of Health Informatics Research (2013-2018)",,,"Int. J. Popul. Data Sci.",Review,"Final",Scopus,2-s2.0-85071940260
"Song Q., Liu A., Yang S.Y.","57189060778;56391066200;24802841600;","Stock portfolio selection using learning-to-rank algorithms with news sentiment",2017,"Neurocomputing","264",,,"20","28",,53,"10.1016/j.neucom.2017.02.097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021208422&doi=10.1016%2fj.neucom.2017.02.097&partnerID=40&md5=d098e4b31adf87fb065f5d8b715483d2","Financial Engineering Division, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, New Jersey  07030, United States","Song, Q., Financial Engineering Division, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, New Jersey  07030, United States; Liu, A., Financial Engineering Division, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, New Jersey  07030, United States; Yang, S.Y., Financial Engineering Division, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, New Jersey  07030, United States","Financial news sentiment; Learning-to-rank; Long-short strategy; Stock portfolio selection; Trading strategy","Commerce; Electronic trading; Financial markets; Investments; Learning algorithms; Multivariable control systems; Financial news; Long-short portfolio; Long-short strategy; Portfolio strategies; Relative performance; Stock portfolio selections; Stock selections; Trading strategies; Learning to rank; Article; financial management; investment; learning to rank algorithm; machine learning; market; prediction; priority journal; reliability","Neurocomputing",Article,"Final",Scopus,2-s2.0-85021208422
"Luther W.J.","42661925300;","Bitcoin and the future of digital payments",2016,"Independent Review","20","3",,"397","404",,53,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955574761&partnerID=40&md5=9bb32f5f5a964d085c554dd34813f0e3","Departments of Economics, Kenyon College, United States","Luther, W.J., Departments of Economics, Kenyon College, United States",,"currency; electronic commerce; technology adoption; transaction cost","Indep. Rev.",Review,"Final",Scopus,2-s2.0-84955574761
"Hsieh C.-M., Park S.H., McNally R.","56289136500;56097966300;15127717400;","Application of the Extended Theory of Planned Behavior to Intention to Travel to Japan Among Taiwanese Youth: Investigating the Moderating Effect of Past Visit Experience",2016,"Journal of Travel and Tourism Marketing","33","5",,"717","729",,53,"10.1080/10548408.2016.1167387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976286544&doi=10.1080%2f10548408.2016.1167387&partnerID=40&md5=fbb6b316a9f52e6a992c3dec0dba35dd","International Bachelor Program of Agribusiness, National Chung Hsing University, No. 250 Kuo Kuang Rd., Taichung, 402, Taiwan; Faculty of Hospitality and Tourism Management, Macau University of Science and Technology, Taipa, Macau; Graham School of Management, Saint Xavier University, Chicago, IL  60655, United States","Hsieh, C.-M., International Bachelor Program of Agribusiness, National Chung Hsing University, No. 250 Kuo Kuang Rd., Taichung, 402, Taiwan; Park, S.H., Faculty of Hospitality and Tourism Management, Macau University of Science and Technology, Taipa, Macau; McNally, R., Graham School of Management, Saint Xavier University, Chicago, IL  60655, United States","attitudes; past visit experience; perceived behavioral control; perceived risks; subjective norms; Theory of planned behavior",,"J. Travel Tour. Mark.",Article,"Final",Scopus,2-s2.0-84976286544
"Vives X.","6604091689;","Digital Disruption in Banking",2019,"Annual Review of Financial Economics","11",,,"243","272",,52,"10.1146/annurev-financial-100719-120854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077460083&doi=10.1146%2fannurev-financial-100719-120854&partnerID=40&md5=76ecfc40f3182a35e4318ae6bcf8625d","IESE Business School, Barcelona, 08034, Spain","Vives, X., IESE Business School, Barcelona, 08034, Spain",,,"Annu. Rev. Financ. Econ.",Conference Paper,"Final",Scopus,2-s2.0-85077460083
"Giudici G., Guerini M., Rossi-Lamastra C.","22984678100;57201976747;57197758938;","The creation of cleantech startups at the local level: the role of knowledge availability and environmental awareness",2019,"Small Business Economics","52","4",,"815","830",,52,"10.1007/s11187-017-9936-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030316020&doi=10.1007%2fs11187-017-9936-9&partnerID=40&md5=a221e1454c93018c1432c5c051f74c57","Politecnico di Milano School of Management, Via Lambruschini 4, Milan, 20156, Italy","Giudici, G., Politecnico di Milano School of Management, Via Lambruschini 4, Milan, 20156, Italy; Guerini, M., Politecnico di Milano School of Management, Via Lambruschini 4, Milan, 20156, Italy; Rossi-Lamastra, C., Politecnico di Milano School of Management, Via Lambruschini 4, Milan, 20156, Italy","Cleantech startups; Environmental awareness; Firm creation; Local knowledge",,"Small Bus. Econ.",Article,"Final",Scopus,2-s2.0-85030316020
"Aziz S., Md Husin M., Hussin N., Afaq Z.","57191666768;55842769700;55539341900;57204944328;","Factors that influence individuals’ intentions to purchase family takaful mediating role of perceived trust",2019,"Asia Pacific Journal of Marketing and Logistics","31","1",,"81","104",,52,"10.1108/APJML-12-2017-0311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059678295&doi=10.1108%2fAPJML-12-2017-0311&partnerID=40&md5=334d5cca918890e350603c7b4bf4f003","Universiti Technologi Malaysia, Kuala Lumpur, Malaysia; Foundation University, Islamabad, Pakistan","Aziz, S., Universiti Technologi Malaysia, Kuala Lumpur, Malaysia; Md Husin, M., Universiti Technologi Malaysia, Kuala Lumpur, Malaysia; Hussin, N., Universiti Technologi Malaysia, Kuala Lumpur, Malaysia; Afaq, Z., Foundation University, Islamabad, Pakistan","Attitude; Knowledge; Perceived religiosity; Perceived usefulness; Purchase intention; Trust",,"Asia Pac. J. Mark. Logist.",Article,"Final",Scopus,2-s2.0-85059678295
