Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Arner D.W., Buckley R.P., Zetzsche D.A., Veidt R.","15046436800;55185207500;35622920200;57216337134;","Sustainability, FinTech and Financial Inclusion",2020,"European Business Organization Law Review","21","1",,"7","35",,77,"10.1007/s40804-020-00183-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082754210&doi=10.1007%2fs40804-020-00183-y&partnerID=40&md5=d91fafffe9133d4c4fd764db4c8f96b7","Kerry Holdings Professor in Law and Director, Asian Institute of International Financial Law, Faculty of Law, University of Hong Kong, Hong Kong; Board Member, Centre for Finance, Technology and Entrepreneurship (CFTE), London, United Kingdom; KPMG Law-King and Wood Mallesons Professor of Disruptive Innovation, and Scientia Professor, UNSW Sydney, Sydney, Australia; Professor of Law, ADA Chair in Financial Law (Inclusive Finance), Faculty of Law, Economics and Finance, University of Luxembourg, Luxembourg, Luxembourg; Director, Centre for Business and Corporate Law, Heinrich-Heine-University, Düsseldorf, Germany; Research Associate, ADA Chair in Financial Law (Inclusive Finance), Faculty of Law, Economics and Finance, University of Luxembourg, Luxembourg","Arner, D.W., Kerry Holdings Professor in Law and Director, Asian Institute of International Financial Law, Faculty of Law, University of Hong Kong, Hong Kong, Board Member, Centre for Finance, Technology and Entrepreneurship (CFTE), London, United Kingdom; Buckley, R.P., KPMG Law-King and Wood Mallesons Professor of Disruptive Innovation, and Scientia Professor, UNSW Sydney, Sydney, Australia; Zetzsche, D.A., Professor of Law, ADA Chair in Financial Law (Inclusive Finance), Faculty of Law, Economics and Finance, University of Luxembourg, Luxembourg, Luxembourg, Director, Centre for Business and Corporate Law, Heinrich-Heine-University, Düsseldorf, Germany; Veidt, R., Research Associate, ADA Chair in Financial Law (Inclusive Finance), Faculty of Law, Economics and Finance, University of Luxembourg, Luxembourg","We argue financial technology (FinTech) is the key driver for financial inclusion, which in turn underlies sustainable balanced development, as embodied in the UN Sustainable Development Goals (SDGs). The full potential of FinTech to support the SDGs may be realized with a progressive approach to the development of underlying infrastructure to support digital financial transformation. Our research suggests that the best way to think about such a strategy is to focus on four primary pillars. The first pillar requires the building of digital identity, simplified account opening and e-KYC systems, supported by the second pillar of open interoperable electronic payments systems. The third pillar involves using the infrastructure of the first and second pillars to underpin electronic provision of government services and payments. The fourth pillar—design of digital financial markets and systems—supports broader access to finance and investment. Implementing the four pillars is a major journey for any economy, but one which has tremendous potential to transform not only finance but economies and societies, through FinTech, financial inclusion and sustainable balanced development. © 2020, T.M.C. Asser Press.","e-KYC; Electronic payment infrastructure; Financial inclusion; FinTech; RegTech; Sustainability; Sustainable development goals; Sustainable investment",,"Arner, D.W.; Kerry Holdings Professor in Law and Director, Hong Kong; email: douglas.arner@hku.hk",15667529,,,"Eur. Bus. Org. Law Rev.",Article,"Final","All Open Access, Green",Scopus
"Buckley R.P., Arner D.W., Zetzsche D.A., Weber R.H.","55185207500;15046436800;35622920200;23981413900;","The road to RegTech: the (astonishing) example of the European Union",2020,"Journal of Banking Regulation","21","1",,"26","36",,24,"10.1057/s41261-019-00104-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073951758&doi=10.1057%2fs41261-019-00104-1&partnerID=40&md5=92ff0130bf99961a82f605e1bb3e2399","UNSW Sydney, Kensington, Australia; University of Hong Kong, Pok Fu Lam, Hong Kong; University of Luxembourg, Luxembourg; Heinrich-Heine-University, Düsseldorf, Germany; University of Zurich, Zurich, Switzerland","Buckley, R.P., UNSW Sydney, Kensington, Australia; Arner, D.W., University of Hong Kong, Pok Fu Lam, Hong Kong; Zetzsche, D.A., University of Luxembourg, Luxembourg, Heinrich-Heine-University, Düsseldorf, Germany; Weber, R.H., University of Zurich, Zurich, Switzerland","Europe’s road to RegTech has rested upon four apparently unrelated pillars: (1) extensive reporting requirements imposed after the Global Financial Crisis to control systemic risk and change in financial sector behaviour; (2) strict data protection rules reflecting European cultural concerns about data privacy and protection; (3) the facilitation of open banking to enhance competition in banking and particularly payments; and (4) a legislative framework for digital identification to further the European Single Market. The paper analyses these four pillars and suggests that together they are underpinning the development of a RegTech ecosystem in Europe and will continue to do so. We argue that the European Union’s financial services and data protection regulatory reforms have unintentionally driven the use of regulatory technologies (RegTech) by intermediaries, supervisors and regulators, and provided an environment within which RegTech can flourish. The experiences of Europe in this process will provide insights for other societies in developing their own RegTech ecosystems in order to support more efficient, stable, inclusive financial systems. © 2019, Springer Nature Limited.","Data protection; Digital identity; European Union; Financial regulation; FinTech; General Data Protection Regulation (GDPR); Open banking; Payment Services Directive 2 (PSD 2); RegTech",,"Buckley, R.P.; UNSW SydneyAustralia; email: ross.buckley@unsw.edu.au",17456452,,,"J. Bank. Regul.",Article,"Final","All Open Access, Green",Scopus
"Sangwan V., Harshita, Prakash P., Singh S.","57211715828;57201998254;36644683200;57281462400;","Financial technology: a review of extant literature",2020,"Studies in Economics and Finance","37","1",,"71","88",,38,"10.1108/SEF-07-2019-0270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074897787&doi=10.1108%2fSEF-07-2019-0270&partnerID=40&md5=e81f82dac17fea4414f6a787b4de8063","Department of Industrial and Management Engineering, Indian Institute of Technology Kanpur, Kanpur, India; FORE School of Management, New Delhi, India; Department of Finance and General Business, Missouri State University, Springfield, MO, United States; Department of Management Studies, Indian Institute of Technology Delhi, New Delhi, India","Sangwan, V., Department of Industrial and Management Engineering, Indian Institute of Technology Kanpur, Kanpur, India; Harshita, FORE School of Management, New Delhi, India; Prakash, P., Department of Finance and General Business, Missouri State University, Springfield, MO, United States; Singh, S., Department of Management Studies, Indian Institute of Technology Delhi, New Delhi, India","Purpose: This paper aims to undertake a thematic review of academic papers on financial technology (FinTech) to identify three broad categories for the purpose of classifying extant literature. The paper summarizes the research and findings in this emerging field. Thereafter, it identifies the gaps and provides directions for further research. Simultaneously, the paper collates technical terms related to FinTech that appear repeatedly in each category and explains them. Finally, the study highlights the lessons that growing FinTech firms and their regulators can learn from the experiences of their counterparts across the globe. Design/methodology/approach: A systematic review of literature consisting of 130 studies (social science research network [SSRN]-29 papers, Scopus-81, other sources-20) on FinTech is carried out in this thematic paper. Findings: This thematic paper divides FinTech into three themes, i.e. financial industry, innovation/technology and law/regulation. The paper suggests that a thorough impact of FinTech on various stakeholders can be understood using three dimensions, namely, consumers, market players and regulatory front. It is noted that FinTech is in its nascent phase and is undergoing continuous development and implementation through product and process innovation, disruption and transformation. Research limitations/implications: The paper reports that FinTech promises huge potential for further study by various stakeholders in the FinTech industry – from academia to practitioners to regulators. Practical implications: The paper summarizes lessons that could be of significance for FinTech users, producers, entrepreneurs, investors, policy designers and regulators. Originality/value: The paper is believed to add value to the understanding of FinTech in light of the emerging threats and opportunities for its various stakeholders. © 2019, Emerald Publishing Limited.","Big data; Blockchain; Crowdfunding; Cryptocurrency; Entrepreneurial finance; FinTech; ICOs; Innovation; P2P lending; Regtech; Regulatory sandbox; Shadow banking",,"Sangwan, V.; Department of Industrial and Management Engineering, India; email: vikassangwaniitk@gmail.com",10867376,,,"Stud. Econ. Financ.",Review,"Final","",Scopus
"Fosso Wamba S., Kala Kamdjoug J.R., Epie Bawack R., Keogh J.G.","14833520200;57196328490;57212101591;57205343423;","Bitcoin, Blockchain and Fintech: a systematic review and case studies in the supply chain",2020,"Production Planning and Control","31","2-3",,"115","142",,136,"10.1080/09537287.2019.1631460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067191471&doi=10.1080%2f09537287.2019.1631460&partnerID=40&md5=6ec6112f30049d51f667cb977973967b","Department of Information, Operations and Management Sciences, Toulouse Business School, Toulouse, France; GRIAGES, Department of Management and Information Systems, Catholic University of Central Africa, Yaoundé, Cameroon; Henley Business School, University of Reading, Reading, United Kingdom","Fosso Wamba, S., Department of Information, Operations and Management Sciences, Toulouse Business School, Toulouse, France; Kala Kamdjoug, J.R., GRIAGES, Department of Management and Information Systems, Catholic University of Central Africa, Yaoundé, Cameroon; Epie Bawack, R., GRIAGES, Department of Management and Information Systems, Catholic University of Central Africa, Yaoundé, Cameroon; Keogh, J.G., Henley Business School, University of Reading, Reading, United Kingdom","This paper aims to bridge the knowledge gap in the existing literature on Bitcoin, Blockchain and Fintech. It begins by clarifying the definition of these concepts. Through a systematic review and case studies in the supply chain industry, this paper brings out the applications, the benefits/value, and the challenges/issues of Bitcoin, Blockchain and Fintech in several industries. It also presents the research methodologies/approaches used during such research. The classification framework developed and used to perform an analysis of 141 articles from five top academic databases serves as a baseline study. It offers the opportunity to evaluate the level of knowledge on Bitcoin, Blockchain and Fintech, and their evolution over time. The findings show that these technologies are evolving, and organizations are embracing them for competitive advantage. Thus, organizations need to leverage research on these technologies to better understand them, optimize their business strategies, and develop critical insights for decision-making. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","Bitcoin; Blockchain; Fintech; supply chain","Blockchain; Classification (of information); Competition; Decision making; Supply chains; Baseline studies; Business strategy; Classification framework; Competitive advantage; Fintech; Knowledge gaps; Research methodologies; Systematic Review; Bitcoin","Fosso Wamba, S.; Department of Information, 1 place Alphonse Jourdain, France; email: s.fosso-wamba@tbs-education.fr",09537287,,PPCOE,"Prod Plann Control",Article,"Final","",Scopus
"Bradley C.G.","55199625700;","The consumer protection ecosystem: Law, Norms, and technology",2020,"Denver Law Review","97","1",,"35","84",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079817007&partnerID=40&md5=302c1b750e21c1563283488485beca4f","University of Kentucky, College of Law, United States","Bradley, C.G., University of Kentucky, College of Law, United States","In recent years, the tools consumers use to buy and borrow have changed radically. New technologies for advertising, contracting, and transacting have proliferated, and so have fierce policy debates on issues such as identity theft and online privacy; arbitration clauses and class action lawsuits; and Americans' accumulation of debt and the unsavory practices sometimes used by collectors of it. Facing these realities, scholars, policymakers, and advocates have devoted increasing energy to this area of law. Despite its prominence, confusion persists regarding what consumer protection really is or does. Though much discussed, it remains undertheorized. In particular, analysis of consumer law and policy has not sufficiently taken account of the implications of social and technological change. This Article constructs a new model of the consumer protection ecosystem by contextualizing purely legal constraints amid the other realities of commercial relationships. Drawing on scholarship in the areas of technology, social change, and law, the model lays out three basic types of constraints on the activities of participants in consumer commercial transactions: legal, technical, and social. This model provides a basis for exploring how those constraints interact and shape behavior. The model has significant ramifications for scholars, policymakers, and advocates. It underscores why the area of consumer commerce defies one-size-fits-all solutions: good policies require not only consideration of consumers, merchants, and the commercial relationships they pursue, but of the dynamic social and technological contexts of those relationships. For instance, when technology opens unexpected new areas of feasible conduct, both law and social norms may lag behind in their ability to constrain its socially undesirable aspects. Focused, public deliberation and increased regulatory attention may be merited at least until social norms have developed to define the acceptable contours of such conduct. This Article provides a more refined and inclusive framework for future research and debate. © 2020 Denver University Law Review. All rights reserved.",,,"Bradley, C.G.; University of Kentucky, United States",24696463,,,"Denver. Law. Rev",Article,"Final","",Scopus
"Coffie C.P.K., Zhao H., Mensah I.A.","57215593309;56593840600;57206774215;","Panel econometric analysis on mobile payment transactions and traditional banks effort toward financial accessibility in sub-Sahara Africa",2020,"Sustainability (Switzerland)","12","3","895","","",,14,"10.3390/su12030895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081258952&doi=10.3390%2fsu12030895&partnerID=40&md5=74af47919de7ab2bc3b3328fb1783518","School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610054, China; Center ofWest African Studies, University of Electronic Science and Technology of China, Chengdu, 610054, China; Institute of Applied Systems Analysis (IASA), Faculty of Science, Jiangsu University, Zhenjiang, 212013, China","Coffie, C.P.K., School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610054, China, Center ofWest African Studies, University of Electronic Science and Technology of China, Chengdu, 610054, China; Zhao, H., School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610054, China, Center ofWest African Studies, University of Electronic Science and Technology of China, Chengdu, 610054, China; Mensah, I.A., Institute of Applied Systems Analysis (IASA), Faculty of Science, Jiangsu University, Zhenjiang, 212013, China","The financial landscape of sub-Sahara Africa is undergoing major changes due to the advent of FinTech, which has seen mobile payments boom in the region. This paper examines the salient role of mobile payments in traditional banks' drive toward financial accessibility in sub-Sahara Africa by using panel econometric approaches that consider the issues of independencies among cross-sectional residuals. Using data from the World Development Index (WDI) 2011-2017 on 11 countries in the region, empirical results from cross-sectional dependence (CD) tests, panel unit root test, panel cointegration test, and the fully modified ordinary least squares (FMOLS) approach indicates that (i) the panel time series data are cross-sectionally independent, (ii) the variables have the same order of integration and are cointegrated, and (iii) growth in mobile payment transactions had a significant positive relationship with formal account ownership, the number of ATMs, and number of new bank branches in the long-run. The paper therefore confirms that the institutional structure of traditional banks that makes them competitive, irrespective of emerging disruptive technologies, has stimulated overall financial accessibility in the region leading to overall sustainable growth in the financial sector. We conclude the paper with feasible policy suggestions. © 2020 by the author.","Financial access; FinTech; Mobile payment; Sub-Sahara Africa; Traditional banks","accessibility; banking; econometrics; economic analysis; financial system; least squares method; panel data; time series analysis; Sub-Saharan Africa","Zhao, H.; School of Management and Economics, China; email: zhaohj@uestc.edu.cn",20711050,,,"Sustainability",Article,"Final","All Open Access, Gold, Green",Scopus
"Kohardinata C., Soewarno N., Tjahjadi B.","57214994595;57203927339;57191278873;","Indonesian peer to peer lending (P2P) at entrant’s disruptive trajectory",2020,"Business: Theory and Practice","21","1",,"104","114",,6,"10.3846/btp.2020.11171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079672574&doi=10.3846%2fbtp.2020.11171&partnerID=40&md5=31e184b55175e6a2f95832eae0ddc87c","Ciputra University, Faculty of Economics and Business, Universitas Airlangga, Indonesia; Faculty of Economics and Business, Universitas Airlangga, Surabaya, Indonesia","Kohardinata, C., Ciputra University, Faculty of Economics and Business, Universitas Airlangga, Indonesia; Soewarno, N., Faculty of Economics and Business, Universitas Airlangga, Surabaya, Indonesia; Tjahjadi, B., Faculty of Economics and Business, Universitas Airlangga, Surabaya, Indonesia","Peer to peer (P2P) lending in Indonesia has been growing rapidly, therefore there is the potential for disruptive innovation processes in the financial sector. The aim of this study is to examine the impact of the growth of P2P lending on the growth of bank lending for micro, small and medium enterprises (MSME) and Non-MSME debtors. Separating the scale of the debtor is important, given the initial process of disruptive innovation of reaching areas that are not the incumbent’s main target. The examination was conducted in this study using panel data regression, whereby the examination was done in stages. This was an overall examination without differentiating between the regions, further examination conducted with more detail by separating between the loans inside and outside Java Island. This is because the economic structure in Indonesia is still dominated by the regions in Java, but FinTech is generally able to grow in areas with less developed local economies. The result of this study is consistent overall, Java and outside Java Island, as shows that the growth in P2P lending in Indonesia does not have a significant impact on the growth of bank loans for Non-MSME lending. However, it does have a negative impact on the growth of bank loans for MSME lending. This is in line with the entrant’s disruptive trajectory process by which the entrants enter the competition through an underserved market (niche markets) and not through the main target market of the incumbent (MSME). Copyright © 2020 The Author(s).","Banking; Disruptive innovation; FinTech; MSME; Non MSME; P2P lending",,"Tjahjadi, B.; Faculty of Economics and Business, Indonesia; email: bambang.tjahjadi@feb.unair.ac.id",16480627,,,"Bus. Theory Pract.",Article,"Final","All Open Access, Gold, Green",Scopus
"Nicholls R.","36459942600;","Algorithm-driven collusive conduct",2020,"Research Handbook on Methods and Models of Competition Law: Research Handbooks in Competition Law",,,,"138","166",,,"10.4337/9781785368653.00016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137510916&doi=10.4337%2f9781785368653.00016&partnerID=40&md5=782f07963dfaf7915398df68684952fe","UNSW Business School Cybersecurity and Data Governance Research Network, Australia","Nicholls, R., UNSW Business School Cybersecurity and Data Governance Research Network, Australia","This chapter examines the effects of algorithm-driven horizontal and vertical anticompetitive collusive conduct through the lens of competition law in a number of jurisdictions. It finds that existing antitrust law is able to address some conduct, but that other forms of restraint which are algorithmically driven and facilitated by platform business models may require a change in competition law. The chapter analyses current application of competition law in a number of jurisdictions and provides recommendations as to the form of changes required. © The Editors and Contributors Severally 2020. All rights reserved.",,,"Nicholls, R.; UNSW Business School Cybersecurity and Data Governance Research NetworkAustralia",,9781785368653; 9781785368646,,"Research Handb. on Methods and Models of Competition Law: Research Handbooks in Competition Law",Book Chapter,"Final","",Scopus
"Héritier A., Schoeller M.G.","55920971000;56865948200;","Governing finance in Europe: a centralisation of rule-making?",2020,"Governing Finance in Europe: A Centralisation of Rulemaking?",,,,"1","30",,,"10.4337/9781839101120.00007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137476302&doi=10.4337%2f9781839101120.00007&partnerID=40&md5=a4698538f35ebe45a737e5050e1ff61c","Centre for European Integration Research (EIF), Department of Political Science, University of Vienna, Austria; Robert Schuman Centre for Advanced Studies (RSCAS), Italy","Héritier, A.; Schoeller, M.G., Centre for European Integration Research (EIF), Department of Political Science, University of Vienna, Austria, Robert Schuman Centre for Advanced Studies (RSCAS), Italy","Although centralisation of regulatory competences is a crucial feature of regional and global integration in all policy areas and not only financial regulation, there has been no comprehensive theoretical account of this phenomenon in all its multiple aspects at the regional or international level. This study fills the gap in the literature by providing such an account. This chapter attempts to provide answers to the question of centralisation, decentralisation or fragmentation of rule-making in regional and global integration and its implications from various perspectives and through various theoretical and disciplinary lenses. Moreover, we claim that the general arguments we propose and empirically assess regarding the governance of financial markets in Europe may also be applied to other areas of regulation beyond finance, such as the regulation of network industries (e.g. transport, telecommunication and energy). © Adrienne Héritier and Magnus G. Schoeller 2020.",,,,,9781839101120; 9781839101113,,"Gov. Finance in Europe: A Centralisation of Rulemaking?",Book Chapter,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Smoleńska A., Ganderson J., Héritier A.","57226849967;57209226865;55920971000;","The impacts of technological innovation on regulatory structure: Fintech in post-crisis Europe",2020,"Governing Finance in Europe: A Centralisation of Rulemaking?",,,,"164","189",,2,"10.4337/9781839101120.00017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130174349&doi=10.4337%2f9781839101120.00017&partnerID=40&md5=17bb3f2f1ad0b0022dd596a9d536454b","Law Department, European University Institute, Italy; European Institute, London School of Economics, United Kingdom; Department of Social and Political Sciences, European University Institute, Italy","Smoleńska, A., Law Department, European University Institute, Italy; Ganderson, J., European Institute, London School of Economics, United Kingdom, Department of Social and Political Sciences, European University Institute, Italy; Héritier, A.","This chapter examines technological innovation and its impact on European regulatory structures in recent years. The dynamic features of financial markets and the innovation of complex financial products and services based on new technologies and business models have presented regulators with significant challenges. Specifically, how can regulators effectively scrutinise unprecedentedly large volumes of market data? Is ‘Regtech’, instruments developed by industry to assist regulators, able to strengthen private compliance with public regulation? Does an alternative approach which institutionalises public–private cooperation offer answers to these new regulatory challenges? Responding to these questions, we adopt an analytic approach that categorises innovations by the type of regulatory uncertainty they produce. Our findings indicate that different types of uncertainty are driving divergent responses at the national and European levels, leading to a mixture of regulatory trajectories: cooperation and competition, centralisation and fragmentation. © Adrienne Héritier and Magnus G. Schoeller 2020.",,,,,9781839101120; 9781839101113,,"Gov. Finance in Europe: A Centralisation of Rulemaking?",Book Chapter,"Final","All Open Access, Hybrid Gold",Scopus
"Podrugina A.V., Tabakh A.V.","57222258614;57208746601;","Financial Markets: From the “Tragedy of Commons” to Balanced Regulation",2020,"International Organisations Research Journal","15","2",,"125","138",,,"10.17323/19967845-2020-02-08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126831639&doi=10.17323%2f19967845-2020-02-08&partnerID=40&md5=bdd5dca708071fe7d5ccae87e2c79c3c","National Research University Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow, 101000, Russian Federation","Podrugina, A.V., National Research University Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow, 101000, Russian Federation; Tabakh, A.V., National Research University Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow, 101000, Russian Federation","Nowadays the global financial system faces a triple challenge: the threat of a new systemic financial crisis at both global and regional levels; difficulties of constant adaptation of existing financial business and regulatory practices to intensive technological innovations; direct and hidden consequences of excessive political influence on the financial system through sanctions and selectively applied practices for sanction purposes. Improving the quality of financial regulation will require deeper cooperation between regulators of leading economies and a proactive position of the financial industry, as well as the decentralization of financial regulation. However, it is unlikely that this will happen at the global level. Financial stability became a key goal of global financial regulation in the post-crisis period. We consider financial stability as the “tragedy of commons.” The article describes the main trends of financial markets regulation after the crisis: transformation of global financial architecture, anti-money laundering and counter-terrorism financing practices (AML/ CT), financial sanctions. The article analyzes the existing failures of modern post-crisis financial regulation: credit crunch, reduction in the effectiveness of monetary policy, regulatory arbitrage, and increased compliance costs (AML/CT legislation, tax legislation, and the sanctions regime). In the future we expect simultaneous trends of harmonization and standardization of requirements in traditional sectors of financial markets (including traditional institutions of the shadow banking sector), but at the same time regulatory arbitrage will induce new financial technologies in order to reduce regulatory costs. The crisis triggered by the coronavirus pandemic in 2020 despite its non-financial nature will almost inevitably have a major impact on financial markets and their regulation. Possible steps to eliminate failures in the financial regulation system are proposed, including recommendations for international organizations. © 2020. All Rights Reserved.","financial regulation; financial regulatory failures; financial stability; financial supervision; global governance; international financial architecture; systemic risk",,"Podrugina, A.V.; National Research University Higher School of Economics, 20 Myasnitskaya Ulitsa, Russian Federation; email: apodrugina@hse.ru",19967845,,,"Int. Organ. Res. J.",Article,"Final","All Open Access, Bronze",Scopus
"Fabozzi F.J., Fabozzi F.A., De Prado M.L., Stoyanov S.V.","57046776500;57223085026;55195922300;14919965800;","Asset Management: Tools And Issues",2020,"Asset Management: Tools And Issues",,,,"1","493",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108743606&partnerID=40&md5=95fcb7c1db4b76a7cfefc7c0bade5051","EDHEC Business School, France; Stevens Institute of Technology, Financial Data Professionals Institute, United States; Cornell University’s School of Engineering, United States; Stony Brook University, EDHEC Business School, EDHEC Risk Institute, United States","Fabozzi, F.J., EDHEC Business School, France; Fabozzi, F.A., Stevens Institute of Technology, Financial Data Professionals Institute, United States; De Prado, M.L., Cornell University’s School of Engineering, United States; Stoyanov, S.V., Stony Brook University, EDHEC Business School, EDHEC Risk Institute, United States","Long gone are the times when investors could make decisions based on intuition. Modern asset management draws on a wide-range of fields beyond financial theory: economics, financial accounting, econometrics/statistics, management science, operations research (optimization and Monte Carlo simulation), and more recently, data science (Big Data, machine learning, and artificial intelligence). The challenge in writing an institutional asset management book is that when tools from these different fields are applied in an investment strategy or an analytical framework for valuing securities, it is assumed that the reader is familiar with the fundamentals of these fields. Attempting to explain strategies and analytical concepts while also providing a primer on the tools from other fields is not the most effective way of describing the asset management process. Moreover, while an increasing number of investment models have been proposed in the asset management literature, there are challenges and issues in implementing these models. This book provides a description of the tools used in asset management as well as a more in-depth explanation of specialized topics and issues covered in the companion book, Fundamentals of Institutional Asset Management. The topics covered include the asset management business and its challenges, the basics of financial accounting, securitization technology, analytical tools (financial econometrics, Monte Carlo simulation, optimization models, and machine learning), alternative risk measures for asset allocation, securities finance, implementing quantitative research, quantitative equity strategies, transaction costs, multifactor models applied to equity and bond portfolio management, and backtesting methodologies. This pedagogic approach exposes the reader to the set of interdisciplinary tools that modern asset managers require in order to extract profits from data and processes. © 2021 by World Scientific Publishing Co. Pte. Ltd.",,,,,9789811225758,,"Asset Management: Tools And Issues",Book,"Final","",Scopus
"Sabia R.","57197799068;","Artificial intelligence and environmental criminal compliance",2020,"Revue Internationale de Droit Penal","91","1",,"179","201",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108264924&partnerID=40&md5=8e3962065fb270bfd46d58044515303d",,"Sabia, R.","Whilst broadly examined in the anti-financial crime (AFC) context, the use of artificial intelligence (AI) to prevent environmental crimes still seems to be under-discussed. However, environmental agencies have started using AI in the fight against environmental crime, thus enhancing regulatory effectiveness. For businesses, this implies being subjected to a greater scrutiny by the authorities. Hence, the adoption of AI tools could help address the corporate need for developing compliance strategies to cope with environmental regulations and to avoid the imposition of punitive sanctions. This article discusses the good and the bad of using AI to improve corporate criminal compliance in the environmental area. Starting from the consideration that, also in this field, the automation makes it more difficult to allocate corporate criminal liability, the contribution highlights how other legal concerns, such as those related to privacy and corporate surveillance on employees, appear less relevant, suggesting that this could be a significant area for further research. © 2020 Editions Eres. All rights reserved.",,,"Sabia, R.
Sabia, R.",02235404,,,"Rev. Int. Droit Penal",Article,"Final","",Scopus
"Mavlutova I., Volkova T., Natrins A., Spilbergs A., Arefjevs I., Miahkykh I.","55551649900;55873146300;57211217640;57218912696;57221681880;56669971700;","Financial sector transformation in the era of digitalization",2020,"Estudios de Economia Aplicada","38","4",,"","",,7,"10.25115/EEA.V38I4.4055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102298532&doi=10.25115%2fEEA.V38I4.4055&partnerID=40&md5=ed6844d61fd9fb55fb373e864e61818d","Department of Economics and Finance, Ba School of Business and Finance, Latvia; Department of Management, Ba School of Business and Finance, Latvia; Financial Services and Compliance Laboratory, Ba School of Business and Finance, Latvia; Department of Economics and Finance, Ba School of Business and Finance, Latvia; Department of Economics and Finance, Ba School of Business and Finance, Latvia; Department of Entrepreneurship and Business, Kyiv National University of Technologies and Design, Ukraine","Mavlutova, I., Department of Economics and Finance, Ba School of Business and Finance, Latvia; Volkova, T., Department of Management, Ba School of Business and Finance, Latvia; Natrins, A., Financial Services and Compliance Laboratory, Ba School of Business and Finance, Latvia; Spilbergs, A., Department of Economics and Finance, Ba School of Business and Finance, Latvia; Arefjevs, I., Department of Economics and Finance, Ba School of Business and Finance, Latvia; Miahkykh, I., Department of Entrepreneurship and Business, Kyiv National University of Technologies and Design, Ukraine","The fast development of new technologies has a significant impact on the financial sector development. Digitalization leads to the development of new business models, transformation of value chains, new product delivery channels, relationships between companies in the financial sector and structural landscape of the financial sector changes to the. Although, there is no common understanding formed among scholars about the drivers of these strategic changes and the future financial sector development trends. The development of financial technologies, characterized by the emergence of alternative services and new industries, can be described as highly innovative. The functional equivalent of the commonly used terms, such as digital disruption and digital transformation is digital innovation, in one case emphasizing strategic orientation, developing new products and business models using digital technologies, infrastructures, supply chain, and ecosystems, and, in the other - transforming traditional models to address to existing loyal customers providing more usable in the digital ecosystems access channels, solutions, and products. © 2020 Estudios de Economia Aplicada. All rights reserved.","Commercial banks; Digitalization; Financial sector; Fintech company; Supply chain; Technology",,,11333197,,,"Estud. Econ. Apl.",Article,"Final","",Scopus
