issn,eissn,subj_areas
2156342X,,Engineering; Physics and Astronomy
,23327782,Energy; Engineering; Social Sciences
08936706,,Engineering; Physics and Astronomy
08853010,15258955,Engineering; Physics and Astronomy
00962503,,Computer Science; Engineering; Mathematics
00189545,19399359,Computer Science; Engineering
10638210,15579999,Computer Science; Engineering
10772626,,Computer Science
15361276,15582248,Computer Science; Engineering; Mathematics
15566072,,Engineering
15361284,,Computer Science; Engineering
21622337,21622345,Engineering
1942065X,,Social Sciences
23299290,23299304,Computer Science; Engineering; Mathematics; Physics and Astronomy
15455963,15579964,"Biochemistry, Genetics and Molecular Biology; Mathematics"
10636692,,Computer Science; Engineering
10834435,,Computer Science; Engineering
23299266,23299274,Computer Science; Engineering; Mathematics
1551319X,15589323,Engineering; Materials Science; Physics and Astronomy
21871094,21871108,Energy; Engineering
19314973,,Engineering
03854221,,Engineering
03854205,13475533,Engineering
09136339,13488163,Engineering
03854213,13488147,Energy; Engineering
13418939,13475525,Engineering
13492543,,Engineering; Materials Science; Physics and Astronomy
09168516,17451345,Computer Science; Engineering
09168524,17451353,Engineering; Materials Science
09168508,17451337,Computer Science; Engineering; Mathematics
09168532,17451361,Computer Science; Engineering
,22875255,Computer Science; Engineering
,27719197,Energy; Engineering
19373260,19373279,Engineering
20474938,20474946,Computer Science
,26341573,Computer Science
1751858X,17518598,Engineering
,25168398,Computer Science; Engineering
17518628,17518636,Computer Science; Engineering
17519632,17519640,Computer Science
17518601,1751861X,Computer Science; Engineering
,27324494,Engineering
17518644,17518652,Computer Science; Engineering; Mathematics
,23983396,Computer Science; Engineering
,26316315,Computer Science
17518660,,Engineering
20429738,20429746,Engineering
,25168401,Energy; Engineering; Environmental Science
09607919,17410487,Decision Sciences; Engineering
17518687,17518695,Energy; Engineering
17519659,17519667,Computer Science; Engineering
17518709,,Computer Science
1751956X,17519578,Engineering; Environmental Science; Social Sciences
17518725,,Engineering
17518741,1751875X,"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
,25143255,Engineering; Materials Science; Physics and Astronomy
20474954,20474962,Computer Science; Decision Sciences; Mathematics
17518768,17518776,Engineering; Physics and Astronomy
17554535,17554543,Engineering
,26328925,Computer Science; Engineering; Mathematics
17518784,17518792,Engineering
17521416,17521424,Energy
17518822,17518830,Engineering; Physics and Astronomy
17519675,17519683,Computer Science; Engineering
,26317680,Computer Science; Engineering; Social Sciences
,25152947,Computer Science; Engineering
17518806,17518814,Computer Science
17521394,17521408,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
17518849,17518857,"Biochemistry, Genetics and Molecular Biology; Mathematics"
20436386,20436394,Engineering
03772063,0974780X,Computer Science; Engineering; Mathematics
02564602,09745971,Engineering
,24686018,Computer Science; Decision Sciences; Engineering; Mathematics
10798250,,"Business, Management and Accounting; Earth and Planetary Sciences; Engineering; Materials Science"
10128069,15645568,Earth and Planetary Sciences; Environmental Science
18684238,1868422X,Computer Science; Decision Sciences
15715736,18612288,Decision Sciences
03400352,17452651,Social Sciences
19717458,19717458,Agricultural and Biological Sciences; Environmental Science
13455354,,Medicine
00191639,,Medicine
00191655,,Medicine
00734705,24468231,Agricultural and Biological Sciences
00734721,,Agricultural and Biological Sciences
13646974,,Medicine
20483430,,"Business, Management and Accounting; Engineering"
00189855,21950237,Social Sciences
10851259,,Engineering
0740817X,15458830,Engineering
19488300,19488319,Engineering; Medicine; Social Sciences
09611290,,Engineering
22779752,2321029X,Social Sciences
09703896,,"Business, Management and Accounting; Economics, Econometrics and Finance"
09763104,,Immunology and Microbiology
00470716,,Medicine
24725854,24725862,Engineering
24725579,24725587,Engineering; Medicine; Social Sciences
24725838,24725846,Medicine; Social Sciences
1511788X,22897860,Chemical Engineering; Computer Science; Engineering; Mathematics
,27352285,Medicine
23529067,23529067,Medicine
22147632,,Medicine
22147624,,Medicine
15907120,,Medicine
,27727076,Medicine
15701581,,Arts and Humanities; Social Sciences
14119544,24778036,Arts and Humanities; Social Sciences
,2577171X,Medicine
01233432,,Arts and Humanities; Social Sciences
20064241,27144321,Arts and Humanities; Social Sciences
18468551,,Arts and Humanities
02053292,,"Economics, Econometrics and Finance"
11241845,18275672,Physics and Astronomy
0366886X,,Medicine
00238864,,Medicine
00296341,18276121,Physics and Astronomy
03905357,,Medicine
13091786,13091719,Arts and Humanities; Social Sciences
10842020,19306180,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
00189960,,Medicine
01014846,21758026,Arts and Humanities
,27729478,Medicine; Dentistry
15750698,23854219,Arts and Humanities
03631923,23285265,Arts and Humanities
00192082,,Mathematics
00735108,,Earth and Planetary Sciences; Environmental Science
10541373,,Social Sciences
00192333,,Medicine
13528513,,Medicine
08537291,24067598,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science
00197939,2162271X,"Business, Management and Accounting"
11354712,19883269,Arts and Humanities
0862397X,25709267,Arts and Humanities
10569286,,Medicine
22106340,22106359,Agricultural and Biological Sciences
02724960,14643634,Mathematics
1471678X,14716798,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
02650746,,Agricultural and Biological Sciences; Mathematics
02650754,14716887,Engineering; Mathematics
09530061,,Engineering
02724979,14643642,Mathematics
03632792,,Medicine
15803139,18545165,"Biochemistry, Genetics and Molecular Biology; Computer Science; Materials Science; Mathematics; Medicine; Physics and Astronomy"
02628856,,Computer Science
,21051232,Computer Science
09502114,,Computer Science; Engineering
07435150,,Nursing
21713669,21719705,Medicine; Health Professions
17769817,,Medicine
18717993,,Arts and Humanities; Social Sciences
1731450X,,Arts and Humanities; Social Sciences
,,Medicine
16289676,,Psychology
02762366,15414477,Neuroscience; Psychology
09656812,17488818,Medicine
,27320960,Medicine; Health Professions
15226085,,Computer Science; Materials Science
14333317,16170830,Medicine
17555191,17555205,Medicine; Health Professions
22337822,22337830,Medicine; Dentistry; Health Professions
13682199,1743131X,Computer Science; Engineering
03254569,,Medicine
21710147,22549633,Arts and Humanities; Social Sciences
03085694,14797801,Earth and Planetary Sciences; Environmental Science
18883931,,Arts and Humanities
24099554,,Arts and Humanities; Social Sciences
27705986,2770596X,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
20414161,2041417X,"Business, Management and Accounting; Economics, Econometrics and Finance"
02516365,,Social Sciences
10207635,15645150,"Business, Management and Accounting; Economics, Econometrics and Finance"
23644087,23644095,Social Sciences
02619288,17440521,Arts and Humanities; Social Sciences
15682749,,Social Sciences
15982629,20926685,Immunology and Microbiology; Medicine
03401162,,Medicine
10747613,10974180,Immunology and Microbiology; Medicine
17424933,17424933,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
,20504527,Immunology and Microbiology; Medicine
,26735601,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
09232532,18781365,"Biochemistry, Genetics and Molecular Biology; Medicine"
01712985,18783279,Immunology and Microbiology; Medicine
00192791,,Medicine
1067795X,,Immunology and Microbiology
08935300,,Immunology and Microbiology
00937711,14321211,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
0894203X,19303955,Medicine
,25737732,Immunology and Microbiology; Medicine
03248534,,Immunology and Microbiology
0257277X,15590755,Immunology and Microbiology
00900877,,Immunology and Microbiology
08820139,15324311,Immunology and Microbiology
,25785826,Immunology and Microbiology; Medicine
01052896,1600065X,Immunology and Microbiology; Medicine
11925612,,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
02064952,,Immunology and Microbiology
00192805,13652567,Immunology and Microbiology; Medicine
08898561,15578607,Immunology and Microbiology; Medicine
08189641,14401711,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
11786345,,Immunology and Microbiology; Medicine
09594957,,Immunology and Microbiology
01652478,18790542,Immunology and Microbiology; Medicine
01675699,,Immunology and Microbiology
18715222,,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
09534954,,Immunology and Microbiology
,17457580,"Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics"
,26330407,Medicine
10586687,,Immunology and Microbiology
,25900188,Medicine
,24238015,Immunology and Microbiology; Medicine
01623109,,"Pharmacology, Toxicology and Pharmaceutics"
08923973,15322513,"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
,22531556,Immunology and Microbiology; Medicine
13802933,,Immunology and Microbiology
1750743X,17507448,Immunology and Microbiology; Medicine
,27324303,Immunology and Microbiology
18739822,,"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
07349165,,Environmental Science; Social Sciences
14615517,14715465,Environmental Science; Social Sciences
15720500,,Arts and Humanities
13857908,,Arts and Humanities; Social Sciences
03930394,,Medicine
10566163,15382982,Dentistry
11581336,,Dentistry
09439692,,Dentistry
01902024,,Medicine
16406540,,Medicine; Dentistry
,26334895,Medicine; Neuroscience
17485908,17485908,Medicine
,26622211,Medicine
14639955,17431697,Arts and Humanities
08835896,,Medicine
00193062,,Medicine
,26888246,Energy
13654802,14757583,Social Sciences
00198536,,Medicine
20787413,,Arts and Humanities; Social Sciences
18992722,,Arts and Humanities; Social Sciences
20313098,25070312,Arts and Humanities; Social Sciences
0263841X,20427689,Veterinary
10772413,,Medicine
13866338,14343207,Medicine
,25175025,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Mathematics"
01462520,,Chemical Engineering; Earth and Planetary Sciences; Energy
00735655,23274328,"Biochemistry, Genetics and Molecular Biology"
10979336,,"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
08838364,,"Biochemistry, Genetics and Molecular Biology"
10712690,1543706X,"Biochemistry, Genetics and Molecular Biology"
10545476,14752689,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
0888319X,,"Pharmacology, Toxicology and Pharmaceutics"
0258851X,17917549,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
,20361602,Arts and Humanities; Engineering; Social Sciences
20668201,22474528,Engineering
19712995,,Arts and Humanities
03902412,,Arts and Humanities; Social Sciences
00396001,,Engineering
00193577,,Mathematics
10437320,,Energy
10861653,,Earth and Planetary Sciences; Social Sciences
11321296,,Arts and Humanities; Nursing; Social Sciences
03064220,17466067,Arts and Humanities; Social Sciences
24443239,21741859,Arts and Humanities; Social Sciences
00194131,17560632,Arts and Humanities; Social Sciences
0973290X,,"Economics, Econometrics and Finance"
09749284,09752684,Social Sciences
14736489,,Social Sciences
00194506,0975007X,Chemical Engineering
00194565,,Engineering; Materials Science
22295178,22495673,Medicine
0019462X,,"Pharmacology, Toxicology and Pharmaceutics"
00194646,09730893,"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
00194670,25201778,"Economics, Econometrics and Finance"
00194816,,Agricultural and Biological Sciences
09719555,22773347,Earth and Planetary Sciences
17538254,17538262,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
00194832,22133763,Medicine
03769836,09755977,Arts and Humanities
00195103,,Medicine
00915669,,Engineering
00195162,,Medicine
09706399,09744479,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
00195014,,Social Sciences
03678245,0976058X,Agricultural and Biological Sciences
00195022,,Agricultural and Biological Sciences
0537197X,09744460,Agricultural and Biological Sciences
00195049,09762817,Medicine
09702997,25837583,Veterinary
03676722,09760555,Agricultural and Biological Sciences; Veterinary
03678318,,Agricultural and Biological Sciences; Veterinary
09718281,,Social Sciences
00195081,,Medicine
03011208,09750959,"Biochemistry, Genetics and Molecular Biology"
09725849,09750967,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
0019509X,19984774,Medicine
22776729,23494174,Agricultural and Biological Sciences; Veterinary
0971457X,,Chemical Engineering; Chemistry
03764710,09750975,Chemistry
03764699,09750983,"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
,25831321,"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
23944781,23944994,Medicine
23951443,23951451,Medicine
09701915,09740422,"Biochemistry, Genetics and Molecular Biology"
09717587,22489509,Medicine
09700218,19983581,Medicine
09765166,22313850,Computer Science; Engineering
09746862,24542482,"Business, Management and Accounting"
09725229,1998359X,Medicine
09709290,19983603,Dentistry
00195154,19983611,Medicine
03786323,09733922,Medicine
03795128,,Earth and Planetary Sciences
03045250,,Agricultural and Biological Sciences; Environmental Science
09725784,,"Business, Management and Accounting; Economics, Econometrics and Finance"
22775412,23220430,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
22308210,22309500,"Biochemistry, Genetics and Molecular Biology; Medicine"
23197757,23197765,Engineering
09714588,09751017,Engineering; Materials Science
03678288,09748172,Agricultural and Biological Sciences; Environmental Science
0367827X,,Environmental Science
02537141,,Environmental Science
00195189,09751009,"Biochemistry, Genetics and Molecular Biology"
05371996,2454552X,Social Sciences
09710426,,Chemical Engineering; Environmental Science; Materials Science
09738711,,"Economics, Econometrics and Finance"
09706011,,Agricultural and Biological Sciences
09743383,09743391,Medicine
09739122,09739130,"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
02548860,09750711,Medicine
09715215,09730672,Arts and Humanities; Social Sciences
00195200,09756906,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
25826506,25826727,Earth and Planetary Sciences
22293574,25823485,Earth and Planetary Sciences
23638397,23638400,Medicine
09714502,09740449,Medicine
09711627,24564311,"Biochemistry, Genetics and Molecular Biology; Chemistry"
09728538,09740112,Agricultural and Biological Sciences
09737030,2456480X,"Economics, Econometrics and Finance; Social Sciences"
09716866,1998362X,"Biochemistry, Genetics and Molecular Biology; Medicine"
09715452,,"Pharmacology, Toxicology and Pharmaceutics"
22316094,,Social Sciences
00195308,,"Economics, Econometrics and Finance"
09763570,,Social Sciences
02549395,,Medicine
03678326,,Immunology and Microbiology
03795136,,Earth and Planetary Sciences
09738703,,"Business, Management and Accounting"
09708928,,Medicine
00195324,,Mathematics
09715851,09752129,Medicine
09748466,09755691,Medicine; Nursing
02550857,19983646,Immunology and Microbiology; Medicine
00195340,,"Biochemistry, Genetics and Molecular Biology"
09715916,,"Biochemistry, Genetics and Molecular Biology; Medicine"
0970955X,,Medicine
09709568,,"Biochemistry, Genetics and Molecular Biology"
03679012,,"Biochemistry, Genetics and Molecular Biology"
00195359,19983654,Medicine
09762884,09762892,Medicine
03764796,,Earth and Planetary Sciences; Environmental Science
00468991,09737715,Immunology and Microbiology
09760504,09760512,Agricultural and Biological Sciences
03036960,09744444,Agricultural and Biological Sciences
09714065,19983662,Medicine
2277954X,22779167,Medicine
09723919,09740244,Medicine
23942746,23942754,Medicine
09732284,19983670,Medicine
03014738,19983689,Medicine
00195413,19983727,Medicine
00195421,,Medicine
22313796,09737707,Medicine
09717749,22499520,Medicine
09731075,19983735,Medicine
00195448,,Medicine
03774929,09745130,Medicine
00195456,09737693,Medicine
09712542,,Earth and Planetary Sciences
00195464,,"Pharmacology, Toxicology and Pharmaceutics"
0250474X,19983743,"Pharmacology, Toxicology and Pharmaceutics"
02537613,19983751,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
00195472,,Medicine
09731458,09749845,Physics and Astronomy
00195499,,"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
00195502,09740252,Agricultural and Biological Sciences
09700358,1998376X,Medicine
09729607,,Medicine
00195545,19983794,Medicine
02537176,09751564,Medicine; Psychology
0019557X,,Medicine
09760245,09765506,Medicine
00195588,09757465,Mathematics
00195596,09751041,Physics and Astronomy
03678393,0975105X,Earth and Planetary Sciences; Physics and Astronomy
0019560X,,Medicine
09713026,19983808,Medicine
09747168,23207094,Medicine
09733698,,Medicine
09746846,09745645,General
04457722,,"Agricultural and Biological Sciences; Business, Management and Accounting"
02537184,19983816,Medicine
25890557,25890565,Medicine
09719857,09739718,Agricultural and Biological Sciences; Veterinary
09719962,24548316,Medicine
00195634,24567809,Social Sciences
09722068,09739793,Medicine
09757651,09766952,Medicine
00195669,,Materials Science
03778436,,Materials Science
09709134,09737723,Medicine
09725938,09751068,Medicine; Health Professions
22120017,22120025,Medicine
00195707,,Medicine
09701591,,Medicine
09702792,,Medicine
09702822,09740120,Immunology and Microbiology; Medicine
24730580,24730599,Social Sciences
0971488X,,Medicine
00195936,,Earth and Planetary Sciences; Environmental Science
25901753,09726292,Medicine
00196061,09747559,Medicine
0367973X,22489800,Agricultural and Biological Sciences
00196355,,"Agricultural and Biological Sciences; Business, Management and Accounting; Engineering"
25895079,25895087,Medicine
25233114,25233122,Computer Science; Decision Sciences; Mathematics
00196479,09749365,Veterinary
03418642,23652225,Arts and Humanities; Social Sciences
10800727,15430367,Social Sciences
00196665,,Social Sciences
00904198,,Medicine
07468288,,Medicine
00222518,,Mathematics
1541745X,,Neuroscience; Psychology
02777010,,Medicine
00746606,,Earth and Planetary Sciences; Environmental Science
22125884,22125892,Arts and Humanities; Psychology; Social Sciences
23069015,26586452,Arts and Humanities; Social Sciences
00197262,16130405,Arts and Humanities; Social Sciences
00197246,15728536,Arts and Humanities; Social Sciences
00197289,,Arts and Humanities; Social Sciences
13639811,14698382,Arts and Humanities; Social Sciences
03062848,,Arts and Humanities; Social Sciences
20888430,23562129,Social Sciences
02150883,25026577,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
20853297,23559179,"Biochemistry, Genetics and Molecular Biology; Medicine"
,2615367X,Agricultural and Biological Sciences; Chemistry; Engineering
1411982X,23548509,Agricultural and Biological Sciences
23019468,,Arts and Humanities; Social Sciences
08538654,20892241,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
14119420,,Chemistry
,24774685,Medicine; Health Professions
25024752,25024760,Computer Science; Engineering; Mathematics
,20893272,Computer Science; Engineering; Mathematics
23557079,24068195,Agricultural and Biological Sciences; Environmental Science
00249521,,Earth and Planetary Sciences; Environmental Science; Social Sciences
23033592,25409301,Medicine
23387602,2338770X,Social Sciences
16935594,23565527,Social Sciences
20891490,2406825X,Arts and Humanities; Social Sciences
26846748,26569825,Immunology and Microbiology; Medicine
23386401,23387335,Medicine
23018046,25407872,Environmental Science; Medicine; Psychology
23389427,23389486,"Medicine; Pharmacology, Toxicology and Pharmaceutics; Health Professions"
18297005,25408836,Medicine; Social Sciences
25281410,25278045,Chemical Engineering; Computer Science; Earth and Planetary Sciences; Engineering
,28082591,Arts and Humanities; Social Sciences
23559314,23559306,Earth and Planetary Sciences
09056947,16000668,Engineering; Environmental Science; Medicine
09085920,,Engineering; Environmental Science; Medicine
1420326X,14230070,Medicine
,1698739X,Social Sciences
00197416,19738137,"Business, Management and Accounting; Economics, Econometrics and Finance"
00197491,,"Agricultural and Biological Sciences; Business, Management and Accounting; Engineering; Materials Science"
00197548,,Chemical Engineering
00197637,,Engineering
12225347,,"Business, Management and Accounting; Environmental Science; Materials Science"
01964321,,Chemical Engineering; Chemistry; Engineering
23646837,23646845,Mathematics
00197858,,"Business, Management and Accounting; Social Sciences"
09606491,14643650,"Business, Management and Accounting; Economics, Econometrics and Finance"
00197866,,Engineering
00959146,,
00964484,15414655,Chemistry
01964313,,Engineering
01964305,,Chemical Engineering; Chemistry; Engineering
08885885,15205045,Chemical Engineering; Chemistry; Engineering
17549426,17549434,Psychology
03090728,17458196,Arts and Humanities; Social Sciences
10567194,,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
15509087,,"Biochemistry, Genetics and Molecular Biology"
11217588,,Materials Science
09269614,,Chemical Engineering
20753071,1562479X,Energy; Environmental Science; Physics and Astronomy
10450203,,Computer Science
02650584,,Engineering
09266690,,Agricultural and Biological Sciences
00198145,,Materials Science
1542894X,,Computer Science; Engineering
00198234,,Engineering
15987248,22346473,"Economics, Econometrics and Finance; Social Sciences"
13573292,,Environmental Science
00198307,,"Business, Management and Accounting; Chemistry; Engineering; Materials Science"
18149235,,"Business, Management and Accounting; Materials Science"
00198323,,Engineering
00198366,18808026,Environmental Science; Medicine
03174301,,Medicine
00198374,,Chemical Engineering
00198447,,General; Chemical Engineering
10286861,25880187,Chemistry; Engineering; Materials Science; Mathematics
03059332,,Social Sciences
00368792,00368792,Energy; Engineering; Materials Science
10849017,10994785,"Business, Management and Accounting; Engineering"
00198471,,"Business, Management and Accounting; Engineering"
02635577,,"Business, Management and Accounting; Computer Science; Engineering"
00198501,,"Business, Management and Accounting"
00198528,,Engineering; Mathematics
09215956,18757987,Engineering
,,Medicine
10734651,,Engineering; Materials Science
17414911,,"Pharmacology, Toxicology and Pharmaceutics"
10821848,,Physics and Astronomy
00198676,1468232X,"Business, Management and Accounting"
00198692,14682338,"Business, Management and Accounting"
01604074,,Engineering
0143991X,17585791,Computer Science; Engineering
09219110,,Engineering
09680861,,"Business, Management and Accounting; Engineering; Materials Science"
00198862,,Medicine
1005829X,,Engineering
0019901X,,Agricultural and Biological Sciences; Engineering
00199044,,Materials Science
03022129,,Engineering
12969281,,Engineering
02962918,,Engineering
07661207,,Engineering
00199176,,"Business, Management and Accounting; Engineering; Environmental Science; Materials Science"
09432779,18620035,"Business, Management and Accounting"
03789993,,Environmental Science
09504222,20436858,"Business, Management and Accounting; Social Sciences"
13662716,14698390,"Business, Management and Accounting"
00390895,,"Business, Management and Accounting; Engineering"
02103702,15784126,Psychology; Social Sciences
15250008,15327078,Medicine; Psychology
15227227,15227219,Psychology
01636383,19348800,Psychology
01639641,10970355,Medicine; Psychology
13698036,17458943,Psychology
19414064,19414072,Agricultural and Biological Sciences; Medicine; Nursing
14130270,,Medicine; Psychology
08963746,15505081,Medicine; Psychology
10535586,,Medicine
03933679,,Medicine
01040219,23189312,"Pharmacology, Toxicology and Pharmaceutics"
01239392,,Medicine
03008126,14390973,Medicine
20932340,20926448,Medicine
11786973,,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
00199567,10985522,Immunology and Microbiology; Medicine
01959417,,Medicine
0899823X,15596834,Medicine
0833076X,,Medicine
,20008686,Environmental Science; Medicine
,25900889,Medicine
24680451,24680869,Medicine; Nursing
25884107,25884115,Immunology and Microbiology; Medicine
15671348,15677257,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
01732129,,Medicine
07496524,,Medicine
02777746,,Medicine
17509378,,"Biochemistry, Genetics and Molecular Biology; Medicine"
10562044,,Medicine
08915520,15579824,Medicine
24680427,24680427,Mathematics; Medicine
20367430,20367449,Medicine
23744235,23744243,Immunology and Microbiology; Medicine
20969511,26938839,Immunology and Microbiology; Medicine
21938229,21936382,Medicine
10569103,15369943,Medicine
10647449,10980997,Medicine
02782316,,
26669927,26669919,Medicine
20955162,20499957,Medicine
23053496,26587394,Medicine; Social Sciences
18715265,22123989,"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
20970684,2772431X,Immunology and Microbiology; Medicine
20967241,26415917,Medicine
13312820,,Medicine
17299225,24149691,Immunology and Microbiology; Medicine
10479422,,Medicine
11249390,,Medicine
0754023X,,Arts and Humanities
02190257,17936306,Mathematics; Physics and Astronomy
20896867,24609285,Mathematics; Social Sciences
11350946,,Immunology and Microbiology
03603997,15732576,Immunology and Microbiology; Medicine
18715281,,"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
18809693,18808190,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
10233830,1420908X,"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
14667401,,Medicine
10780998,15364844,Medicine
22969403,22969365,Medicine
09254692,15685608,"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
17502640,17502659,Medicine
14636697,14659840,Social Sciences
12860921,,Chemical Engineering; Chemistry
10904522,,Medicine
20612079,20612125,Computer Science; Engineering
10219056,,Nursing
,25673165,Materials Science
03155986,19160615,Decision Sciences
15289303,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
08923876,,Engineering
08978026,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
01040146,18094783,Social Sciences
01014331,,Medicine
03529045,,Engineering; Materials Science
13920561,13921487,"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
07168756,07180764,"General; Agricultural and Biological Sciences; Business, Management and Accounting; Chemical Engineering; Chemistry; Computer Science; Earth and Planetary Sciences; Energy; Engineering; Materials Science"
15148327,18511740,Social Sciences
15878694,,Social Sciences
08242577,,Arts and Humanities
08684952,,Computer Science; Mathematics
03505596,18543871,Computer Science; Mathematics
,22279709,Computer Science; Social Sciences
27133192,27133206,Computer Science; Mathematics
17538157,,Medicine; Nursing; Health Professions
16485831,,Computer Science; Social Sciences
23529148,23529148,Computer Science; Medicine
14760320,14759985,Medicine; Nursing
01783564,09492925,Computer Science
19922264,23109912,Computer Science; Mathematics
01706012,,Computer Science
13434500,13448994,Computer Science
20782489,,Computer Science
13600834,,Computer Science; Social Sciences
08905401,10902651,Computer Science; Mathematics
20564961,,"Business, Management and Accounting; Computer Science; Decision Sciences"
10020411,,Computer Science; Engineering; Mathematics
00199958,,Engineering
21648034,21663033,Arts and Humanities; Social Sciences
09230408,,Engineering
,20498772,Computer Science; Mathematics
23985348,23985356,Computer Science; Social Sciences
03787206,,"Business, Management and Accounting; Computer Science; Decision Sciences"
27836207,,"Business, Management and Accounting; Decision Sciences; Engineering; Physics and Astronomy; Social Sciences"
14717727,,"Business, Management and Accounting; Computer Science; Social Sciences"
09505849,,Computer Science
03740676,15872440,Physics and Astronomy
1369118X,,Social Sciences
01425471,,Social Sciences
17416469,02666669,Social Sciences
23986247,,Computer Science; Social Sciences
03620972,2637496X,Computer Science; Engineering
01676245,,"Economics, Econometrics and Finance; Environmental Science"
15662535,18726305,Computer Science
25112481,2511249X,Computer Science; Mathematics
02229838,17831601,Arts and Humanities; Social Sciences
1080286X,,"Business, Management and Accounting; Computer Science; Decision Sciences"
09685227,,"Business, Management and Accounting; Decision Sciences; Social Sciences"
15701255,18758754,Computer Science; Social Sciences
03064573,18735371,Computer Science; Decision Sciences; Engineering; Social Sciences
22143173,22143173,Agricultural and Biological Sciences; Computer Science
10112499,,Medicine
00200190,,Computer Science; Mathematics
1743694X,,Computer Science; Decision Sciences; Social Sciences
00200204,19524056,Medicine
13681613,,Social Sciences
10401628,15337979,"Business, Management and Accounting; Social Sciences"
13864564,15737659,Computer Science; Social Sciences
18717500,27306836,Computer Science; Social Sciences
00200255,,Computer Science; Decision Sciences; Engineering; Mathematics
10690115,,Computer Science; Decision Sciences; Earth and Planetary Sciences; Engineering; Environmental Science; Mathematics
17355206,20085583,Computer Science
20909551,2090956X,Computer Science; Mathematics; Social Sciences
16197100,2197845X,Computer Science; Decision Sciences; Engineering
19393555,19393547,Computer Science; Decision Sciences
13634127,,Computer Science; Engineering
01675265,18758789,Computer Science; Social Sciences
01972243,10876537,"Business, Management and Accounting; Computer Science; Social Sciences"
00200271,,Engineering
03064379,,Computer Science
16179846,,Computer Science
13873326,15729419,Computer Science; Mathematics
13501917,13652575,Computer Science
10580530,,Computer Science; Social Sciences
10477047,15265536,"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
1065898X,,Computer Science; Decision Sciences
15447529,15447537,"Business, Management and Accounting; Computer Science; Social Sciences"
1392124X,,Computer Science; Engineering
10735127,,Computer Science; Decision Sciences
07309295,21635226,Computer Science; Social Sciences
1385951X,15737667,"Business, Management and Accounting; Computer Science; Social Sciences"
09593845,,Computer Science; Social Sciences
10983058,19434294,"Business, Management and Accounting; Computer Science"
02681102,15540170,Computer Science; Social Sciences
18125638,18125646,Computer Science
10577939,,Computer Science
14738716,14738724,Computer Science
