record_no,line_no,text
2020-0050,2,"firstly, the rapid development of artificial intelligence has a profound impact on the high-end finance of the deep service value chain."
2020-0050,3,"secondly, the integrated development of artificial intelligence and finance is irreversible, risks and opportunities coexist, and the financial industry must accelerate the pace of adjustment and development."
2020-0050,4,"finally, the financial supervision department further clarifies the supervision responsibility, applies artificial intelligence technology to supervision methods and means, and improves the degree of supervision automation and intelligence."
2020-0051,0,"nowadays, the existence of a fintech entity is a necessity."
2020-0051,1,the choice is disruption or collaboration.
2020-0051,2,this study investigates the antecedents of fintech collaboration based on leadership styles and its consequence on competitive advantage.
2020-0051,3,the study is a quantitative causality approach using a questionnaire to collect the data and use structural equation modelling to analyse it.
2020-0051,4,"there are 166 respondents, as samples, from 479 supervisors to directors of automotive, electronics, and food and beverage of medium and large companies."
2020-0051,5,results show that leadership styles have a positive effect on competitive advantage and fintech collaboration.
2020-0051,6,this study's original value is that fintech collaboration is a necessity for managerial decisions as a mediator for competitive advantage based on leadership styles.
2020-0051,7,"it concludes that the primary antecedent choice in encouraging fintech collaboration is transactional leadership, and collaboration with the fintech entity to create a competitive advantage is necessary."
2020-0051,8,"meanwhile, for further research, it is assumed that suitable leadership to encourage competitive advantage through fintech is transformational leadership, and collaborate with the fintech entity is a must."
2020-0024,0,this paper explores the most recent fintech (financial technology) phenomenon from an ecosystem perspective.
2020-0024,1,"differentiated from the earlier fintech evolution led by traditional financial institutions, cross-sector fintech that operates at the intersection of financial services and information technology disrupts existing business models of banks while creating novel ecosystem dynamics."
2020-0024,2,this study explores the fintech ecosystem composition to understand better business model innovation based on underlying ecosystem dynamics while focusing on the specific role of cross-sector actors.
2020-0024,3,these actors have escaped scrutiny despite being mature and experienced and having strong resource bases.
2020-0024,4,"adopting a comparative case study method by considering the china-based alibaba group and tencent, the studys findings indicate that novel business model developments based on strong technological expertise and scale-based resources by cross-sector fintech render a functional perspective on fast-developing fintech industry less practical."
2020-0024,5,"apart from cross-sector fintech, investors constitute a new dimension in the conceptualization of the fintech ecosystem."
2020-0024,6,"overall, the interconnectedness of the cross-sector fintech beyond the fintech sectors drives the fuzzy boundaries between ecosystems, established business models, terminology definitions, ecosystem actors roles and relationships, which appear to become more heterogeneous and changeable over time."
2020-0024,7,the study contributes to the scant literature on fintech ecosystems and their sustainable development.
2020-0013,0,"in the introduction to the first-ever special issue on the spatial dimensions of fintech, we show that despite a fintech fever in business and media, research on fintech is still niche, particularly in social sciences."
2020-0013,1,"we describe fintech as a research area full of controversies, ripe and in need of geographical research."
2020-0013,2,"as we outline, papers in this issue contribute to the debate primarily by examining the role of the state, financial centres and uneven development in fintech."
2020-0019,0,this paper analyses how different entrepreneurial actors respond to political uncertainty and changing institutional settings.
2020-0019,1,"moreover, it discusses the impact of those actor-level responses on the resilience of entrepreneurial ecosystems (ees), focusing on how they affect the diversity of and the connectivity among its actors."
2020-0019,2,"to address these questions, the paper examines how the decision of the united kingdom to leave the european union has influenced the financial technology (fintech) industry in london, applying data collected from in-depth interviews, covering different groups of stakeholders in londons fintech industry, such as angel investors, banks, legal advisers, lobby organizations and private companies."
2020-0019,3,"our results show that political uncertainty and the prospect of institutional change can trigger actor-level responses, which have the potential to modify the diversity as well as the local and non-local connectivity of an ee."
2020-0019,4,"moreover, we demonstrate that the nature of strategic responses of entrepreneurial actors varies significantly, depending on their firms characteristics, such as age, size, product specialization and the structure of their egocentric networks."
2020-0019,5,"with regard to the latter, our results show that anchor firms play an important role in other firms egocentric networks and have the power to shape their strategic responses."
2020-0009,0,fintech and digital financial services involve the delivery of financial products and services through technology.
2020-0009,1,"fintech companies are part of a financial lending infrastructure claiming to offer an alternative to big banks, and are often touted as digitally disruptive technology that is rapidly reshaping financial inclusion agendas and improving the lives of the poor."
2020-0009,2,"for many refugees living in camps and informal settlements in kenya, fintech is often the only viable option for credit or microfinance aid."
2020-0009,3,"while refugees are often excluded from credit, the spread of fintech as a solution for direct peer-to-peer aid transfers from the global north to refugees has resulted in the uneven distribution of credit access and livelihood support."
2020-0009,4,"through fintech, private citizens and groups in the global north are able to disrupt and subvert refugee assistance, deeming some worthy of aid while others face ongoing exclusion."
2020-0009,5,"while fintech remains a hopeful source of greater efficiency and empowerment, the direct transfer of aid money masks profit and corporate power by only extending assistance to those refugees who are appropriately entrepreneurial, that is to say those who will start small businesses and pay back their loans."
2020-0009,6,this paper argues that processes of financial inclusion carried out by and through fintech are still distinguished largely by exclusion.
2020-0009,7,"in so doing, this paper highlights a theoretical position that refugee governance is embedded in racial forms of capital accumulation and expropriation."
2020-0040,0,"the emergence of new technologies and players, along with a favorable regulatory framework (psd2 directive), is changing the banking industry."
2020-0040,1,fintechs and techfins have allowed the introduction of new services and changed the way customers interact to satisfy their financial needs.
2020-0040,2,the fintech landscape is constantly evolving in the market.
2020-0040,3,"different business value propositions are entering the financial services industry, moving from increasing the user's experience to developing a time to market framework for banks to innovate products, processes, and channels, increasing the cost efficiency and looking for a partnering on order to lighten the regulatory burdens for banks."
2020-0040,4,"the many businesses of banks are changing their value chains, and banks' business models should do the same accordingly."
2020-0040,5,strategists could no longer take their value chains as a given.
2020-0040,6,"choices have to be made on what needs to be protected and maintained, what abandoned and the new on coming to make banks evolve and become more resilient in doing their job."
2020-0040,7,"banking is shifting significantly from a pipeline, vertical paradigm, to open banking business models where open innovation, modularity, and ecosystem-based bank's business model may become the ongoing mainstream and paradigm to follow and develop."
2020-0040,8,opportunities and threats for banks are many and new ones to re-gaining their role in the market throughout a re-intermediation process.
2020-0032,0,an asset allocation optimization model for key clients and financial products is developed and deployed on a business platform by compiling a program to a module using matlab to show how to integrate financial big data and fintech in a real application for a bank.
2020-0032,1,"firstly, we establish a single objective linear programming model with the percent of assets in products as the decision variables, the minimum-weighted duration as the objective, and the business requirements as constraints."
2020-0032,2,"then, we select non-integer linear programming as the model solver by testing two algorithm solvers with six real test cases separately, according to the solving time."
2020-0032,3,"finally, we directly compile the model and the algorithm program into a module to complete the deployment into a business platform to quickly complete the transformation of data and model the actual productivity of the bank."
2020-0018,0,"after the 200708 global financial crisis, research flourished on entrepreneurship through digital innovation in the financial market as well as on investors influence on digital technology-based entrepreneurs funding decisions."
2020-0018,1,"this study combines these two research streams to analyze the decision-making criteria for funding financial technology companies (fintechs), hybrid companies that combine digital entrepreneurship, technology, and banking."
2020-0018,2,the study first uses prior literature to derive important characteristics to define fintechs and then uses 12 expert interviews to elaborate on decision-making criteria in funding.
2020-0018,3,"except for smaller peculiarities, fintech funding does not appear to differ from that of other digital entrepreneurship in different markets, andas with most digital business modelsscalability was identified as a key criterion."
2020-0018,4,"additionally, by serving as a major provider of money for young companies, banks have changed their role and positioning in funding new financial technology entrepreneurs."
2020-0018,5,"through developments in digital technology, banks have shifted from traditional money-lending activities (i.e., debt-financing) to becoming stakeholders in fintechs and, hence, equity investors."
2020-0018,6,"we also describe how these formerly distinct fields have converged due to regulatory requirements, digital newcomers, and a need for constant innovation, with their future sustainable development dependent on sharing and collaboration."
2020-0052,0,"to determine the micro-operating mechanism(mom) of enterprises participating in the regulatory sandbox policy in fintech, this study analyzes the structure of enterprise innovation competencies and derives relevant implications."
2020-0052,1,"the results reveal that large, middle-standing, and small and medium-sized enterprises focus on security, infrastructure, and user-related technology development, respectively, to enhance their innovation competencies."
2020-0052,2,the security-related issues considered by large enterprises entail relatively high costs in initial technology development and are closely related to infrastructure building.
2020-0052,3,"large enterprises are focused on developing overall security-related technologies, whereas middle-standing enterprises are striving to develop infrastructure-related technologies, with particular emphasis on elementary technologies."
2020-0052,4,small and medium-sized enterprises are also making efforts to develop user-centered technologies that can directly be used in fintech.
2020-0052,5,"as a method to implement regulatory sandboxes tailored to the needs of participating enterprises in south korea, this study will help to determine the mom of such participants and establish strategies to support them sustainably in terms of evidence-based policy."
2020-0053,0,this article engages with the critical study of contemporary publicity by examining transparency as a strategic project to platformize financial services.
2020-0053,1,the article contributes to understandings of transparency as value cocreation in business-to-business markets.
2020-0053,2,"through field-level discourse analysis, the article shows that transparency is contingent primarily on the nature of the market, in this case, a platformized industry, which valorizes transparency as part of a regime of data sharing and open access."
2020-0053,3,transparency is further contingent on the market actor: actors with lesser status and market legitimacy are more likely to seek to cocreate transparency with market actors of greater or similar status and legitimacy.
2020-0053,4,"the article concludes that in commercial spaces, publicitys relationship to transparency is not only determined by market logic, but that all market logics are being drawn further toward a technological definition of transparency as shareveillance, as more segments of economic life become platformized."
2020-0026,0,"new financial technology holds the promise of innovation and competition, challenging established products and services and frequently improving market processes."
2020-0026,1,"however, regulation of these new services faces a double challenge: to keep pace with innovation and facilitate new market entries while at the same time understanding and managing the regulatory risks that are involved."
2020-0026,2,"at this stage, the existing eu regulatory framework is of little help: the bulk of the present body of financial regulation stems from a different time, with different regulatory problems in mind."
2020-0026,3,eu regulation is also very slow to change and to adapt.
2020-0026,4,"therefore, this paper proposes a regulatory ""sandbox""- an experimentation space - as a step towards a regulatory environment where such new business models can thrive."
2020-0026,5,"a sandbox would allow market participants to test fintech services in the real market, with real consumers, but under the close scrutiny of the supervisor."
2020-0026,6,"the benefit of such an approach is that it fuels the development of new business practices and reduces the ""time to market""cycle of financial innovation, while simultaneously safeguarding consumer protection."
2020-0026,7,"at the same time, a sandbox allows for mutual learning in a technical field which is sometimes poorly understood, both for firms and for the regulator."
2020-0026,8,this would help to reduce the prevalent regulatory uncertainty for all market participants.
2020-0026,9,"in the particular eu legal framework with various layers of legal instruments, the implementation of such a sandbox is not straightforward."
2020-0026,10,"in this paper, we propose a ""guided sandbox"", operated by the eu member states, but with endorsement, support, and monitoring by eu institutions."
2020-0026,11,"this innovative approach would be somewhat uncharted territory for the eu, and thereby also contribute to the future development of eu financial market governance as a whole."
2020-0011,0,"despite high expectations for the growth of fintech, it has not reached the expected growth in the real world."
2020-0011,1,"as fintech is innovative but inherently unpredictable, customers are still hesitant to adopt and use fintech, which ultimately affects its growth."
2020-0011,2,"to achieve the sustainable development and growth of fintech, an in-depth investigation of fintech continuance intentions is required."
2020-0011,3,"to investigate continuous-use behavior in a fintech context, this study focuses on two relevant issues: uncertainty and information technology (it) quality."
2020-0011,4,uncertainty is more critical in fintech than in traditional e-banking transactions because fintech transactions are complicated and less predictable.
2020-0011,5,it quality is also crucial to fintech success because it plays a key role in fintech transactions.
2020-0011,6,"this study mainly explores the relationship between uncertainty and it quality, both of which significantly affect fintech continuance intentions."
2020-0011,7,"for the purpose, we integrated an it quality-based perspective with a trust-based model to investigate fintech continuance intentions."
2020-0011,8,"our results demonstrate that system quality is negatively related to perceived risk, whereas information quality is positively related to trust."
2020-0011,9,service quality is the most important quality factor for controlling uncertainty and encouraging continued use of fintech.
2020-0011,10,we found a more extended role of it in fintech than in other digital services.
2020-0011,11,"this study provides fintech providers with the practical guidance in the design and implementation of fintech innovation, thereby achieving the sustainable development of fintech."
2020-0033,0,"this study investigates the millennials and gen z perception toward fintech services, their usage intention, and their financial behavior."
2020-0033,1,the study took place in the palestinian context with a global comparison among these generations.
2020-0033,2,the authors used the questionnaire-based technique to meet the study objective.
2020-0033,3,west bank respondents were selected for this purpose.
2020-0033,4,the study instrument was distributed through different social media channels.
2020-0033,5,the findings show that reliability/trust and ease of use are the main issues in using a financial service.
2020-0033,6,"millennials are more aware (48%) of fintech services than gen z (38%), which is different from the global view where gen z is the highest."
2020-0033,7,"the smartphone penetration rate is 100% among both generations, while the financial inclusion ratio in palestine is around 36.4%."
2020-0033,8,"these clear indicators are the main fintech drivers to promote fintech services in palestine, and these are global indicators for fintech adoption intention."
2020-0033,9,"both generations (84%) intend to use e-wallet services, millennials (87%) and gen z is (70%) prefer using real-time services."
2020-0033,10,half of the respondents see that fintech plays a complementary role with banks.
2020-0033,11,the majority see that fintech services are cheaper than bank services.
2020-0033,12,"wealth management, and robot advisor services, and both generations are looking to acquire them in the long run."
2020-0033,13,"the authors revealed that 85% of respondents from both generations trust banks, so it is recommended that banks digitize their financial services to meet the customers' needs, considering that 90% of respondents see that promotions are a key issue in adopting fintech services."
2020-0033,14,promoting e-wallet services by banks is highly recommended due to the massive rivalry with fintech parties.
2020-0039,0,we perform a large scale analysis of a list of fintech terms in (i) news and blogs in the english language and (ii) professional descriptions of companies operating in many countries.
2020-0039,1,the occurrence and the co-occurrence of fintech terms and locutions show a progressive evolution of the list of fintech terms in a compact and coherent set of terms used worldwide to describe fintech business activities.
2020-0039,2,"by using methods of complex networks that are specifically designed to deal with heterogeneous systems, our analysis of a large set of professional descriptions of companies shows that companies having fintech terms in their description present over-expressions of specific attributes of country, municipality, and economic sector."
2020-0039,3,"by using the approach of statistically validated networks, we detect geographical and economic over-expressions of a set of companies related to the multi-industry, geographically, and economically distributed fintech movement."
2020-0054,0,this paper draws on recent international experiences in modernising legal and regulatory frameworks for payment services.
2020-0054,1,it proposes an analytical framework based on a four-step process: (1) identifying payment activities.
2020-0054,2,(2) licensing entities and designating systems.
2020-0054,3,"(3) analysing and managing risks, and (4) promoting legal certainty."
2020-0054,4,"the paper concludes that as payment activities evolve and potential systemic risks heighten, adherence to international standards and additional regulatory requirements are warranted."
2020-0003,0,"as the fintech industry grows around the world, regulatory issues continue to be a hot topic within the industry."
2020-0003,1,"to overcome regulatory barriers of the fintech industry, regulatory sandboxes have been adopted."
2020-0003,2,"the regulatory sandboxes are beneficial to create a fintech ecosystem, but their effectiveness has not been empirically supported."
2020-0003,3,this study aims to find the expected effects of regulatory sandboxes on fintech venture investments empirically.
2020-0003,4,we conducted an analysis using a country-level comparative research method.
2020-0003,5,"to analyze it, we selected nine forerunning countries which have initially adopted regulatory sandboxes."
2020-0003,6,"for the purpose of validations, a comparative analysis and a regression analysis were conducted."
2020-0003,7,"in the results, we found that the adoption of regulatory sandboxes had very positive influences on the growth of the fintech venture investment."
2020-0003,8,the results implied that regulatory sandboxes may play a vital role in increasing the influx of venture capital into the fintech venture ecosystem by removing regulatory uncertainty.
2020-0003,9,the findings of this research contribute to providing the empirical evidences to policy makers in interpretations of the positive impact of regulatory sandboxes.
2020-0034,0,"purpose: this paper aims to explore the functionality of long tail markets (ltm), where the consumers cannot be reached or are ignored by the traditional mainstream businesses, in new products and business development."
2020-0034,1,"design/methodology/approach: first, the authors review two chinese entrepreneurial practices in the fintech sector and low-speed electric vehicles (lsev) and describe their stylized facts."
2020-0034,2,"second, they explore a possible theoretical ltm framework to underscore these practices."
2020-0034,3,"third, they make a connection between ltm and existing business models and analyze its significance and practical implications in business, in particular, in developing economies."
2020-0034,4,findings: the ltm business approach has helped chinese companies in the fintech sector and lsevs gain global attention.
2020-0034,5,"the success factors of ltm for businesses are identifying a specific customer base, being aware of localization products and playing skillfully with regulations."
2020-0034,6,the ltm approach has several overlaps with existing studies on niche products and base of the pyramid market.
2020-0034,7,"originality/value: based on some emerging and attractive business practices in china, this paper offers a valuable attempt to theorize them as long tail phenomenon."
2020-0034,8,the ltm thesis provides a potential framework to reference for similar methods elsewhere and may illuminate entrepreneurship to be explored in similar markets.
2020-0008,0,purpose: the purpose of this study is to explore how african fintech firms adapt their marketing strategies for successful market expansion into new african countries.
2020-0008,1,design/methodology/approach: this exploratory study is qualitative in nature and utilizes semi-structured interviews at 14 african fintech firms.
2020-0008,2,"findings: the study reveals that, during intra-africa expansion, firms adapt their marketing strategies by working with local people, prioritizing customer education, creating personal relationships with customers, adapting their communication strategies and pricing strategies and using social media."
2020-0008,3,"the strategies that have been most effective involve including the community in the marketing process, prioritizing relationships, segmenting customers geographically, educating customers about products, using local distribution partners and having a flexible approach to strategy adaptation."
2020-0008,4,"practical implications: it has been argued that technological innovation in africa in areas such as financial services is a critical driver of its future development, because of the opportunity it presents to promote financial inclusion."
2020-0008,5,"through an increase in venture capital investment on the continent, technological innovations in financial services have grown exponentially, and this study contributes to the understanding of the marketing strategies employed to gain market traction."
2020-0008,6,"originality/value: this study proposes that african fintech firms adopt a bottom-up, value proposition-driven marketing strategy to successfully navigate the environment."
2020-0008,7,"the proposed framework provides a lens through which to understand the components of successful strategy adaptation in africa, against the backdrop of the unique market challenges inherent in this emerging market continent."
2020-0055,0,the effectiveness and optimization of financial services is one of the things that happens when there is financial technology or fintech.
2020-0055,1,various fintech services have a strategy to attract customers.
2020-0055,2,one of the strategies is to offer promos to potential customers or early customers.
2020-0055,3,promos given to customers will provide maximum benefits when they use accurate type of promo on a promo provided by fintech services.
2020-0055,4,knowledge of various fintech services and a lot of promo information will provide an effective alternative for customers to use promos.
2020-0055,5,"for this reason, applications or software have been developed to provide information on various e-money and e-wallet services and promos."
2020-0055,6,"the method used is lean ux which consists of 4 stages namely declare assumpts, develop mvp, run experiments, feedback and user research."
2020-0055,7,the result obtained on this research is a mobile androide application that can display fintech and promo information.
2020-0055,8,lean ux development is done with 2 iterations and produces features that are validly needed by the user but still need development in terms of user experience.
2020-0021,0,since the last global financial crisis supervisory mechanisms and regulations have become more stringent which have significantly improved resilience of banks therefore positively affecting financial stability.
2020-0021,1,apart from traditional financial institutions which have been supervised according to strict regulations and standards technological development in financial services commonly called fintech have introduced new trends providing fast peer to peer lending which directly matches lenders and borrowers thus putting more pressure to policymakers and supervisors.
2020-0021,2,"this paper presents potential implications of fintech developments to financial stability, while explaining fintech influence to market structure as well as benefits and risks of technologically driven financial innovations to financial stability."
2020-0021,3,the paper stresses out an importance of international cooperation of regulators in order to preserve financial stability in the recent world of technological changes and innovations.
2020-0021,4,fintech has changed consumers' expectations and preferences while increasing the number of users expecting fast and easily accessible services available on mobile phones and other electronic devices.
2020-0021,5,the paper shows that new technology provides the space for expanding financial services but it also poses additional risks to financial system in terms of microfinancial and macrofinancial risks.
2020-0014,0,"in this article, we provide a taxonomy of the different types of innovation occurring in financial services, a framework which we refer to as our fintech ecosystem."
2020-0014,1,we use this fintech ecosystem to highlight the various areas of potential value for investors who are looking into ventures in this space as alternative investments.
2020-0014,2,our conceptual framework enables investors to examine emerging technologies and fintech verticals through the lens of a sector analysis.
2020-0014,3,"to better understand where the fintech revolution started and where it is going, we apply the concept of digital transformation to the financial services industry which allows us to highlight the delicate risk-reward balance in fintech."
2020-0005,0,"the paper proposes an explainable ai model that can be used in fintech risk management and, in particular, in measuring the risks that arise when credit is borrowed employing peer to peer lending platforms."
2020-0005,1,"the model employs shapley values, so that ai predictions are interpreted according to the underlying explanatory variables."
2020-0005,2,"the empirical analysis of 15,000 small and medium companies asking for peer to peer lending credit reveals that both risky and not risky borrowers can be grouped according to a set of similar financial characteristics, which can be employed to explain and understand their credit score and, therefore, to predict their future behavior."
2020-0035,0,"driving force of human society development is elimination contradiction between unlimited usage of natural resources during economic activity of enterprises, environment pollution as a result of such activity and limited natural, energy and other resources."
2020-0035,1,research results on economic and environmental issues of green business management showed that there are several basic types of problems at present which arise at enterprises during collecting and processing data on the results of their activities.
2020-0035,2,the authors analyzed how public sector and green business is catching up on global trend towards broader use of the big data analysis to serve public interests and increase efficiency of business activities.
2020-0035,3,in order to detect current approach to big data analysis in public and private sectors authors conduct interviews with stakeholders.
2020-0035,4,the paper concludes with the analysis what changes in approaches to the big data analysis in public and private sectors have to be made in order to comply with the global trends in greening the economy.
2020-0035,5,"application of fintech, methods of processing large data sets and tools for implementing the principles of greening the economy will enable to increase the investment attractiveness of green business and will simplify the interaction between the state and enterprises."
2020-0041,0,the modern world is changing rapidly under the influence of digital technologies.
2020-0041,1,this also applies to the financial sector of the economy.
2020-0041,2,"since the mid-2000s, new fintech companies have entered the market."
2020-0041,3,these companies are using new technologies to improve existing and create new financial services.
2020-0041,4,"in the course of their development, the interests of new market entrants often overlap with those of traditional participants, mainly banks."
2020-0041,5,investigation of the relations between fintech companies and traditional financial institutions gives an opportunity to form an idea of the financial picture of the near future.
2020-0041,6,the research of the relations between fintech companies and traditional financial institutions gives an opportunity to form an idea of the financial picture of the near future.
2020-0041,7,the article considers both aspects of competition and aspects of possible cooperation between financial market participants in a digital economy.
2020-0041,8,the results of the scientific research demonstrate that cooperation will prevail over the competition.
2020-0041,9,probably existing financial institutions will reformat their architecture and become digital ones at the core.
2020-0007,0,"a growing body of evidence suggests that financial literacy plays an important role in financial well-being, and that differences in financial knowledge acquired early in life can explain a significant part of financial and more general well-being in adult life."
2020-0007,1,financial technology (fintech) is revolutionising the financial services industry at an unrivalled pace.
2020-0007,2,"views differ regarding the likely impact that fintech is likely to have on personal financial planning, well-being and societal welfare."
2020-0007,3,"in an era of mounting student debt, increased (digital) financial inclusion, and threats arising from instances of (online) financial fraud, financial education and enlightened financial advising appropriate policy interventions that enhance financial and overall well-being."
2020-0007,4,this special issue engages in this important academic and policy agenda by presenting a set of seven new papers emanating from four parallel streams of literature related to financial literacy and responsible finance.
2020-0029,0,this article examines fintech as a systemic force disrupting the currently dominant technocratic paradigm of financial regulation.
2020-0029,1,"it offers a five-part taxonomy of (i) the key fintech-driven changes in the structure and operation of today's financial system, and (ii) the corresponding challenges these systemic shifts pose to the continuing efficacy of the regulatory enterprise as it exists today."
2020-0029,2,this exercise reveals the fundamental tension at the core of the fintech problem.
2020-0029,3,"in the fintech era, the financial system as a whole is growing ever bigger, moving ever faster, and getting ever more complex and difficult to manage."
2020-0029,4,"the emerging regulatory responses to these macro-level changes, however, continue to operate primarily on the micro-level."
2020-0029,5,"surveying the presently fragmented efforts to regulate fintech, this article highlights the limiting effects of the technocratic bias built into their design."
2020-0029,6,"against that background, it outlines several alternative reform options that would explicitly target the core macro-structural, as opposed to micro-transactional, aspects of the fintech challenge- a nd do so in a more assertive, comprehensive, and normatively unified manner."
2020-0020,0,the digitalization of financial services opened a window for new players in the financial industry.
2020-0020,1,"these start-ups take on tasks and functions previously reserved for banks, such as financing, asset management, and payments."
2020-0020,2,"in this article, we trace the transformation of the industry after digitalization."
2020-0020,3,"by using data on fintech formations in germany, we provide first evidence that entrepreneurial dynamics in the fintech sector are not so much driven by technology as by the educational and business background of the founders."
2020-0020,4,"furthermore, we investigate the reactions of traditional banks to the emergence of these start-ups."
2020-0020,5,"in contrast with other emerging industries such as biotechnology, a network analysis shows that fintechs have mostly engaged in strategic partnerships and only a few banks have acquired or obtained a financial interest in a fintech."
2020-0020,6,we explain the restraint of traditional banks to fully endorse the new possibilities of digitalized financial services with the characteristics of the technology itself and with the postponed fundamental decisions of banks to modernize their it infrastructure.
2020-0000,0,"we argue financial technology (fintech) is the key driver for financial inclusion, which in turn underlies sustainable balanced development, as embodied in the un sustainable development goals (sdgs)."
2020-0000,1,the full potential of fintech to support the sdgs may be realized with a progressive approach to the development of underlying infrastructure to support digital financial transformation.
2020-0000,2,our research suggests that the best way to think about such a strategy is to focus on four primary pillars.
2020-0000,3,"the first pillar requires the building of digital identity, simplified account opening and e-kyc systems, supported by the second pillar of open interoperable electronic payments systems."
2020-0000,4,the third pillar involves using the infrastructure of the first and second pillars to underpin electronic provision of government services and payments.
2020-0000,5,the fourth pillardesign of digital financial markets and systemssupports broader access to finance and investment.
2020-0000,6,"implementing the four pillars is a major journey for any economy, but one which has tremendous potential to transform not only finance but economies and societies, through fintech, financial inclusion and sustainable balanced development."
2020-0023,0,"this paper investigates the role of financial technology (fintech) in propelling economic growth in indonesia from 1998 to 2018. the fintech industry employs a technology-based business model to provide financial services, including lending, payment, investment, and financing services."
2020-0023,1,"the study is motivated by endogenous growth theory, which seeks to explain technology as the most important driver of economic growth."
2020-0023,2,the study finds that fintech startups are positively correlated with indonesias economic growth.
2020-0023,3,"fintech firms in their first year are found to be disruptive, but they fail to have serious consequences on indonesias economic growth."
2020-0023,4,"however, they seem to significantly encourage economic growth in their second year."
2020-0023,5,"these findings are derived after accounting for other important growth determinants, namely, capital per labor, foreign direct investment (fdi), stock market development, and trade openness."
2020-0056,0,"micro, small, and medium enterprises (msmes) are increasingly growing with the development of technology, where msmes are one of the pillars of the strength of the indonesian economy."
2020-0056,1,"fintech is one of the drivers in helping to improve finance for msmes, especially those in the middle and lower classes."
2020-0056,2,"at least more than 40 fintech businesses have emerged throughout 2017. by utilizing the development of fintech, in addition to increasing efficiency in the financial sector also minimizing the risk of fraud and cybercrime in the financial sector."
2020-0056,3,"for this reason, it is necessary to increase knowledge to msmes regarding the benefits of using fintech, so that the level of trust in msmes towards fintech is increasing, and the use of fintech is every day."
2020-0056,4,copyright
2020-0057,0,"as a new fintech innovation regulation tool, regulatory sandbox effectively balances financial innovation and risk, so it is adopted by many regulatory authorities around the world."
2020-0057,1,"however, until now, regulatory sandbox is still at the stage of manually submitting data, and artificial intelligence has not been applied to it."
2020-0057,2,"hence, in this paper, we propose the framework of parallel fintech regulatory sandbox based on the acp approach (artificial systems + computational experiments + parallel execution)."
2020-0057,3,"then, we talk about how to combine the emerging blockchain technology with intelligent regulatory sandbox, thus solving problems such as poor data flow and regulation sluggish."
2020-0057,4,this paper is aimed at providing helpful guidance and reference for the development of fintech regulatory sandbox.
2020-0058,0,the level of financial literacy of rural residents will affect their financial decisions and the financial well-being behind the decisions.
2020-0058,1,this paper uses mediating effect and moderating effect to test the influence path of rural residents' subjective and objective financial literacy on their financial decision-making with survey data from henan and anhui provinces in china.
2020-0058,2,the results show that subjective and objective financial literacy have positive effects on financial market participation.
2020-0058,3,subjective and objective financial literacy have negative direct effects on insurance market participation.
2020-0058,4,subjective financial literacy plays an incomplete mediating effect in the impact of objective financial literacy on financial market and insurance market participation.
2020-0058,5,objective financial literacy is adjusted by subjective financial literacy on financial market participation and insurance market participation.
2020-0058,6,"at the same time, we introduce financial technology penetration as a threshold variable in the model and find that the financial literacy has stronger impact on financial decision-making if the financial technology penetration is above the threshold."
2020-0027,0,the green development level reflected in the green finance index and the evaluation of the degree of green development in smart cities have important practical effects on economic transformation.
2020-0027,1,"for promoting the transformation and upgrading of finance, we select 2013-2019 data and construct a distributed lag model to analyse the important role played by green finance and financial technology in the construction of smart cities."
2020-0027,2,"in the paper, we find green finance promotes the construction of smart cities, and only it will not appear until nine months late."
2020-0027,3,"financial technology has an opposite impact on the construction of smart cities, this is mainly because the research and marketization of financial technology are higher, and the cost is also higher."
2020-0027,4,this influence will appear in the next 14 months.
2020-0059,0,purpose: this paper analyzes banking sector earnings management using loan loss provisions (llps) in the fintech era.
2020-0059,1,design/methodology/approach: regression methodology was used to examine earnings management in the fintech era.
2020-0059,2,findings: the findings show evidence for bank income smoothing using llps.
2020-0059,3,"there is greater income smoothing in the second-wave fintech era compared to the first-wave fintech era, and the presence of strong institutions did not lower income smoothing in the second-wave era."
2020-0059,4,"bank income smoothing is also greater in (1) bank of international settlement (bis) and eu countries than in non-eu countries and g7 countries, (2) well-capitalized banking sectors and (3) during economic booms in the second-wave fintech era."
2020-0059,5,practical implications: the competition for loans and deposits by banks and fintech lenders in the second-wave fintech era created additional incentives for banks to engage in income smoothing to report competitive and stable earnings.
2020-0059,6,originality/value: the study uses a unique approach to detect country-level earnings management in the banking sector.
2020-0059,7,"also, this study extends the bank earnings management literature by introducing the fintech era as a determinant of the extent of bank earnings management."
2020-0017,0,"the article considers the opportunities, risks, and challenges associated with the development of digital financial technologies."
2020-0017,1,"to identify them, we used the scenario approach."
2020-0017,2,"we determined three main development scenarios for the market of innovative financial technologies  domination of traditional financial companies, segmentation of market of new financial technologies, and domination of digital financial companies in terms of their probability and possible consequences for the global financial markets."
2020-0017,3,"the results of analysis allowed us to suggest that among main scenarios of fintech development the most probable is the splitting of existing market, which in the future can turn into a market of digital transnational financial corporations, which will squeeze out both small companies and traditional financial giants."
2020-0017,4,"however, although the scenario of capturing the financial market by large players is currently unlikely, it is certainly more important in terms of the consequences for global markets."
2020-0017,5,the main prerequisite for the latter scenario is the promotion of international cooperation in the regulation of digital financial companies.
